track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history,odds_live,odds_1,odds_2,odds_3,odds_4,trend,decimal_odds_live,decimal_odds_1,decimal_odds_2,decimal_odds_3,decimal_odds_4,odds_history,movement_type,movement_adjustment,threshold_bin,threshold_value,odds_bin,breakeven_odds,raw_edge,adjusted_prob,adjusted_edge
Chelmsford (AW),15 Jan 2026Polytrack,5f,Standard,8:00,Global Effort,54,Grace McEntee,Phil McEntee,9- 9,6,0,True,0,0.08494573,0,False,14/1,20/1,14/1,16/1,14/1,stable,15.0,21.0,15.0,17.0,15.0,"[21.0, 15.0, 17.0, 15.0, 15.0]",stable,0.0,T<0.10,0.0,15.0+,11.772222099921915,0.01827906333333333,0.08494573,0.01827906333333333
Chelmsford (AW),15 Jan 2026Polytrack,5f,Standard,8:00,Snow Boots,25,Jack Doughty,Tony Carroll,9- 9,5,0,True,0,0.0693284,0,False,,,,,,,,,,,,"[nan, nan, nan, nan, nan]",stable,0.0,T<0.10,0.0,Unknown,14.42410325350073,,0.0693284,
Chelmsford (AW),15 Jan 2026Polytrack,5f,Standard,8:00,Bishop's Glory,58,Alistair Rawlinson,Joey Ramsden,9- 9,6,0,True,0,0.06057787,0,False,,,,,,,,,,,,"[nan, nan, nan, nan, nan]",stable,0.0,T<0.10,0.0,Unknown,16.507678464099182,,0.06057787,
Chelmsford (AW),15 Jan 2026Polytrack,5f,Standard,8:00,Tilsworth Ony Ta,54,Lewis Edmunds,J R Jenkins,9- 9,7,0,True,0,0.05852871,0,False,,,,,,,,,,,,"[nan, nan, nan, nan, nan]",stable,0.0,T<0.10,0.0,Unknown,17.085631991547398,,0.05852871,
Chelmsford (AW),15 Jan 2026Polytrack,5f,Standard,8:00,Marcus,58,Rob Hornby,Charlie Wallis,9- 9,5,0,True,0,0.051888887,0,False,,,,,,,,,,,,"[nan, nan, nan, nan, nan]",stable,0.0,T<0.10,0.0,Unknown,19.27194930968552,,0.051888887,
Chelmsford (AW),15 Jan 2026Polytrack,5f,Standard,8:00,Under Curfew,56,Gina Mangan,Tony Carroll,9- 9,10,0,True,0,0.05041351,0,False,,,,,,,,,,,,"[nan, nan, nan, nan, nan]",stable,0.0,T<0.10,0.0,Unknown,19.83595270394781,,0.05041351,
Chelmsford (AW),15 Jan 2026Polytrack,5f,Standard,8:00,Flicka's Girl,61,Sean Levey,Michael Attwater,9- 9,4,0,True,0,0.048172474,0,False,,,,,,,,,,,,"[nan, nan, nan, nan, nan]",stable,0.0,T<0.10,0.0,Unknown,20.758742845551176,,0.048172474,
Chelmsford (AW),15 Jan 2026Polytrack,7f,Standard,6:30,United Force,72,Marco Ghiani,Clare Hobson,9- 0,6,0,True,0,0.046355613,0,False,,,,,,,,,,,,"[nan, nan, nan, nan, nan]",stable,0.0,T<0.10,0.0,Unknown,21.57236061143232,,0.046355613,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,5:30,Very Demure,58,Hollie Doyle,Archie Watson,8- 5,3,0,True,0,0.04603764,0,False,,,,,,,,,,,,"[nan, nan, nan, nan, nan]",stable,0.0,T<0.10,0.0,Unknown,21.721356698562307,,0.04603764,
Chelmsford (AW),15 Jan 2026Polytrack,6f,Standard,7:00,Vitalline,79,Tyler Heard,Keiran Burke,8- 4,8,0,True,0,0.039227676,0,False,,,,,,,,,,,,"[nan, nan, nan, nan, nan]",stable,0.0,T<0.10,0.0,Unknown,25.492206063902433,,0.039227676,
