track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,Monnow Valley,D. W. O'Connor,0,Damian Joseph English,9th,2 3/4 l,2,9-5,-,True,1,1
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,Segomo (IRE),G. M. Ryan,0,Donnacha Aidan O'Brien,8th,1 3/4 l,2,9-5,-,True,1,1
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,He's Justagent (IRE),William James Lee,0,A. McIntyre,7th,3/4 l,2,9-5,-,True,1,1
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,Arabian Legend (IRE),A. J. Slattery,0,J. A. Stack,6th,1/2 l,2,9-5,-,True,1,1
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,Grey Fable (IRE),R. C. Colgan,0,Ms Sheila Lavery,5th,1 3/4 l,2,9-5,-,True,1,1
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,Dubawi Spectre,Shane Foley,0,Mrs J. Harrington,4th,Short Head,2,9-5,-,True,1,1
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,Shadowed (IRE),S. M. Crosse,0,Joseph Patrick O'Brien,3rd,1 3/4 l,2,9-5,-,True,1,1
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,Auguste Rodin (IRE),Ryan Moore,0,Aidan O'Brien,2nd,2 1/4 l,2,9-5,-,True,1,1
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,Crypto Force,C. T. Keane,0,M. D. O'Callaghan,1st,N/A,2,9-5,-,True,1,1
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,Monnow Valley,D. W. O'Connor,0,Damian Joseph English,9th,2 3/4 l,2,9-5,-,True,1,1
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,Segomo (IRE),G. M. Ryan,0,Donnacha Aidan O'Brien,8th,1 3/4 l,2,9-5,-,True,1,1
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,He's Justagent (IRE),William James Lee,0,A. McIntyre,7th,3/4 l,2,9-5,-,True,1,1
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,Arabian Legend (IRE),A. J. Slattery,0,J. A. Stack,6th,1/2 l,2,9-5,-,True,1,1
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,Grey Fable (IRE),R. C. Colgan,0,Ms Sheila Lavery,5th,1 3/4 l,2,9-5,-,True,1,1
Curragh Racing Results | 1st June 2022 17:10,N/A,17:10,Good  (Turf),7f,Dubawi Spectre,Shane Foley,0,Mrs J. Harrington,4th,Short Head,2,9-5,-,True,1,1
