track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Too Much,Mark Winn,0,D Thompson,10th,1/2 l,5,9-3h,69,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Diligent Henry,D Fentiman,0,Jessica Macey,9th,3 1/2 l,4,8-4v,56,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Lucky Man (IRE),George Wood,0,J Candlish,8th,4 l,6,9-9,75,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Grace Taufan,K T O'Neill,0,Alice Haynes,7th,3/4 l,4,9-7t,73,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Livio Milo (IRE),Cam Hardie,0,S England,6th,1/2 l,5,8-13,65,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Thapa VC (IRE),J Mitchell,0,M G Rimell,5th,1/2 l,7,9-3t,69,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Albeseeingyer,D C Costello,0,Steph Hollinshead,4th,Head,6,9-9,75,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Finbar's Lad,Cieren Fallon,0,J & S Quinn,3rd,1 3/4 l,6,9-5,71,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Riot (IRE),D Tudhope,0,D O'Meara,2nd,3/4 l,8,9-8tv,74,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Beattie Is Back,J Garritty,0,R A Fahey,1st,N/A,6,9-6,72,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Too Much,Mark Winn,0,D Thompson,10th,1/2 l,5,9-3h,69,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Diligent Henry,D Fentiman,0,Jessica Macey,9th,3 1/2 l,4,8-4v,56,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Lucky Man (IRE),George Wood,0,J Candlish,8th,4 l,6,9-9,75,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Grace Taufan,K T O'Neill,0,Alice Haynes,7th,3/4 l,4,9-7t,73,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Livio Milo (IRE),Cam Hardie,0,S England,6th,1/2 l,5,8-13,65,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Thapa VC (IRE),J Mitchell,0,M G Rimell,5th,1/2 l,7,9-3t,69,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Albeseeingyer,D C Costello,0,Steph Hollinshead,4th,Head,6,9-9,75,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Finbar's Lad,Cieren Fallon,0,J & S Quinn,3rd,1 3/4 l,6,9-5,71,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Riot (IRE),D Tudhope,0,D O'Meara,2nd,3/4 l,8,9-8tv,74,True,1,1
Doncaster Racing Results | 15th June 2025 13:50,N/A,13:50,Good To Firm (Good In Places),7f 6y,Beattie Is Back,J Garritty,0,R A Fahey,1st,N/A,6,9-6,72,True,1,1
Doncaster Racing Results | 15th June 2025 14:25,N/A,14:25,Good To Firm,7f 6y,Wreck It Ryley (IRE),Rhys Clutterbuck,0,A D Brown,10th,5 l,5,9-9v,75,True,1,2
Doncaster Racing Results | 15th June 2025 14:25,N/A,14:25,Good To Firm,7f 6y,Count Palatine (IRE),Connor Beasley,0,M Dods,9th,2 3/4 l,4,9-9,75,True,1,2
Doncaster Racing Results | 15th June 2025 14:25,N/A,14:25,Good To Firm,7f 6y,Patontheback (IRE),J Mitchell,0,G Tutty,8th,1 3/4 l,7,8-13,65,True,1,2
