track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Prairie Echoes (IRE),C D Hayes,0,K P Cotter,10th,3 l,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,War Saint (IRE),P McGettigan,7,J P Murtagh,9th,3 1/4 l,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Glen And Tonic (IRE),L T McAteer,0,D Marnane,8th,Head,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Gia Mor (IRE),B M Coen,0,J P Murtagh,7th,Short Head,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Wild Berries (IRE),S Foley,0,R O'Sullivan,6th,1 1/2 l,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Fleur De Rose (IRE),P A Harnett,5,Donnacha O'Brien,5th,3/4 l,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Closely (IRE),W M Lordan,0,A P O'Brien,4th,Head,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Skydance,W J Lee,0,W McCreery,3rd,5 1/2 l,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Havana Anna,G M Ryan,0,Donnacha O'Brien,2nd,Neck,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Suzie Songs (IRE),C T Keane,0,G M Lyons,1st,N/A,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Prairie Echoes (IRE),C D Hayes,0,K P Cotter,10th,3 l,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,War Saint (IRE),P McGettigan,7,J P Murtagh,9th,3 1/4 l,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Glen And Tonic (IRE),L T McAteer,0,D Marnane,8th,Head,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Gia Mor (IRE),B M Coen,0,J P Murtagh,7th,Short Head,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Wild Berries (IRE),S Foley,0,R O'Sullivan,6th,1 1/2 l,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Fleur De Rose (IRE),P A Harnett,5,Donnacha O'Brien,5th,3/4 l,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Closely (IRE),W M Lordan,0,A P O'Brien,4th,Head,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Skydance,W J Lee,0,W McCreery,3rd,5 1/2 l,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Havana Anna,G M Ryan,0,Donnacha O'Brien,2nd,Neck,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 16:52,2025-06-13,16:52,Good,6f,Suzie Songs (IRE),C T Keane,0,G M Lyons,1st,N/A,2,9-2,-,True,1,1
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Staysound Susie (IRE),A J Slattery,0,A Slattery,19th,1/2 l,4,8-10,79,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Dandyville (IRE),L P Keniry,0,S R B Crawford,18th,3 1/2 l,7,9-8,91,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Chicago Fireball (IRE),B M Coen,0,J P Murtagh,17th,1 1/2 l,4,9-3v1,86,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,White Clover (IRE),N M Crosse,0,J G Murphy,16th,2 1/2 l,4,8-7,73,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Lough Leane (IRE),J Pietropaolo,7,Maurice Ahern,15th,3/4 l,5,8-11v1,80,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Goal Exceeded,Adam Caffrey,0,A McGuinness,14th,1 1/4 l,4,8-13t1,82,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Apache Outlaw (IRE),S Coen,7,A McGuinness,13th,1/2 l,5,9-2,85,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Pinar Del Rio,G M Ryan,0,K P Cotter,12th,Head,6,8-12p,81,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Dunum (IRE),W M Lordan,0,N Lupini,11th,1 1/2 l,7,9-12,95,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Go Athletico (FR),L T McAteer,0,A McGuinness,10th,Neck,7,9-8t,91,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Hightimeyouwon,J Kearney,3,Stephen Thorne,9th,1/2 l,9,9-4b,87,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Tina's Indian (IRE),R P Whelan,0,M Fahey,8th,Short Head,4,10-0,97,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Kings Time (IRE),S Foley,0,Mrs J Harrington,7th,1/2 l,5,9-5t,88,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Storm Piece,C T Keane,0,G M Lyons,6th,1 1/2 l,3,9-4,97,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,I Am Superman (IRE),K G Kennedy,5,M O'Callaghan,5th,1/2 l,9,9-6t,89,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Moltophino (IRE),C D Hayes,0,J A Kinsella,4th,Neck,4,9-6tp,89,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Barbapapa (IRE),D P McDonogh,0,H De Bromhead,3rd,Neck,6,8-13tp,82,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Heavenly Power (IRE),W J Lee,0,E Lynam,2nd,1 3/4 l,7,9-9,92,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Fort Vega (FR),R P Cleary,0,S Lavery,1st,N/A,5,9-3,86,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Staysound Susie (IRE),A J Slattery,0,A Slattery,19th,1/2 l,4,8-10,79,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Dandyville (IRE),L P Keniry,0,S R B Crawford,18th,3 1/2 l,7,9-8,91,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Chicago Fireball (IRE),B M Coen,0,J P Murtagh,17th,1 1/2 l,4,9-3v1,86,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,White Clover (IRE),N M Crosse,0,J G Murphy,16th,2 1/2 l,4,8-7,73,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Lough Leane (IRE),J Pietropaolo,7,Maurice Ahern,15th,3/4 l,5,8-11v1,80,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Goal Exceeded,Adam Caffrey,0,A McGuinness,14th,1 1/4 l,4,8-13t1,82,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Apache Outlaw (IRE),S Coen,7,A McGuinness,13th,1/2 l,5,9-2,85,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Pinar Del Rio,G M Ryan,0,K P Cotter,12th,Head,6,8-12p,81,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Dunum (IRE),W M Lordan,0,N Lupini,11th,1 1/2 l,7,9-12,95,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Go Athletico (FR),L T McAteer,0,A McGuinness,10th,Neck,7,9-8t,91,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Hightimeyouwon,J Kearney,3,Stephen Thorne,9th,1/2 l,9,9-4b,87,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Tina's Indian (IRE),R P Whelan,0,M Fahey,8th,Short Head,4,10-0,97,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Kings Time (IRE),S Foley,0,Mrs J Harrington,7th,1/2 l,5,9-5t,88,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Storm Piece,C T Keane,0,G M Lyons,6th,1 1/2 l,3,9-4,97,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,I Am Superman (IRE),K G Kennedy,5,M O'Callaghan,5th,1/2 l,9,9-6t,89,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Moltophino (IRE),C D Hayes,0,J A Kinsella,4th,Neck,4,9-6tp,89,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Barbapapa (IRE),D P McDonogh,0,H De Bromhead,3rd,Neck,6,8-13tp,82,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Heavenly Power (IRE),W J Lee,0,E Lynam,2nd,1 3/4 l,7,9-9,92,True,1,2
Cork Racing Results | 13th June 2025 17:25,2025-06-13,17:25,Good,7f,Fort Vega (FR),R P Cleary,0,S Lavery,1st,N/A,5,9-3,86,True,1,2
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Jack Major (IRE),G B Noonan,5,Ian O'Connor,12th,5 l,3,9-8t1,-,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Remember The Bear (IRE),Adam Caffrey,0,Miss H McLoughlin,11th,1 1/2 l,3,9-3h,52,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Pick A Window (IRE),R P Whelan,0,S G O'Donnell,10th,3 3/4 l,3,9-8,-,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Tino Pai (IRE),R P Cleary,0,S Lavery,9th,Short Head,3,9-3,60,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Jordan Breeze (IRE),D P McDonogh,0,P J Flynn,8th,Neck,3,9-8,-,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Remarkable News (IRE),G M Ryan,0,J Feane,7th,1 3/4 l,3,9-3b1,-,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Mercury Power (IRE),B M Coen,0,E Lynam,6th,3/4 l,3,9-3h,-,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,This Ain't Texas,L T McAteer,0,D Marnane,5th,Head,3,9-8,77,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Sakakibara (IRE),A Browne-Souza,10,W P Browne,4th,1 1/4 l,3,9-31,56,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Asdana (IRE),W J Lee,0,W McCreery,3rd,1 1/2 l,3,9-3v,69,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Glory To Be (IRE),C D Hayes,0,K Prendergast,2nd,1 3/4 l,3,9-3,-,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Kilmood Susan (IRE),S Foley,0,Daniel Murphy,1st,N/A,3,9-3b1,72,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Jack Major (IRE),G B Noonan,5,Ian O'Connor,12th,5 l,3,9-8t1,-,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Remember The Bear (IRE),Adam Caffrey,0,Miss H McLoughlin,11th,1 1/2 l,3,9-3h,52,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Pick A Window (IRE),R P Whelan,0,S G O'Donnell,10th,3 3/4 l,3,9-8,-,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Tino Pai (IRE),R P Cleary,0,S Lavery,9th,Short Head,3,9-3,60,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Jordan Breeze (IRE),D P McDonogh,0,P J Flynn,8th,Neck,3,9-8,-,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Remarkable News (IRE),G M Ryan,0,J Feane,7th,1 3/4 l,3,9-3b1,-,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Mercury Power (IRE),B M Coen,0,E Lynam,6th,3/4 l,3,9-3h,-,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,This Ain't Texas,L T McAteer,0,D Marnane,5th,Head,3,9-8,77,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Sakakibara (IRE),A Browne-Souza,10,W P Browne,4th,1 1/4 l,3,9-31,56,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Asdana (IRE),W J Lee,0,W McCreery,3rd,1 1/2 l,3,9-3v,69,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Glory To Be (IRE),C D Hayes,0,K Prendergast,2nd,1 3/4 l,3,9-3,-,True,1,3
Cork Racing Results | 13th June 2025 17:59,2025-06-13,17:59,Good,5f,Kilmood Susan (IRE),S Foley,0,Daniel Murphy,1st,N/A,3,9-3b1,72,True,1,3
Cork Racing Results | 13th June 2025 18:34,2025-06-13,18:34,Good To Yielding,5f,Ostraka (IRE),R P Whelan,0,Daniel Murphy,8th,4 1/2 l,5,9-7b,89,True,1,4
Cork Racing Results | 13th June 2025 18:34,2025-06-13,18:34,Good To Yielding,5f,Eclairage (IRE),S Foley,0,Daniel Murphy,7th,5 1/2 l,3,8-11t,87,True,1,4
Cork Racing Results | 13th June 2025 18:34,2025-06-13,18:34,Good To Yielding,5f,Magnum Force (IRE),C T Keane,0,G M Lyons,6th,3 l,3,9-7,111,True,1,4
Cork Racing Results | 13th June 2025 18:34,2025-06-13,18:34,Good To Yielding,5f,Navassa Island (IRE),W M Lordan,0,M O'Callaghan,5th,Head,4,9-4b,96,True,1,4
Cork Racing Results | 13th June 2025 18:34,2025-06-13,18:34,Good To Yielding,5f,Sir Yoshi (IRE),L T McAteer,0,D Marnane,4th,Short Head,3,9-2,99,True,1,4
Cork Racing Results | 13th June 2025 18:34,2025-06-13,18:34,Good To Yielding,5f,Erosandpsyche (IRE),W J Lee,0,Daniel Murphy,3rd,2 l,7,9-9b1,102,True,1,4
Cork Racing Results | 13th June 2025 18:34,2025-06-13,18:34,Good To Yielding,5f,Songhai (IRE),B M Coen,0,J P Murtagh,2nd,1 1/4 l,3,8-11,97,True,1,4
Cork Racing Results | 13th June 2025 18:34,2025-06-13,18:34,Good To Yielding,5f,Powerful Nation (IRE),A J Slattery,0,A Slattery,1st,N/A,3,9-2,103,True,1,4
