track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,Prospect House (IRE),Kieran Callaghan,4,Jamie Albert Sloan,PU,N/A,4,11-7,-,True,2,1
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,Autumn Philtre (IRE),A. P. Kelly,4,Charles P. Keegan,PU,N/A,6,11-12p1,-,True,2,1
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,Aill Dubh (IRE),Philip Donovan,2,Michael Flannery,PU,N/A,5,11-12,-,True,2,1
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,Areyougoinforone (IRE),L. C. Kavanagh,4,Ray Hackett,PU,N/A,6,11-12h1,-,True,2,1
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,Itso Vango (IRE),J. P. O'Sullivan,0,Miss Elizabeth Doyle,PU,N/A,5,11-12,-,True,2,1
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,Wee Terry (IRE),Miss A. M. King,4,Mark McNiff,11th,97 l,4,11-7,-,True,2,1
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,Didnt Ask (IRE),Jack G. Gilligan,4,Paul John Gilligan,10th,8 l,5,11-12,-,True,2,1
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,Talkingthetalk (IRE),S. Fitzgerald,0,Leonard Whitmore,9th,13 l,5,11-5,-,True,2,1
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,Highlander Casseul (FR),B. P. Kennedy,4,J. G. Coogan,8th,8 l,5,11-12,-,True,2,1
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,The Grey Monty (FR),K. E. Buckley,2,John McConnell,7th,5 1/2 l,5,11-5t1,-,True,2,1
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,Latest Model (IRE),Shane Fenelon,4,John Joseph Hanlon,6th,Nose,5,11-5,-,True,2,1
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,Kilmurry Jj (IRE),A. M. McCurtin,0,Michael Barry,5th,2 1/4 l,5,11-12t,-,True,2,1
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,Butty O Brien (IRE),E. Walsh,0,Patrick Magee,4th,11 l,6,11-5,-,True,2,1
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,Call Her Now (IRE),S. O'Callaghan,4,Mrs Lorna Fowler,3rd,15 l,5,11-5h1,-,True,2,1
Kilbeggan Racing Results | 5th June 2022 14:10,N/A,14:10,Good To Yielding,2m 2f 59y,Scenic Look (IRE),D. P. Maxwell,4,Adrian Murray,2nd,11 l,4,11-0,-,True,2,1
