track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Down Royal Racing Results | 20th June 2025 20:00,2025-06-20,20:00,Good,7f,Zero Fighter (IRE),J M Sheridan,0,E D Delany,14th,3 1/2 l,5,9-3p,46,True,2,1
Down Royal Racing Results | 20th June 2025 20:00,2025-06-20,20:00,Good,7f,Shuyak (IRE),N M Crosse,0,P J F Murphy,13th,2 1/4 l,3,8-9,47,True,2,1
Down Royal Racing Results | 20th June 2025 20:00,2025-06-20,20:00,Good,7f,Alex Belardo (IRE),D W O'Connor,0,J C McConnell,12th,1 1/4 l,4,10-1v,58,True,2,1
Down Royal Racing Results | 20th June 2025 20:00,2025-06-20,20:00,Good,7f,He's Justagent (IRE),R M Mulligan,7,Paul Mulligan,11th,Head,5,8-12,41,True,2,1
Down Royal Racing Results | 20th June 2025 20:00,2025-06-20,20:00,Good,7f,Nahori,W J Lee,0,N Lupini,10th,1/2 l,5,10-2p,59,True,2,1
Down Royal Racing Results | 20th June 2025 20:00,2025-06-20,20:00,Good,7f,Romantic War (IRE),C Geerdharry,7,T Cleary,9th,Neck,3,8-7,41,True,2,1
Down Royal Racing Results | 20th June 2025 20:00,2025-06-20,20:00,Good,7f,Distillate,Adam Caffrey,0,A McGuinness,8th,1 3/4 l,5,10-1t,58,True,2,1
Down Royal Racing Results | 20th June 2025 20:00,2025-06-20,20:00,Good,7f,Harriet Eagle (IRE),R Donaghue-Leahy,7,P J Flynn,7th,Neck,5,9-9,52,True,2,1
Down Royal Racing Results | 20th June 2025 20:00,2025-06-20,20:00,Good,7f,Big Baby Bull (IRE),R P Cleary,0,John Hayes,6th,3/4 l,9,9-9tp,52,True,2,1
Down Royal Racing Results | 20th June 2025 20:00,2025-06-20,20:00,Good,7f,Katie Ross (IRE),J Kearney,3,G P Cromwell,5th,1 1/4 l,3,9-1ht,53,True,2,1
Down Royal Racing Results | 20th June 2025 20:00,2025-06-20,20:00,Good,7f,Navorrosse (IRE),R Whearty,3,G A Kingston,4th,Neck,8,8-12,41,True,2,1
