track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Clonmel Racing Results | 10th June 2022 17:35,N/A,17:35,Yielding,2m,Millyinthemiddle (IRE),Conor Clarke,7,Emmet Mullins,PU,N/A,7,11-11p1,99,True,3,1
Clonmel Racing Results | 10th June 2022 17:35,N/A,17:35,Yielding,2m,La Mystere (IRE),S. O'Callaghan,7,Michael Winters,PU,N/A,7,11-2tb1,90,True,3,1
Clonmel Racing Results | 10th June 2022 17:35,N/A,17:35,Yielding,2m,Dangan Des Champs (IRE),S. D. Torrens,0,Robert Tyner,10th,15 l,7,10-13,87,True,3,1
Clonmel Racing Results | 10th June 2022 17:35,N/A,17:35,Yielding,2m,Super Proud,Conor Orr,0,John McConnell,9th,14 l,4,11-1,94,True,3,1
Clonmel Racing Results | 10th June 2022 17:35,N/A,17:35,Yielding,2m,Kilashee (IRE),J. P. Shinnick,7,John Patrick Ryan,8th,4 3/4 l,7,11-13,101,True,3,1
Clonmel Racing Results | 10th June 2022 17:35,N/A,17:35,Yielding,2m,Kilrush Scorpion (IRE),Mikey Hamill,0,Michael Winters,7th,1/2 l,7,10-11,85,True,3,1
Clonmel Racing Results | 10th June 2022 17:35,N/A,17:35,Yielding,2m,Gaelic Force (IRE),S. A. Mulcahy,7,Miss M. Harding,6th,26 l,6,10-9tp1,83,True,3,1
Clonmel Racing Results | 10th June 2022 17:35,N/A,17:35,Yielding,2m,Gold Creek (IRE),Jamie Hayes,7,Aengus King,5th,5 1/2 l,8,11-5p,93,True,3,1
Clonmel Racing Results | 10th June 2022 17:35,N/A,17:35,Yielding,2m,Natural Look (IRE),C. P. McNamara,0,Declan Queally,4th,4 l,6,10-9,83,True,3,1
Clonmel Racing Results | 10th June 2022 17:35,N/A,17:35,Yielding,2m,Must Be Dreaming (IRE),I. J. Power,0,G. Ahern,3rd,Neck,5,11-8t,96,True,3,1
Clonmel Racing Results | 10th June 2022 17:35,N/A,17:35,Yielding,2m,Cottie (IRE),C. Brassil,5,Henry de Bromhead,2nd,4 1/2 l,7,12-0t,102,True,3,1
