track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Moral Turpitude (IRE),N M Crosse,0,Daniel Murphy,14th,2 1/2 l,4,8-7tp,80,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Duran (IRE),Faye McManoman,0,N Tinkler,13th,3/4 l,4,8-12,87,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Fair Taxes (IRE),C D Hayes,0,R O'Sullivan,12th,1/2 l,4,8-7,81,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Thunderbear (IRE),J J G Ryan,3,J Davison,11th,Neck,5,10-0p,103,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Go Athletico (FR),Adam Caffrey,0,A McGuinness,10th,1 1/4 l,7,9-0t,89,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Greek Flower (IRE),W M Lordan,0,J Feane,9th,Neck,6,8-8,83,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Sporting Hero,Nicola Burns,7,D Hogan,8th,Short Head,5,8-7b,77,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Little Queenie (IRE),R Whearty,3,P W Flynn,7th,Head,6,9-3,92,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Apache Outlaw (IRE),R P Cleary,0,A McGuinness,6th,1 1/2 l,5,8-8,83,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Cuban Grey,R M Mulligan,7,P J McKenna,5th,1/2 l,5,8-7p,72,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Harry's Hill,M W Hassett,3,M Hassett,4th,1/2 l,7,8-7t,82,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,The Highway Rat (IRE),B M Coen,0,A Oliver,3rd,Short Head,7,9-10b1,99,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Red Evolution (IRE),J A Powell,3,M O'Callaghan,2nd,1 l,3,8-7,87,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Keke,W J Lee,0,E Lynam,1st,N/A,5,9-4t,93,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Moral Turpitude (IRE),N M Crosse,0,Daniel Murphy,14th,2 1/2 l,4,8-7tp,80,True,3,1
