track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Lyrae's Luck (IRE),C D Hayes,0,A McNamara,13th,Short Head,2,9-5,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Alkustreet (IRE),K J Leonard,0,Liam G O'brien,12th,3/4 l,2,8-13,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Invincible Will (IRE),R Whearty,3,G P Cromwell,11th,8 l,2,8-13,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Nephin Mountain (IRE),W Joyce,3,M Mulvany,10th,1 1/4 l,2,9-3,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Badger's Cove,R C Colgan,0,Kevin Coleman,9th,2 l,2,9-1,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Rolltight (IRE),S T McCullagh,0,Mrs J Harrington,8th,3 1/2 l,2,9-5,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Whatchadoin (IRE),J A Heffernan,0,J Halley,7th,4 1/2 l,2,9-5,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Askalon (GER),D McMonagle,0,J P O'Brien,6th,1/2 l,2,9-1,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,World Tour (IRE),W M Lordan,0,A P O'Brien,5th,3 1/2 l,2,9-3,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Allsortz (IRE),L T McAteer,0,D Marnane,4th,2 3/4 l,2,9-5,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Carwyn (IRE),J J G Ryan,3,G M Lyons,3rd,3/4 l,2,8-13,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Camden Fort (IRE),G M Ryan,0,Donnacha O'Brien,2nd,1 l,2,9-5,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Empty Wallet (IRE),Nicola Burns,7,G M Lyons,1st,N/A,2,8-11t1,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Lyrae's Luck (IRE),C D Hayes,0,A McNamara,13th,Short Head,2,9-5,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Alkustreet (IRE),K J Leonard,0,Liam G O'brien,12th,3/4 l,2,8-13,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Invincible Will (IRE),R Whearty,3,G P Cromwell,11th,8 l,2,8-13,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Nephin Mountain (IRE),W Joyce,3,M Mulvany,10th,1 1/4 l,2,9-3,-,True,4,1
Bellewstown Racing Results | 4th July 2025 17:15,2025-07-04,17:15,Good (Good To Yielding In Places)  (Turf),7f 195y,Badger's Cove,R C Colgan,0,Kevin Coleman,9th,2 l,2,9-1,-,True,4,1
