track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Dorries Dream (IRE),E Staples,7,Brendan Walsh,PU,N/A,6,10-13ht1,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Keep It Together (IRE),H E Sexton,7,D Buckley,PU,N/A,7,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Graigstar (IRE),J P O'Sullivan,0,D Queally,12th,44 l,5,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Atomic Queen (IRE),J Coen,3,Peter Fahey,11th,10 l,6,11-7,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Milesfromthehonk (IRE),D J Gilligan,0,G Elliott,10th,3/4 l,5,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Ponderosa Lady (IRE),A Balfe,7,G Keane,9th,12 l,5,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Is She Now (IRE),Mr B M Coonan,7,V C Ward,8th,1 1/4 l,7,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Rizedda (FR),D J O'Keeffe,0,H De Bromhead,7th,1 3/4 l,5,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Another Girl (IRE),P M O'Brien,7,D A McLoughlin,6th,3 1/4 l,5,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Backwithyourown (IRE),Niall Moore,5,J M Burke,5th,7 l,5,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Mile End,E Walsh,0,Ciaran Murphy,4th,4 1/2 l,5,11-7b,103,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Eye Of A Tiger (IRE),S F O'Keeffe,0,J P Ryan,3rd,1/2 l,5,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Kabylia (FR),C Stone-Walsh,3,G P Cromwell,2nd,5 l,5,11-7ht,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Kenisa Sport (FR),J W Kennedy,0,G Elliott,1st,N/A,5,11-7,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Dorries Dream (IRE),E Staples,7,Brendan Walsh,PU,N/A,6,10-13ht1,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Keep It Together (IRE),H E Sexton,7,D Buckley,PU,N/A,7,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Graigstar (IRE),J P O'Sullivan,0,D Queally,12th,44 l,5,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Atomic Queen (IRE),J Coen,3,Peter Fahey,11th,10 l,6,11-7,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Milesfromthehonk (IRE),D J Gilligan,0,G Elliott,10th,3/4 l,5,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Ponderosa Lady (IRE),A Balfe,7,G Keane,9th,12 l,5,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Is She Now (IRE),Mr B M Coonan,7,V C Ward,8th,1 1/4 l,7,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Rizedda (FR),D J O'Keeffe,0,H De Bromhead,7th,1 3/4 l,5,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Another Girl (IRE),P M O'Brien,7,D A McLoughlin,6th,3 1/4 l,5,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Backwithyourown (IRE),Niall Moore,5,J M Burke,5th,7 l,5,10-13,-,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Mile End,E Walsh,0,Ciaran Murphy,4th,4 1/2 l,5,11-7b,103,True,5,1
Kilbeggan Racing Results | 11th July 2025 16:25,2025-07-11,16:25,Good,2m,Eye Of A Tiger (IRE),S F O'Keeffe,0,J P Ryan,3rd,1/2 l,5,10-13,-,True,5,1
