track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Poets Cottage (IRE),B. J. Cooper,0,Noel Meade,UR,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Charlie Luciano (IRE),N. J. Ryan,7,Noel Meade,UR,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Dromore Glory (IRE),L. P. Dempsey,0,Paul W. Flynn,PU,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Dodie Baby (IRE),Donagh Meyler,0,Donal Commins,PU,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Kodis Well (IRE),G. B. Noonan,7,Martin Gerard McGuane,8th,22 l,3,10-5,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Vintage Release (IRE),K. C. Sexton,0,E. Sheehy,7th,1 1/4 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Apache Hammy (IRE),R. J. Condon,7,W. J. Lanigan,6th,12 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Gold Lunula (IRE),Phillip Enright,0,Mark McNiff,5th,22 l,3,10-5,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Adhuil (IRE),S. D. Torrens,0,Aidan Anthony Howard,4th,1 1/2 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Chargo,J. W. Kennedy,0,Gordon Elliott,3rd,7 l,3,10-5,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Mr Globalist (IRE),J. P. O'Sullivan,5,P. J. Rothwell,2nd,1 1/4 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Tory Reel (IRE),Patrick O'Hanlon,5,Andrew McNamara,1st,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Poets Cottage (IRE),B. J. Cooper,0,Noel Meade,UR,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Charlie Luciano (IRE),N. J. Ryan,7,Noel Meade,UR,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Dromore Glory (IRE),L. P. Dempsey,0,Paul W. Flynn,PU,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Dodie Baby (IRE),Donagh Meyler,0,Donal Commins,PU,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Kodis Well (IRE),G. B. Noonan,7,Martin Gerard McGuane,8th,22 l,3,10-5,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Vintage Release (IRE),K. C. Sexton,0,E. Sheehy,7th,1 1/4 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Apache Hammy (IRE),R. J. Condon,7,W. J. Lanigan,6th,12 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Gold Lunula (IRE),Phillip Enright,0,Mark McNiff,5th,22 l,3,10-5,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Adhuil (IRE),S. D. Torrens,0,Aidan Anthony Howard,4th,1 1/2 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Chargo,J. W. Kennedy,0,Gordon Elliott,3rd,7 l,3,10-5,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Mr Globalist (IRE),J. P. O'Sullivan,5,P. J. Rothwell,2nd,1 1/4 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Tory Reel (IRE),Patrick O'Hanlon,5,Andrew McNamara,1st,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Capture the Action (IRE),S. Fitzgerald,3,James Joseph Mangan,PU,N/A,9,11-7b,102,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Prince of Peace (IRE),S. F. O'Keeffe,0,W. J. Lanigan,PU,N/A,4,10-3,89,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Movie King (IRE),Peter Carberry,0,A. J. Martin,15th,6 l,5,10-7,88,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Ricky Bobby (IRE),A. M. McCurtin,3,John J. Walsh,14th,9 l,7,12-0,109,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Malbas,B. Hayes,0,John McConnell,13th,1 1/4 l,6,11-10t,105,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Rips Dream (IRE),G. B. Noonan,0,Patrick J. Flynn,12th,2 3/4 l,7,11-10,105,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Jakie Mac (IRE),D. King,7,Damian Murphy,11th,3 3/4 l,6,11-3h,98,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Gold Creek (IRE),M. M. McDonagh,5,Aengus King,10th,Neck,8,10-10p,91,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Mastermind (IRE),E. Walsh,5,Charles O'Brien,9th,3/4 l,8,11-4,99,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Double Talkin Jive (IRE),P. Townend,0,W. P. Mullins,8th,1/2 l,7,11-9ht,104,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Jakes Dream (IRE),R. J. Condon,7,Michael Winters,7th,1 1/2 l,7,11-8,103,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Lizlucky (IRE),Phillip Enright,0,Patrick T. Foley,6th,1 1/2 l,8,11-3t,98,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Kalnoo (IRE),Richard Deegan,0,S. Curling,5th,5 l,5,10-10p1,91,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Dixon Line,S. O'Callaghan,7,Adrian Sexton,4th,1 l,4,11-0,100,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,General Clermont (FR),D. E. Mullins,0,D. E. Fitzgerald,3rd,5 l,6,11-7,102,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Listentillitellyea (IRE),D. J. O'Keeffe,0,T. Gibney,2nd,12 l,6,11-10,105,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Delightfantastic (IRE),Mr H. C. Swan,7,John J. Walsh,1st,N/A,7,11-1t,96,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Capture the Action (IRE),S. Fitzgerald,3,James Joseph Mangan,PU,N/A,9,11-7b,102,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Prince of Peace (IRE),S. F. O'Keeffe,0,W. J. Lanigan,PU,N/A,4,10-3,89,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Movie King (IRE),Peter Carberry,0,A. J. Martin,15th,6 l,5,10-7,88,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Ricky Bobby (IRE),A. M. McCurtin,3,John J. Walsh,14th,9 l,7,12-0,109,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Malbas,B. Hayes,0,John McConnell,13th,1 1/4 l,6,11-10t,105,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Rips Dream (IRE),G. B. Noonan,0,Patrick J. Flynn,12th,2 3/4 l,7,11-10,105,True,6,2
