track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Rust To Riches (IRE),G B Noonan,5,C A McBratney,UR,N/A,8,10-11b,78,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Backonthegoagain (IRE),J C Gainford,0,C Bowe,PU,N/A,7,11-10p1,91,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Mrs Biddle (IRE),J J Slevin,0,G J Power,PU,N/A,7,11-9t,90,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Ocodango Boy (IRE),H E Sexton,7,P McCreery,5th,20 l,8,10-9p,76,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Fr Gilligansvoyge,P M O'Brien,7,John G Carr,4th,10 l,12,10-0tv,67,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Jimli's Cave (IRE),M P O'Connor,0,R K Watson,3rd,1/2 l,7,11-8b,89,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Our Zebo (IRE),A Harvey,5,N C Kelly,2nd,Head,6,11-6b,87,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Thehairyfella (IRE),J W Kennedy,0,G Elliott,1st,N/A,10,10-13p,80,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Rust To Riches (IRE),G B Noonan,5,C A McBratney,UR,N/A,8,10-11b,78,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Backonthegoagain (IRE),J C Gainford,0,C Bowe,PU,N/A,7,11-10p1,91,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Mrs Biddle (IRE),J J Slevin,0,G J Power,PU,N/A,7,11-9t,90,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Ocodango Boy (IRE),H E Sexton,7,P McCreery,5th,20 l,8,10-9p,76,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Fr Gilligansvoyge,P M O'Brien,7,John G Carr,4th,10 l,12,10-0tv,67,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Jimli's Cave (IRE),M P O'Connor,0,R K Watson,3rd,1/2 l,7,11-8b,89,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Our Zebo (IRE),A Harvey,5,N C Kelly,2nd,Head,6,11-6b,87,True,6,1
Downpatrick Racing Results | 14th July 2025 17:28,2025-07-14,17:28,Good (Good To Firm In Places),2m 7f 150y,Thehairyfella (IRE),J W Kennedy,0,G Elliott,1st,N/A,10,10-13p,80,True,6,1
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Sceitimini (IRE),J A Heffernan,0,R Sweeney,8th,6 l,2,9-7,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Monvoe (IRE),B M Coen,0,R P Cody,7th,7 l,2,9-7,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Ipanema Beach (IRE),G M Ryan,0,Donnacha O'Brien,6th,3 1/2 l,2,9-7p,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Bond,C T Keane,0,P Twomey,5th,1 3/4 l,2,9-7,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Hardy Warrior (IRE),D P McDonogh,0,J P O'Brien,4th,1 1/4 l,2,9-7,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Limestone (IRE),D McMonagle,0,J P O'Brien,3rd,3 1/4 l,2,9-7,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Endorsement (IRE),J Cleary,5,A P O'Brien,2nd,2 3/4 l,2,9-7,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Benvenuto Cellini (IRE),W M Lordan,0,A P O'Brien,1st,N/A,2,9-7,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Sceitimini (IRE),J A Heffernan,0,R Sweeney,8th,6 l,2,9-7,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Monvoe (IRE),B M Coen,0,R P Cody,7th,7 l,2,9-7,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Ipanema Beach (IRE),G M Ryan,0,Donnacha O'Brien,6th,3 1/2 l,2,9-7p,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Bond,C T Keane,0,P Twomey,5th,1 3/4 l,2,9-7,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Hardy Warrior (IRE),D P McDonogh,0,J P O'Brien,4th,1 1/4 l,2,9-7,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Limestone (IRE),D McMonagle,0,J P O'Brien,3rd,3 1/4 l,2,9-7,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Endorsement (IRE),J Cleary,5,A P O'Brien,2nd,2 3/4 l,2,9-7,-,True,6,2
Killarney Racing Results | 14th July 2025 17:15,2025-07-14,17:15,Yielding To Soft,1m 20y,Benvenuto Cellini (IRE),W M Lordan,0,A P O'Brien,1st,N/A,2,9-7,-,True,6,2
Killarney Racing Results | 14th July 2025 17:45,2025-07-14,17:45,Yielding To Soft,1m 20y,Bold Spirit (IRE),C T Keane,0,J J Murphy,4th,8 l,3,9-5,-,True,6,3
Killarney Racing Results | 14th July 2025 17:45,2025-07-14,17:45,Yielding To Soft,1m 20y,Tribal Nation,D McMonagle,0,J P O'Brien,3rd,3 1/2 l,3,9-9,92,True,6,3
Killarney Racing Results | 14th July 2025 17:45,2025-07-14,17:45,Yielding To Soft,1m 20y,Rion Rubette,M W Hassett,3,M Butler,2nd,2 1/4 l,3,9-4,86,True,6,3
Killarney Racing Results | 14th July 2025 17:45,2025-07-14,17:45,Yielding To Soft,1m 20y,Barbizon (IRE),S Foley,0,J J Murphy,1st,N/A,3,9-5,-,True,6,3
Killarney Racing Results | 14th July 2025 17:45,2025-07-14,17:45,Yielding To Soft,1m 20y,Bold Spirit (IRE),C T Keane,0,J J Murphy,4th,8 l,3,9-5,-,True,6,3
Killarney Racing Results | 14th July 2025 17:45,2025-07-14,17:45,Yielding To Soft,1m 20y,Tribal Nation,D McMonagle,0,J P O'Brien,3rd,3 1/2 l,3,9-9,92,True,6,3
Killarney Racing Results | 14th July 2025 17:45,2025-07-14,17:45,Yielding To Soft,1m 20y,Rion Rubette,M W Hassett,3,M Butler,2nd,2 1/4 l,3,9-4,86,True,6,3
Killarney Racing Results | 14th July 2025 17:45,2025-07-14,17:45,Yielding To Soft,1m 20y,Barbizon (IRE),S Foley,0,J J Murphy,1st,N/A,3,9-5,-,True,6,3
Killarney Racing Results | 14th July 2025 18:15,2025-07-14,18:15,Yielding To Soft,1m 20y,Edergole's Angel (IRE),N M Crosse,0,W McCreery,12th,1/2 l,3,9-0v,64,True,6,4
Killarney Racing Results | 14th July 2025 18:15,2025-07-14,18:15,Yielding To Soft,1m 20y,All Told (IRE),M W Hassett,3,J P O'Brien,11th,3/4 l,3,8-12,62,True,6,4
Killarney Racing Results | 14th July 2025 18:15,2025-07-14,18:15,Yielding To Soft,1m 20y,Faoladh (IRE),A J Slattery,0,A Slattery,10th,1 1/2 l,3,9-9t,73,True,6,4
