track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Roscommon Racing Results | 4th July 2022 20:30,N/A,20:30,Good  Flat (Turf),1m 7f 90y,Lockdown Daisy (IRE),Sarah Kavanagh,7,J. J. Lambe,15th,36 l,5,11-11,-,True,7,1
Roscommon Racing Results | 4th July 2022 20:30,N/A,20:30,Good  Flat (Turf),1m 7f 90y,Nurse Garvey (IRE),Ms K. M. Lee,7,Muredach Kelly,14th,1/2 l,4,11-7t1,-,True,7,1
Roscommon Racing Results | 4th July 2022 20:30,N/A,20:30,Good  Flat (Turf),1m 7f 90y,Dirha Lady (IRE),Ms S. C. McNamara,7,Thomas P. O'Connor,13th,7 l,5,11-11,-,True,7,1
Roscommon Racing Results | 4th July 2022 20:30,N/A,20:30,Good  Flat (Turf),1m 7f 90y,Valamar (IRE),Miss L. S. Howard,7,Timothy Townend,12th,2 3/4 l,6,11-11ht,-,True,7,1
Roscommon Racing Results | 4th July 2022 20:30,N/A,20:30,Good  Flat (Turf),1m 7f 90y,Rouge Ruby (IRE),Miss L. Costello,7,Roy W. Tector,11th,6 l,4,11-7,-,True,7,1
Roscommon Racing Results | 4th July 2022 20:30,N/A,20:30,Good  Flat (Turf),1m 7f 90y,Ellaria Moon (IRE),Miss Georgie Benson,7,Gordon Elliott,10th,7 1/2 l,4,11-7,-,True,7,1
Roscommon Racing Results | 4th July 2022 20:30,N/A,20:30,Good  Flat (Turf),1m 7f 90y,Bint Freya (IRE),Miss M. O'Sullivan,5,Thomas Cooper,9th,5 1/2 l,5,11-11,-,True,7,1
Roscommon Racing Results | 4th July 2022 20:30,N/A,20:30,Good  Flat (Turf),1m 7f 90y,Gaudriole (FR),Ms C. S. Crozier,7,Nigel Slevin,8th,5 1/2 l,6,11-11,-,True,7,1
Roscommon Racing Results | 4th July 2022 20:30,N/A,20:30,Good  Flat (Turf),1m 7f 90y,Ah Fuhgeddaboudit (IRE),Miss J. Townend,5,Denis Hogan,7th,3/4 l,4,11-7,-,True,7,1
Roscommon Racing Results | 4th July 2022 20:30,N/A,20:30,Good  Flat (Turf),1m 7f 90y,Drumderry Harlem (IRE),Miss T. Quail,7,Mark John Scallan,6th,1 1/2 l,6,11-11,-,True,7,1
Roscommon Racing Results | 4th July 2022 20:30,N/A,20:30,Good  Flat (Turf),1m 7f 90y,Free View (IRE),Ms K Hynes,7,Paul Nolan,5th,Head,6,11-11t,-,True,7,1
Roscommon Racing Results | 4th July 2022 20:30,N/A,20:30,Good  Flat (Turf),1m 7f 90y,Hob's Angel (IRE),Miss S. Ahern,7,Martin Gerard McGuane,4th,5 1/2 l,6,11-11,-,True,7,1
