track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Henry's Girlie (IRE),Mr J. W. Reilly,7,Fintan Feeney,13th,78 l,7,11-7,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Courthill (IRE),Mr B. Dunleavy,7,Michael E. Hallinan,12th,37 l,6,12-0t1,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Magnificent Seven (IRE),Miss F. Leaney,7,Mrs Lorna Fowler,11th,35 l,7,12-0t1,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Flaxfield (IRE),Mr C. P. Millar,7,Nigel Slevin,10th,1/2 l,5,12-0,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Lisscarney (IRE),Mr R. W. Barron,7,Thomas Coyle,9th,5 l,5,12-0,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Bingo Queen (IRE),Mr J. Kidd,7,Patrick Martin,8th,2 3/4 l,5,11-7,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Max Time (IRE),Mr M. J. M. O'Sullivan,7,I. Madden,7th,1 1/4 l,5,12-0,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Joshua Chamberlain (IRE),Mr J. Dunne,7,Gerard Keane,6th,1/2 l,5,12-0h,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Grivei (FR),Mr P. W. Mullins,0,W. P. Mullins,5th,Neck,5,12-0,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Attaboyarchie (IRE),Miss E. J. Sweeney,7,Dermot Anthony McLoughlin,4th,9 l,5,12-0,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Google De L'ecu (FR),Mr D. G. Lavery,0,Patrick Eugene Turley,3rd,3/4 l,6,11-7,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Eire Street (IRE),Mr S. Cavanagh,7,Denis Paul Murphy,2nd,1 1/4 l,5,12-0,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,On the Sixth Day (IRE),Mr H. C. Swan,7,John Patrick Ryan,1st,N/A,6,11-7,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Henry's Girlie (IRE),Mr J. W. Reilly,7,Fintan Feeney,13th,78 l,7,11-7,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Courthill (IRE),Mr B. Dunleavy,7,Michael E. Hallinan,12th,37 l,6,12-0t1,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Magnificent Seven (IRE),Miss F. Leaney,7,Mrs Lorna Fowler,11th,35 l,7,12-0t1,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Flaxfield (IRE),Mr C. P. Millar,7,Nigel Slevin,10th,1/2 l,5,12-0,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Lisscarney (IRE),Mr R. W. Barron,7,Thomas Coyle,9th,5 l,5,12-0,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Bingo Queen (IRE),Mr J. Kidd,7,Patrick Martin,8th,2 3/4 l,5,11-7,-,True,8,1
Sligo Racing Results | 10th July 2022 17:05,N/A,17:05,Good To Yielding,2m 2f,Max Time (IRE),Mr M. J. M. O'Sullivan,7,I. Madden,7th,1 1/4 l,5,12-0,-,True,8,1
