track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Greatest Drama (IRE),B M Coen,0,J P Murtagh,10th,3/4 l,3,9-2p1,87,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Unexpected Issues (IRE),A J Slattery,0,J A Stack,9th,2 1/4 l,3,9-2,89,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Super Sox,S Foley,0,P Twomey,8th,2 1/4 l,4,9-10,100,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Sparkling Sea (IRE),G F Carroll,0,G M Lyons,7th,1/2 l,3,9-2,95,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Lady With The Lamp (IRE),D McMonagle,0,J P O'Brien,6th,Short Head,3,9-5,102,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Charasson (IRE),J A Heffernan,0,J Feane,5th,1 1/2 l,3,9-2,-,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Navassa Island (IRE),R P Whelan,0,M O'Callaghan,4th,1 1/2 l,4,9-7b,94,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Bellaphina (IRE),J J G Ryan,0,J A Kinsella,3rd,1/2 l,5,9-7tv1,91,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Carla Ridge (IRE),C D Hayes,0,E & P Harty,2nd,3/4 l,3,9-2,99,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Sky Majesty (IRE),Tom Marquand,0,W J Haggas,1st,N/A,3,9-9,108,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Greatest Drama (IRE),B M Coen,0,J P Murtagh,10th,3/4 l,3,9-2p1,87,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Unexpected Issues (IRE),A J Slattery,0,J A Stack,9th,2 1/4 l,3,9-2,89,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Super Sox,S Foley,0,P Twomey,8th,2 1/4 l,4,9-10,100,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Sparkling Sea (IRE),G F Carroll,0,G M Lyons,7th,1/2 l,3,9-2,95,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Lady With The Lamp (IRE),D McMonagle,0,J P O'Brien,6th,Short Head,3,9-5,102,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Charasson (IRE),J A Heffernan,0,J Feane,5th,1 1/2 l,3,9-2,-,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Navassa Island (IRE),R P Whelan,0,M O'Callaghan,4th,1 1/2 l,4,9-7b,94,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Bellaphina (IRE),J J G Ryan,0,J A Kinsella,3rd,1/2 l,5,9-7tv1,91,True,8,1
Naas Racing Results | 23rd July 2025 18:40,2025-07-23,18:40,Yielding,5f 205y,Carla Ridge (IRE),C D Hayes,0,E & P Harty,2nd,3/4 l,3,9-2,99,True,8,1
