track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Jet Setting Jim (IRE),J J Slevin,0,J Queally,F,N/A,8,11-12,130,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Glens Sensation (IRE),D J O'Keeffe,0,Peter Fahey,8th,21 l,7,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Justabitofyours (IRE),J G Gilligan,5,P J Gilligan,7th,15 l,5,11-5,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Bright Legend (IRE),D King,0,D Hogan,6th,7 1/2 l,5,11-12t1,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Great Attitude (GER),R A Doyle,0,C W J Farrell,5th,4 1/2 l,6,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,More Coko (FR),B Hayes,0,W P Mullins,4th,3 1/4 l,5,11-12h,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Royal Eagle (IRE),Sam Ewing,0,G Elliott,3rd,5 l,7,11-5,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,My Great Mate (IRE),P Townend,0,W P Mullins,2nd,3 3/4 l,6,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,King Of Kingsfield (IRE),J W Kennedy,0,G Elliott,1st,N/A,7,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Jet Setting Jim (IRE),J J Slevin,0,J Queally,F,N/A,8,11-12,130,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Glens Sensation (IRE),D J O'Keeffe,0,Peter Fahey,8th,21 l,7,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Justabitofyours (IRE),J G Gilligan,5,P J Gilligan,7th,15 l,5,11-5,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Bright Legend (IRE),D King,0,D Hogan,6th,7 1/2 l,5,11-12t1,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Great Attitude (GER),R A Doyle,0,C W J Farrell,5th,4 1/2 l,6,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,More Coko (FR),B Hayes,0,W P Mullins,4th,3 1/4 l,5,11-12h,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Royal Eagle (IRE),Sam Ewing,0,G Elliott,3rd,5 l,7,11-5,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,My Great Mate (IRE),P Townend,0,W P Mullins,2nd,3 3/4 l,6,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,King Of Kingsfield (IRE),J W Kennedy,0,G Elliott,1st,N/A,7,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Trusty Tycoon (IRE),C Geerdharry,7,R K Watson,8th,8 1/2 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Pretty Liz (IRE),J M Sheridan,0,D Hogan,7th,7 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Green Testimony (IRE),M W Hassett,3,J P O'Brien,6th,1/2 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Bear Right (IRE),R P Whelan,0,Mrs J Harrington,5th,2 1/4 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Thenandnow (IRE),S Foley,0,Mrs J Harrington,4th,1/2 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Black Caviar Gold (IRE),C D Hayes,0,P Twomey,3rd,2 3/4 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Amelia Earhart (IRE),J Cleary,5,A P O'Brien,2nd,4 1/4 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Pivotal Attack,G F Carroll,0,J G Murphy,1st,N/A,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Trusty Tycoon (IRE),C Geerdharry,7,R K Watson,8th,8 1/2 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Pretty Liz (IRE),J M Sheridan,0,D Hogan,7th,7 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Green Testimony (IRE),M W Hassett,3,J P O'Brien,6th,1/2 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Bear Right (IRE),R P Whelan,0,Mrs J Harrington,5th,2 1/4 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Thenandnow (IRE),S Foley,0,Mrs J Harrington,4th,1/2 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Black Caviar Gold (IRE),C D Hayes,0,P Twomey,3rd,2 3/4 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Amelia Earhart (IRE),J Cleary,5,A P O'Brien,2nd,4 1/4 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Pivotal Attack,G F Carroll,0,J G Murphy,1st,N/A,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Slieve Binnian (IRE),L T McAteer,0,D Marnane,14th,Short Head,5,9-6,96,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Grey Leader (IRE),M W Hassett,3,J G Murphy,13th,3/4 l,5,8-9,85,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Monasterboice (IRE),R Whearty,3,N Meade,12th,1/2 l,4,8-11p,87,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Coeur d'Or (IRE),C D Hayes,0,D K Weld,11th,1 l,9,9-8t,98,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Norwalk Havoc,S Foley,0,Mrs J Harrington,10th,1 1/4 l,4,9-12tp,102,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Evening Blossom (IRE),D P McDonogh,0,J P O'Brien,9th,3/4 l,4,9-10t,100,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Independent Expert (IRE),J Kearney,3,Stephen Thorne,8th,3/4 l,6,9-3,93,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Chazzesmee (IRE),J M Sheridan,0,J A Stack,7th,1 l,7,9-2h,92,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Howyoulikethat (IRE),B M Coen,0,Miss H McLoughlin,6th,3/4 l,8,9-7,97,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Mississippi River (IRE),J Cleary,5,A P O'Brien,5th,1/2 l,3,8-13b,98,True,9,3
