track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Only Sky (IRE),Shane Foley,0,Mrs J. Harrington,8th,4 3/4 l,4,9-8p,78,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Coeur d'Or (IRE),C. D. Hayes,0,D. K. Weld,7th,4 1/4 l,6,9-2,72,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Son Of Hypnos (IRE),R. C. Colgan,0,Kevin Michael Smith,6th,Short Head,5,9-6tp,76,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Kodiac Prince (IRE),R. P. Cleary,0,Thomas Cleary,5th,1/2 l,5,9-1p,71,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Burren Song (IRE),A. J. Slattery,0,A. Slattery,4th,6 1/2 l,4,9-5t,75,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Youmdor (FR),C. T. Keane,0,W. P. Mullins,3rd,6 1/2 l,5,9-13,83,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Stellium (IRE),William James Lee,0,M. C. Grassick,2nd,5 1/2 l,4,10-0,84,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Sionnach Eile (IRE),G. F. Carroll,0,Joseph G. Murphy,1st,N/A,5,9-12h1,82,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Only Sky (IRE),Shane Foley,0,Mrs J. Harrington,8th,4 3/4 l,4,9-8p,78,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Coeur d'Or (IRE),C. D. Hayes,0,D. K. Weld,7th,4 1/4 l,6,9-2,72,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Son Of Hypnos (IRE),R. C. Colgan,0,Kevin Michael Smith,6th,Short Head,5,9-6tp,76,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Kodiac Prince (IRE),R. P. Cleary,0,Thomas Cleary,5th,1/2 l,5,9-1p,71,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Burren Song (IRE),A. J. Slattery,0,A. Slattery,4th,6 1/2 l,4,9-5t,75,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Youmdor (FR),C. T. Keane,0,W. P. Mullins,3rd,6 1/2 l,5,9-13,83,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Stellium (IRE),William James Lee,0,M. C. Grassick,2nd,5 1/2 l,4,10-0,84,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:05,N/A,20:05,Good To Yielding,1m 4f 126y,Sionnach Eile (IRE),G. F. Carroll,0,Joseph G. Murphy,1st,N/A,5,9-12h1,82,True,10,1
Ballinrobe Racing Results | 18th July 2022 20:35,N/A,20:35,Good To Yielding,1m 4f 126y,Emeric (IRE),L. T. McAteer,3,Paul W. Flynn,7th,2 1/4 l,5,9-9,-,True,10,2
Ballinrobe Racing Results | 18th July 2022 20:35,N/A,20:35,Good To Yielding,1m 4f 126y,Vintage Writer (IRE),Shane Foley,0,Seamus Fahey,6th,22 l,6,9-9h,-,True,10,2
Ballinrobe Racing Results | 18th July 2022 20:35,N/A,20:35,Good To Yielding,1m 4f 126y,Born By The Sea (IRE),D. J. Gilligan,7,Paul John Gilligan,5th,17 l,8,9-9,-,True,10,2
Ballinrobe Racing Results | 18th July 2022 20:35,N/A,20:35,Good To Yielding,1m 4f 126y,Thermoscope (IRE),R. C. Colgan,0,Ms Sheila Lavery,4th,4 1/2 l,4,9-9,-,True,10,2
Ballinrobe Racing Results | 18th July 2022 20:35,N/A,20:35,Good To Yielding,1m 4f 126y,Thousand Tears (IRE),Julie Burke,0,John Michael Burke,3rd,Short Head,7,9-9,-,True,10,2
Ballinrobe Racing Results | 18th July 2022 20:35,N/A,20:35,Good To Yielding,1m 4f 126y,San Salvador (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,2nd,5 l,6,9-9,-,True,10,2
Ballinrobe Racing Results | 18th July 2022 20:35,N/A,20:35,Good To Yielding,1m 4f 126y,Midnight Run (IRE),S. M. Crosse,0,Joseph Patrick O'Brien,1st,N/A,8,9-9,-,True,10,2
Ballinrobe Racing Results | 18th July 2022 20:35,N/A,20:35,Good To Yielding,1m 4f 126y,Emeric (IRE),L. T. McAteer,3,Paul W. Flynn,7th,2 1/4 l,5,9-9,-,True,10,2
Ballinrobe Racing Results | 18th July 2022 20:35,N/A,20:35,Good To Yielding,1m 4f 126y,Vintage Writer (IRE),Shane Foley,0,Seamus Fahey,6th,22 l,6,9-9h,-,True,10,2
Ballinrobe Racing Results | 18th July 2022 20:35,N/A,20:35,Good To Yielding,1m 4f 126y,Born By The Sea (IRE),D. J. Gilligan,7,Paul John Gilligan,5th,17 l,8,9-9,-,True,10,2
Ballinrobe Racing Results | 18th July 2022 20:35,N/A,20:35,Good To Yielding,1m 4f 126y,Thermoscope (IRE),R. C. Colgan,0,Ms Sheila Lavery,4th,4 1/2 l,4,9-9,-,True,10,2
Ballinrobe Racing Results | 18th July 2022 20:35,N/A,20:35,Good To Yielding,1m 4f 126y,Thousand Tears (IRE),Julie Burke,0,John Michael Burke,3rd,Short Head,7,9-9,-,True,10,2
Ballinrobe Racing Results | 18th July 2022 20:35,N/A,20:35,Good To Yielding,1m 4f 126y,San Salvador (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,2nd,5 l,6,9-9,-,True,10,2
Ballinrobe Racing Results | 18th July 2022 20:35,N/A,20:35,Good To Yielding,1m 4f 126y,Midnight Run (IRE),S. M. Crosse,0,Joseph Patrick O'Brien,1st,N/A,8,9-9,-,True,10,2
Ballinrobe Racing Results | 19th July 2022 16:30,N/A,16:30,Good,2m 1f 95y,Prayer Moon (FR),J. P. O'Sullivan,5,P. J. Rothwell,PU,N/A,4,11-0,-,True,10,3
Ballinrobe Racing Results | 19th July 2022 16:30,N/A,16:30,Good,2m 1f 95y,Turkestan,Mr J. J. Gerrard,7,Mark McNiff,F,N/A,5,11-4t,-,True,10,3
