track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Queen Amanirenas (IRE),S. D. Bowen,2,Charles Coakley,10th,17 l,4,8-7,43,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,She's Good Company (IRE),A. C. Persse,0,Adrian McGuinness,9th,4 1/2 l,4,8-7,46,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,All Class (FR),D. J. Gilligan,2,Ronan M. P. McNally,8th,3 l,7,10-4,74,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Magi Gal (IRE),Kyanna Van Buuren,4,John McConnell,7th,6 1/2 l,6,8-10t,52,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Fattan,J. Kearney,2,D. Broad,6th,2 1/4 l,5,9-4tb,60,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Arctic Blaze (IRE),Cillian McConnell,2,John McConnell,5th,4 3/4 l,6,9-8p,64,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Universal Focus (GER),R. Whearty,2,Ross O'Sullivan,4th,1 1/4 l,9,8-9b,51,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Storm Steps (IRE),Wesley Joyce,2,Patrick Martin,3rd,1/2 l,7,9-9t,65,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Dinamine (IRE),Adam Caffrey,2,David Peter Dunne,2nd,Nose,4,8-13,55,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Five Zeros (IRE),Amy Jo Hayes,2,Nigel Slevin,1st,N/A,5,9-1,57,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Queen Amanirenas (IRE),S. D. Bowen,2,Charles Coakley,10th,17 l,4,8-7,43,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,She's Good Company (IRE),A. C. Persse,0,Adrian McGuinness,9th,4 1/2 l,4,8-7,46,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,All Class (FR),D. J. Gilligan,2,Ronan M. P. McNally,8th,3 l,7,10-4,74,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Magi Gal (IRE),Kyanna Van Buuren,4,John McConnell,7th,6 1/2 l,6,8-10t,52,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Fattan,J. Kearney,2,D. Broad,6th,2 1/4 l,5,9-4tb,60,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Arctic Blaze (IRE),Cillian McConnell,2,John McConnell,5th,4 3/4 l,6,9-8p,64,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Universal Focus (GER),R. Whearty,2,Ross O'Sullivan,4th,1 1/4 l,9,8-9b,51,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Storm Steps (IRE),Wesley Joyce,2,Patrick Martin,3rd,1/2 l,7,9-9t,65,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Dinamine (IRE),Adam Caffrey,2,David Peter Dunne,2nd,Nose,4,8-13,55,True,11,1
Down Royal Racing Results | 22nd July 2022 20:00,N/A,20:00,Good (Good To Firm In Places),1m 4f 175y,Five Zeros (IRE),Amy Jo Hayes,2,Nigel Slevin,1st,N/A,5,9-1,57,True,11,1
Down Royal Racing Results | 22nd July 2022 20:30,N/A,20:30,Good (Good To Firm In Places),1m 4f 175y,Griseo (IRE),G. F. Carroll,0,John McConnell,10th,3/4 l,3,9-0,56,True,11,2
Down Royal Racing Results | 22nd July 2022 20:30,N/A,20:30,Good (Good To Firm In Places),1m 4f 175y,Alice Diamond (IRE),W. M. Lordan,0,Noel Meade,9th,4 1/2 l,3,8-8,50,True,11,2
Down Royal Racing Results | 22nd July 2022 20:30,N/A,20:30,Good (Good To Firm In Places),1m 4f 175y,Tharif (IRE),C. D. Hayes,0,D. K. Weld,8th,1 3/4 l,3,9-10p1,66,True,11,2
Down Royal Racing Results | 22nd July 2022 20:30,N/A,20:30,Good (Good To Firm In Places),1m 4f 175y,The Rebel Breen,C. T. Keane,0,Noel Meade,7th,1 l,3,9-10,66,True,11,2
Down Royal Racing Results | 22nd July 2022 20:30,N/A,20:30,Good (Good To Firm In Places),1m 4f 175y,Eagles Perch (IRE),Siobhan Rutledge,5,John McConnell,6th,1/2 l,3,9-1,57,True,11,2
Down Royal Racing Results | 22nd July 2022 20:30,N/A,20:30,Good (Good To Firm In Places),1m 4f 175y,Flash of Dawn (IRE),K. J. Manning,0,J. S. Bolger,5th,2 3/4 l,3,9-12,68,True,11,2
Down Royal Racing Results | 22nd July 2022 20:30,N/A,20:30,Good (Good To Firm In Places),1m 4f 175y,Steps In The Sand (IRE),Jack Cleary,7,Ms Sheila Lavery,4th,1/2 l,3,9-9,65,True,11,2
