track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Cruisin Susan (IRE),Mr J P Berry,7,J A Berry,PU,N/A,8,11-3,86,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Churchill Rose (IRE),D J O'Keeffe,0,Arthur Goulding,PU,N/A,5,10-9p,78,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Oscar Tonic (IRE),S F O'Keeffe,0,S Aherne,PU,N/A,10,10-5,74,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Dont Tell Shirley (IRE),P T Enright,0,S Curling,PU,N/A,6,11-4,87,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Poetic Focus (IRE),E Staples,7,P Nolan,PU,N/A,5,11-11h,94,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Tuff Days (IRE),M P O'Connor,0,Michael Barry,F,N/A,8,10-5p,74,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Southgate Avenue (IRE),Niall Moore,5,P Fenton,8th,2 1/4 l,5,11-1,84,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Doyen Lady (IRE),R P Treacy,0,M Butler,7th,21 l,7,10-5tp1,74,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Lily's Choice (IRE),S W Flanagan,0,D H Kelly,6th,20 l,7,10-12,81,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Kalnoo (IRE),C M Quirke,0,P Kiely,5th,5 l,8,10-9b,78,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Blossom De Mai (FR),S D Torrens,0,P J Rothwell,4th,2 1/2 l,8,10-13,82,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Bayou Belle (IRE),P T Smithers,7,J P Fahey,3rd,3 1/2 l,6,11-12,95,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Technology (IRE),A Harvey,5,J C McConnell,2nd,2 1/2 l,8,11-5ht1,88,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Corbally Cross (IRE),R J Condon,5,Con McSweeney,1st,N/A,6,11-1,84,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Cruisin Susan (IRE),Mr J P Berry,7,J A Berry,PU,N/A,8,11-3,86,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Churchill Rose (IRE),D J O'Keeffe,0,Arthur Goulding,PU,N/A,5,10-9p,78,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Oscar Tonic (IRE),S F O'Keeffe,0,S Aherne,PU,N/A,10,10-5,74,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Dont Tell Shirley (IRE),P T Enright,0,S Curling,PU,N/A,6,11-4,87,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Poetic Focus (IRE),E Staples,7,P Nolan,PU,N/A,5,11-11h,94,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Tuff Days (IRE),M P O'Connor,0,Michael Barry,F,N/A,8,10-5p,74,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Southgate Avenue (IRE),Niall Moore,5,P Fenton,8th,2 1/4 l,5,11-1,84,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Doyen Lady (IRE),R P Treacy,0,M Butler,7th,21 l,7,10-5tp1,74,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Lily's Choice (IRE),S W Flanagan,0,D H Kelly,6th,20 l,7,10-12,81,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Kalnoo (IRE),C M Quirke,0,P Kiely,5th,5 l,8,10-9b,78,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Blossom De Mai (FR),S D Torrens,0,P J Rothwell,4th,2 1/2 l,8,10-13,82,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Bayou Belle (IRE),P T Smithers,7,J P Fahey,3rd,3 1/2 l,6,11-12,95,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Technology (IRE),A Harvey,5,J C McConnell,2nd,2 1/2 l,8,11-5ht1,88,True,11,1
Wexford Racing Results | 8th August 2025 18:03,2025-08-08,18:03,Good To Yielding,3m,Corbally Cross (IRE),R J Condon,5,Con McSweeney,1st,N/A,6,11-1,84,True,11,1
Wexford Racing Results | 8th August 2025 18:38,2025-08-08,18:38,Good To Yielding,3m,Stretchemout (IRE),J W Kennedy,0,G Elliott,PU,N/A,5,12-0tp,98,True,11,2
Wexford Racing Results | 8th August 2025 18:38,2025-08-08,18:38,Good To Yielding,3m,Dorans Mill (IRE),S D Torrens,0,P J Rothwell,PU,N/A,6,10-5,75,True,11,2
