track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Leclerc,C. J. MacRedmond,5,Adrian McGuinness,17th,Neck,4,10-2,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Alquinto (IRE),M. A. Enright,0,Miss Hilary McLoughlin,16th,4 3/4 l,5,10-2,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Portarlington (IRE),J. Coen,5,David Kenneth Budds,15th,4 1/2 l,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Casino Queen (USA),Declan McDonogh,0,Eddie & Patrick Harty,14th,2 3/4 l,3,9-3,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Jeffs Princess (IRE),Rachael Blackmore,0,Ray Hackett,13th,6 1/2 l,6,9-11,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Secret Rock (IRE),R. C. Colgan,0,A. J. Martin,12th,Head,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Keep Sharp (IRE),K. J. Manning,0,J. S. Bolger,11th,2 l,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Albatala (IRE),Siobhan Rutledge,5,John McConnell,10th,2 1/2 l,3,9-3,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Olympicus (USA),S. M. Crosse,0,Joseph Patrick O'Brien,9th,1/2 l,3,9-8t,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,The Vik (IRE),A. J. Slattery,0,A. Slattery,8th,2 l,3,9-8p1,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Melnik (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,7th,1/2 l,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Passage of War (IRE),N. M. Crosse,3,Luke Comer,6th,1/2 l,3,9-8tp1,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Touching Clouds (USA),C. D. Hayes,0,D. K. Weld,5th,Short Head,3,9-3,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Adonis (IRE),Shane Foley,0,Mrs J. Harrington,4th,Neck,3,9-8b,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Lizzy's Filly (IRE),D. B. McMonagle,0,Ciaran Murphy,3rd,1/2 l,3,9-3,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Samuel Pepys (IRE),W. M. Lordan,0,Aidan O'Brien,2nd,2 3/4 l,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Saraqael (IRE),William James Lee,0,R. P. Cody,1st,N/A,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Leclerc,C. J. MacRedmond,5,Adrian McGuinness,17th,Neck,4,10-2,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Alquinto (IRE),M. A. Enright,0,Miss Hilary McLoughlin,16th,4 3/4 l,5,10-2,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Portarlington (IRE),J. Coen,5,David Kenneth Budds,15th,4 1/2 l,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Casino Queen (USA),Declan McDonogh,0,Eddie & Patrick Harty,14th,2 3/4 l,3,9-3,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Jeffs Princess (IRE),Rachael Blackmore,0,Ray Hackett,13th,6 1/2 l,6,9-11,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Secret Rock (IRE),R. C. Colgan,0,A. J. Martin,12th,Head,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Keep Sharp (IRE),K. J. Manning,0,J. S. Bolger,11th,2 l,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Albatala (IRE),Siobhan Rutledge,5,John McConnell,10th,2 1/2 l,3,9-3,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Olympicus (USA),S. M. Crosse,0,Joseph Patrick O'Brien,9th,1/2 l,3,9-8t,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,The Vik (IRE),A. J. Slattery,0,A. Slattery,8th,2 l,3,9-8p1,-,True,12,1
