track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Ontheprom (IRE),D Meyler,0,K Purcell,PU,N/A,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Unknown God (IRE),D J O'Keeffe,0,P Breen,PU,N/A,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Zaryagle (IRE),S D Torrens,0,P J Rothwell,9th,Head,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Morning Mayhem,R A Doyle,0,P Flood,8th,29 l,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Fine Print (IRE),B W Harvey,0,J C McConnell,7th,5 1/2 l,4,11-7t,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Gypsy Poet (IRE),R Deegan,0,Liz Doyle,6th,4 1/2 l,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Footstepstoglory (IRE),R P Treacy,0,D H Kelly,5th,15 l,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Eastern Blue Bird (IRE),H E Sexton,7,P A Fahy,4th,19 l,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Harpy Eagle (IRE),P J Cody,7,R P Cody,3rd,1 3/4 l,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Louiescall (IRE),C M Quirke,0,D H Kelly,2nd,3/4 l,4,11-7,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Tatateo (IRE),D King,0,D Hogan,1st,N/A,4,11-7t,115,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Ontheprom (IRE),D Meyler,0,K Purcell,PU,N/A,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Unknown God (IRE),D J O'Keeffe,0,P Breen,PU,N/A,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Zaryagle (IRE),S D Torrens,0,P J Rothwell,9th,Head,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Morning Mayhem,R A Doyle,0,P Flood,8th,29 l,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Fine Print (IRE),B W Harvey,0,J C McConnell,7th,5 1/2 l,4,11-7t,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Gypsy Poet (IRE),R Deegan,0,Liz Doyle,6th,4 1/2 l,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Footstepstoglory (IRE),R P Treacy,0,D H Kelly,5th,15 l,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Eastern Blue Bird (IRE),H E Sexton,7,P A Fahy,4th,19 l,4,10-13,-,True,12,1
Tramore Racing Results | 14th August 2025 18:05,2025-08-14,18:05,Good,2m,Harpy Eagle (IRE),P J Cody,7,R P Cody,3rd,1 3/4 l,4,10-13,-,True,12,1
