track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Kuma Queen (IRE),L F Roche,0,P Stafford,10th,1 1/4 l,2,9-2,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Lazy River (IRE),Nicola Burns,7,J G Coogan,9th,1 l,2,9-2,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Lonradh (IRE),D P McDonogh,0,J S Bolger,8th,2 l,2,9-2p1,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Badger's Cove,R C Colgan,0,Kevin Coleman,7th,4 1/2 l,2,9-7,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Tahcawin (IRE),G F Carroll,0,J G Murphy,6th,3 3/4 l,2,9-2,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Nod Of Approval (IRE),S T McCullagh,0,Mrs J Harrington,5th,1 1/4 l,2,9-7,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Tharaka (IRE),N G McCullagh,0,K J Condon,4th,1 1/2 l,2,9-2t,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Idiocracy (IRE),D McMonagle,0,J P O'Brien,3rd,3/4 l,2,9-2,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Spinning Around (IRE),G M Ryan,0,Donnacha O'Brien,2nd,3/4 l,2,9-2,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Echo Of Faith (IRE),S Foley,0,Mrs J Harrington,1st,N/A,2,9-7,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Kuma Queen (IRE),L F Roche,0,P Stafford,10th,1 1/4 l,2,9-2,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Lazy River (IRE),Nicola Burns,7,J G Coogan,9th,1 l,2,9-2,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Lonradh (IRE),D P McDonogh,0,J S Bolger,8th,2 l,2,9-2p1,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Badger's Cove,R C Colgan,0,Kevin Coleman,7th,4 1/2 l,2,9-7,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Tahcawin (IRE),G F Carroll,0,J G Murphy,6th,3 3/4 l,2,9-2,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Nod Of Approval (IRE),S T McCullagh,0,Mrs J Harrington,5th,1 1/4 l,2,9-7,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Tharaka (IRE),N G McCullagh,0,K J Condon,4th,1 1/2 l,2,9-2t,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Idiocracy (IRE),D McMonagle,0,J P O'Brien,3rd,3/4 l,2,9-2,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Spinning Around (IRE),G M Ryan,0,Donnacha O'Brien,2nd,3/4 l,2,9-2,-,True,13,1
Roscommon Racing Results | 19th August 2025 17:50,2025-08-19,17:50,Good,7f 111y,Echo Of Faith (IRE),S Foley,0,Mrs J Harrington,1st,N/A,2,9-7,-,True,13,1
Roscommon Racing Results | 19th August 2025 18:20,2025-08-19,18:20,Good,7f 111y,Fortis Puer (IRE),R P Cleary,0,Dermot Kilmartin,5th,4 l,2,8-13,-,True,13,2
Roscommon Racing Results | 19th August 2025 18:20,2025-08-19,18:20,Good,7f 111y,Egyptian Pharaoh,R C Colgan,0,Kevin Coleman,4th,2 1/4 l,2,9-1,-,True,13,2
Roscommon Racing Results | 19th August 2025 18:20,2025-08-19,18:20,Good,7f 111y,Pierre Grosse,S Foley,0,Mrs J Harrington,3rd,10 l,2,9-9,-,True,13,2
Roscommon Racing Results | 19th August 2025 18:20,2025-08-19,18:20,Good,7f 111y,Giovanni Giorgio (FR),D McMonagle,0,J P O'Brien,2nd,Nose,2,9-5,-,True,13,2
Roscommon Racing Results | 19th August 2025 18:20,2025-08-19,18:20,Good,7f 111y,Check This Out (IRE),C T Keane,0,N Meade,1st,N/A,2,9-6,78,True,13,2
Roscommon Racing Results | 19th August 2025 18:20,2025-08-19,18:20,Good,7f 111y,Fortis Puer (IRE),R P Cleary,0,Dermot Kilmartin,5th,4 l,2,8-13,-,True,13,2
Roscommon Racing Results | 19th August 2025 18:20,2025-08-19,18:20,Good,7f 111y,Egyptian Pharaoh,R C Colgan,0,Kevin Coleman,4th,2 1/4 l,2,9-1,-,True,13,2
Roscommon Racing Results | 19th August 2025 18:20,2025-08-19,18:20,Good,7f 111y,Pierre Grosse,S Foley,0,Mrs J Harrington,3rd,10 l,2,9-9,-,True,13,2
Roscommon Racing Results | 19th August 2025 18:20,2025-08-19,18:20,Good,7f 111y,Giovanni Giorgio (FR),D McMonagle,0,J P O'Brien,2nd,Nose,2,9-5,-,True,13,2
Roscommon Racing Results | 19th August 2025 18:20,2025-08-19,18:20,Good,7f 111y,Check This Out (IRE),C T Keane,0,N Meade,1st,N/A,2,9-6,78,True,13,2
