track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 23rd August 2025 13:42,2025-08-23,13:42,Good,7f,Starfinch (IRE),N M Crosse,0,Mrs J Harrington,14th,7 l,2,9-2,-,True,14,1
Curragh Racing Results | 23rd August 2025 13:42,2025-08-23,13:42,Good,7f,Ice Dancer (IRE),J Cleary,5,A P O'Brien,13th,Nose,2,9-2,-,True,14,1
Curragh Racing Results | 23rd August 2025 13:42,2025-08-23,13:42,Good,7f,Circle Of Life (IRE),W M Lordan,0,A P O'Brien,12th,Head,2,9-7,-,True,14,1
Curragh Racing Results | 23rd August 2025 13:42,2025-08-23,13:42,Good,7f,Shadow Run (IRE),J A Powell,3,M O'Callaghan,11th,1 l,2,9-7,-,True,14,1
Curragh Racing Results | 23rd August 2025 13:42,2025-08-23,13:42,Good,7f,Vidmiyr (IRE),N G McCullagh,0,J P Murtagh,10th,3/4 l,2,9-7,-,True,14,1
Curragh Racing Results | 23rd August 2025 13:42,2025-08-23,13:42,Good,7f,Savile Row (IRE),M Crehan,3,A P O'Brien,9th,Neck,2,9-7,-,True,14,1
Curragh Racing Results | 23rd August 2025 13:42,2025-08-23,13:42,Good,7f,Lauda (IRE),D P McDonogh,0,J P O'Brien,8th,1/2 l,2,9-7,-,True,14,1
Curragh Racing Results | 23rd August 2025 13:42,2025-08-23,13:42,Good,7f,Trustmore (IRE),C D Hayes,0,Stephen Thorne,7th,1 1/4 l,2,9-7,-,True,14,1
Curragh Racing Results | 23rd August 2025 13:42,2025-08-23,13:42,Good,7f,Ciarrai Abu (IRE),L F Roche,0,J P Fahey,6th,Neck,2,9-7,-,True,14,1
Curragh Racing Results | 23rd August 2025 13:42,2025-08-23,13:42,Good,7f,Daring Heart (IRE),G F Carroll,0,G M Lyons,5th,1/2 l,2,9-7,-,True,14,1
Curragh Racing Results | 23rd August 2025 13:42,2025-08-23,13:42,Good,7f,Nil Bua Gan Dua (USA),D Browne McMonagle,0,J P O'Brien,4th,Head,2,9-7,-,True,14,1
Curragh Racing Results | 23rd August 2025 13:42,2025-08-23,13:42,Good,7f,Take Charge Star (IRE),B M Coen,0,J P Murtagh,3rd,Nose,2,9-7,-,True,14,1
Curragh Racing Results | 23rd August 2025 13:42,2025-08-23,13:42,Good,7f,Resurgence (IRE),S Foley,0,Mrs J Harrington,2nd,2 l,2,9-7,-,True,14,1
Curragh Racing Results | 23rd August 2025 13:42,2025-08-23,13:42,Good,7f,Thread Of Gold (IRE),J M Sheridan,0,W P Mullins,1st,N/A,2,9-7,-,True,14,1
