track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tramore Racing Results | 14th August 2022 13:40,N/A,13:40,Good,2m,Western Australia (IRE),R. A. Doyle,0,Josh Halley,PU,N/A,6,11-12tb1,-,True,15,1
Tramore Racing Results | 14th August 2022 13:40,N/A,13:40,Good,2m,M for Melody (IRE),J. J. Slevin,0,Brian Jordan,PU,N/A,5,10-11,-,True,15,1
Tramore Racing Results | 14th August 2022 13:40,N/A,13:40,Good,2m,Dixie Flyer (IRE),C. Brassil,5,Henry de Bromhead,11th,21 l,6,11-12tp,-,True,15,1
Tramore Racing Results | 14th August 2022 13:40,N/A,13:40,Good,2m,Keepthepresent (IRE),L. A. McKenna,7,Paul Cashman,10th,3 3/4 l,5,11-4,-,True,15,1
Tramore Racing Results | 14th August 2022 13:40,N/A,13:40,Good,2m,Mollys Dream (IRE),Sean Flanagan,0,Eoin Doyle,9th,2 1/4 l,4,10-8,-,True,15,1
Tramore Racing Results | 14th August 2022 13:40,N/A,13:40,Good,2m,More To Follow (USA),C. A. Landers,0,A. Slattery,8th,13 l,5,11-4,-,True,15,1
Tramore Racing Results | 14th August 2022 13:40,N/A,13:40,Good,2m,Tuff Days (IRE),A. M. McCurtin,3,Michael Barry,7th,5 1/2 l,5,11-4,-,True,15,1
Tramore Racing Results | 14th August 2022 13:40,N/A,13:40,Good,2m,Innellan Shore (FR),Sam Ewing,0,Gordon Elliott,6th,6 1/2 l,4,11-1,-,True,15,1
Tramore Racing Results | 14th August 2022 13:40,N/A,13:40,Good,2m,Butlers Farm (IRE),Phillip Enright,0,N. Stokes,5th,3 3/4 l,5,11-4,-,True,15,1
Tramore Racing Results | 14th August 2022 13:40,N/A,13:40,Good,2m,Seriously Funny (IRE),S. D. Torrens,0,Enda Bolger,4th,1 3/4 l,4,10-8,-,True,15,1
Tramore Racing Results | 14th August 2022 13:40,N/A,13:40,Good,2m,Old Bill Barley (IRE),S. F. O'Keeffe,0,W. P. Mullins,3rd,2 1/4 l,5,11-12,-,True,15,1
