track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,God The Highness (IRE),S Foley,0,Mrs J Harrington,11th,26 l,3,9-7,62,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Boyne Valley (IRE),W Joyce,3,M Mulvany,10th,2 1/4 l,3,9-4,59,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Handmedownmybible (IRE),P McGettigan,7,P Magee,9th,2 1/4 l,3,8-7tb1,44,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Amavasya (IRE),C D Hayes,0,M C Grassick,8th,Nose,3,9-4,59,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Echinacea,R C Colgan,0,Kevin Coleman,7th,Short Head,3,9-4,59,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Trubshaw,A S Grant,10,H De Bromhead,6th,2 1/4 l,3,9-9p,64,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Gforcejenny (IRE),R Whearty,3,G P Cromwell,5th,2 1/2 l,3,9-13t,68,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Far Eclipse (IRE),G F Carroll,0,G P Cromwell,4th,1/2 l,3,9-7,62,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Earthsong (IRE),N M Crosse,0,W McCreery,3rd,1/2 l,3,9-12,67,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Wertpol (IRE),B M Coen,0,J P Murtagh,2nd,1 1/2 l,3,10-0,69,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Enziya (IRE),D Browne McMonagle,0,R P Cody,1st,N/A,3,9-11tp,66,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,God The Highness (IRE),S Foley,0,Mrs J Harrington,11th,26 l,3,9-7,62,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Boyne Valley (IRE),W Joyce,3,M Mulvany,10th,2 1/4 l,3,9-4,59,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Handmedownmybible (IRE),P McGettigan,7,P Magee,9th,2 1/4 l,3,8-7tb1,44,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Amavasya (IRE),C D Hayes,0,M C Grassick,8th,Nose,3,9-4,59,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Echinacea,R C Colgan,0,Kevin Coleman,7th,Short Head,3,9-4,59,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Trubshaw,A S Grant,10,H De Bromhead,6th,2 1/4 l,3,9-9p,64,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Gforcejenny (IRE),R Whearty,3,G P Cromwell,5th,2 1/2 l,3,9-13t,68,True,15,1
Navan Racing Results | 28th August 2025 17:05,2025-08-28,17:05,Yielding (Good In Places),1m 6f,Far Eclipse (IRE),G F Carroll,0,G P Cromwell,4th,1/2 l,3,9-7,62,True,15,1
