track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Arthur's Baby (IRE),Gavin Peter Brouder,5,Mark McNiff,8th,1 1/4 l,8,10-0t,104,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Old Town Garde (IRE),Denis O'Regan,0,Gordon Elliott,7th,1 1/4 l,6,11-5t,123,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Father Jed (IRE),N. T. Prendergast,7,John Patrick Ryan,6th,1 1/4 l,11,10-0,104,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Jack Hackett (IRE),K. E. Buckley,5,Ciaran Murphy,5th,1/2 l,8,11-9p1,127,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Goodnightngodbless (USA),S. D. Torrens,0,J. D. Motherway,4th,Neck,9,10-2tb,106,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Presenting Bonnie (IRE),Patrick O'Hanlon,5,John Patrick Ryan,3rd,1 1/4 l,7,10-0,104,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Siberian Prince (IRE),E. Walsh,5,Noel Meade,2nd,3 3/4 l,6,11-12,130,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Brave Way (IRE),Rachael Blackmore,0,Henry de Bromhead,1st,N/A,7,11-0,118,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Arthur's Baby (IRE),Gavin Peter Brouder,5,Mark McNiff,8th,1 1/4 l,8,10-0t,104,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Old Town Garde (IRE),Denis O'Regan,0,Gordon Elliott,7th,1 1/4 l,6,11-5t,123,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Father Jed (IRE),N. T. Prendergast,7,John Patrick Ryan,6th,1 1/4 l,11,10-0,104,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Jack Hackett (IRE),K. E. Buckley,5,Ciaran Murphy,5th,1/2 l,8,11-9p1,127,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Goodnightngodbless (USA),S. D. Torrens,0,J. D. Motherway,4th,Neck,9,10-2tb,106,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Presenting Bonnie (IRE),Patrick O'Hanlon,5,John Patrick Ryan,3rd,1 1/4 l,7,10-0,104,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Siberian Prince (IRE),E. Walsh,5,Noel Meade,2nd,3 3/4 l,6,11-12,130,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:20,N/A,19:20,Good,3m 1f,Brave Way (IRE),Rachael Blackmore,0,Henry de Bromhead,1st,N/A,7,11-0,118,True,16,1
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Macs or Hayes (IRE),Mr M. J. M. O'Sullivan,0,John Patrick Ryan,14th,32 l,6,11-7,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Cyndi's Girl (IRE),Mr T. P. Harney,0,Anthony McCann,13th,Neck,5,11-7,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Quaylago (IRE),Mr W. J. Burke,0,W. J. Burke,12th,1 1/4 l,7,11-7,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Set My Love Free (IRE),Mr C. P. Millar,2,Gordon Elliott,11th,Neck,5,11-7,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Hi Ski (IRE),Mr L. P. Shanahan,4,Ross O'Sullivan,10th,1 1/4 l,7,11-7,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Artemis Angel (IRE),Mr S. Perry,2,Peter Fahey,9th,3/4 l,5,11-7,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Save Face (FR),Mr M. J. Love,4,Ciaran Murphy,8th,4 l,6,12-0,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Special Rate (IRE),Mr B. Dunleavy,4,Mary E Doyle,7th,4 3/4 l,5,12-0,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Haddock De Grissay (FR),Mr E. Middleton,4,Mary E Doyle,6th,1 l,5,12-0,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Song For My Father (IRE),Mr J. J. O'Neill,0,Shane Donohoe,5th,1/2 l,5,12-0,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Champagnesocialist (IRE),Mr L. D. Andrews,4,John McConnell,4th,3/4 l,6,11-7,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Lake Winnipesaukee (IRE),Mr J. Dunne,0,Gavin Patrick Cromwell,3rd,2 1/4 l,5,12-0,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Memories Never Die (IRE),Mr R. W. Barron,0,Nigel Slevin,2nd,2 l,6,12-0,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Thecompanysergeant,Mr J. L. Gleeson,0,Denis Hogan,1st,N/A,5,12-0,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Macs or Hayes (IRE),Mr M. J. M. O'Sullivan,0,John Patrick Ryan,14th,32 l,6,11-7,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Cyndi's Girl (IRE),Mr T. P. Harney,0,Anthony McCann,13th,Neck,5,11-7,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Quaylago (IRE),Mr W. J. Burke,0,W. J. Burke,12th,1 1/4 l,7,11-7,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Set My Love Free (IRE),Mr C. P. Millar,2,Gordon Elliott,11th,Neck,5,11-7,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Hi Ski (IRE),Mr L. P. Shanahan,4,Ross O'Sullivan,10th,1 1/4 l,7,11-7,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Artemis Angel (IRE),Mr S. Perry,2,Peter Fahey,9th,3/4 l,5,11-7,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Save Face (FR),Mr M. J. Love,4,Ciaran Murphy,8th,4 l,6,12-0,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Special Rate (IRE),Mr B. Dunleavy,4,Mary E Doyle,7th,4 3/4 l,5,12-0,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Haddock De Grissay (FR),Mr E. Middleton,4,Mary E Doyle,6th,1 l,5,12-0,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Song For My Father (IRE),Mr J. J. O'Neill,0,Shane Donohoe,5th,1/2 l,5,12-0,-,True,16,2
Kilbeggan Racing Results | 19th August 2022 19:55,N/A,19:55,Good,2m,Champagnesocialist (IRE),Mr L. D. Andrews,4,John McConnell,4th,3/4 l,6,11-7,-,True,16,2
