track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Stellarock (IRE),Shane Foley,0,Mrs J. Harrington,16th,8 1/2 l,3,9-3p1,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Blue Peak (IRE),G. M. Ryan,0,M. C. Grassick,15th,7 1/2 l,3,9-3,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Daylight Dancer (IRE),S. B. Kelly,0,John Patrick Murtagh,14th,22 l,3,9-3,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Hotter Than Hades (IRE),R. P. Whelan,0,Jack W. Davison,13th,2 3/4 l,3,9-3,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Sani Pass (IRE),R. P. Cleary,0,Ray Hackett,12th,Neck,8,9-11t,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Lissadell (IRE),G. F. Carroll,0,Mark McNiff,11th,11 l,3,9-3,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Raving Royal (IRE),C. T. Keane,0,W. P. Mullins,10th,1 1/2 l,3,9-3,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Icykel (IRE),Ben Martin Coen,0,John Patrick Murtagh,9th,1/2 l,3,9-3,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Rockabill Angel,D. B. McMonagle,0,Joseph Patrick O'Brien,8th,6 l,3,9-3t1,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Dollys Destination (IRE),Sam Ewing,3,Gary McGill,7th,3/4 l,9,9-11,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Beautiful Chaos (IRE),S. P. Bird,10,Ross O'Sullivan,6th,Short Head,4,9-11,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Chemdawg (IRE),William James Lee,0,W. McCreery,5th,Neck,3,9-3v1,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Forever and Always (IRE),W. M. Lordan,0,Aidan O'Brien,4th,2 3/4 l,3,9-3,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Champagne (IRE),Seamie Heffernan,0,Aidan O'Brien,3rd,1/2 l,3,9-3t,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,River Rain (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,2nd,1 1/2 l,3,9-3t1,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Sidiriya (IRE),C. D. Hayes,0,D. K. Weld,1st,N/A,3,9-3,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Stellarock (IRE),Shane Foley,0,Mrs J. Harrington,16th,8 1/2 l,3,9-3p1,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Blue Peak (IRE),G. M. Ryan,0,M. C. Grassick,15th,7 1/2 l,3,9-3,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Daylight Dancer (IRE),S. B. Kelly,0,John Patrick Murtagh,14th,22 l,3,9-3,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Hotter Than Hades (IRE),R. P. Whelan,0,Jack W. Davison,13th,2 3/4 l,3,9-3,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Sani Pass (IRE),R. P. Cleary,0,Ray Hackett,12th,Neck,8,9-11t,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Lissadell (IRE),G. F. Carroll,0,Mark McNiff,11th,11 l,3,9-3,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Raving Royal (IRE),C. T. Keane,0,W. P. Mullins,10th,1 1/2 l,3,9-3,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Icykel (IRE),Ben Martin Coen,0,John Patrick Murtagh,9th,1/2 l,3,9-3,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Rockabill Angel,D. B. McMonagle,0,Joseph Patrick O'Brien,8th,6 l,3,9-3t1,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Dollys Destination (IRE),Sam Ewing,3,Gary McGill,7th,3/4 l,9,9-11,-,True,19,1
Galway Racing Results | 6th September 2022 19:40,N/A,19:40,Soft,1m 4f 42y,Beautiful Chaos (IRE),S. P. Bird,10,Ross O'Sullivan,6th,Short Head,4,9-11,-,True,19,1
