track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Killarney Racing Results | 6th October 2025 14:13,2025-10-06,14:13,Soft (Soft To Heavy In Places),1m 30y,Eliza Garfield (IRE),Ronan Whelan,0,T Doyle,8th,6 l,3,9-3,-,True,22,1
Killarney Racing Results | 6th October 2025 14:13,2025-10-06,14:13,Soft (Soft To Heavy In Places),1m 30y,Petrol Head (IRE),Seamie Heffernan,0,H D McGuigan,7th,2 1/4 l,9,9-11,48,True,22,1
Killarney Racing Results | 6th October 2025 14:13,2025-10-06,14:13,Soft (Soft To Heavy In Places),1m 30y,Pure Granite (IRE),Leigh Roche,0,John M Harney,6th,3 l,3,9-8,-,True,22,1
Killarney Racing Results | 6th October 2025 14:13,2025-10-06,14:13,Soft (Soft To Heavy In Places),1m 30y,Radient Man (IRE),Shane Foley,0,J J Murphy,5th,3 1/2 l,3,9-8,-,True,22,1
Killarney Racing Results | 6th October 2025 14:13,2025-10-06,14:13,Soft (Soft To Heavy In Places),1m 30y,Galley Point (IRE),Killian Leonard,0,T J O'Mara,4th,1/2 l,3,9-8,-,True,22,1
Killarney Racing Results | 6th October 2025 14:13,2025-10-06,14:13,Soft (Soft To Heavy In Places),1m 30y,Sigliosa,Colin Keane,0,J J Murphy,3rd,Short Head,3,9-8,75,True,22,1
Killarney Racing Results | 6th October 2025 14:13,2025-10-06,14:13,Soft (Soft To Heavy In Places),1m 30y,Green Kite (IRE),R P Cleary,0,Kevin Coleman,2nd,5 1/2 l,3,9-8,-,True,22,1
Killarney Racing Results | 6th October 2025 14:13,2025-10-06,14:13,Soft (Soft To Heavy In Places),1m 30y,Lady Lilac (IRE),Gary Carroll,0,J G Murphy,1st,N/A,3,9-3,78,True,22,1
Killarney Racing Results | 6th October 2025 14:13,2025-10-06,14:13,Soft (Soft To Heavy In Places),1m 30y,Eliza Garfield (IRE),Ronan Whelan,0,T Doyle,8th,6 l,3,9-3,-,True,22,1
Killarney Racing Results | 6th October 2025 14:13,2025-10-06,14:13,Soft (Soft To Heavy In Places),1m 30y,Petrol Head (IRE),Seamie Heffernan,0,H D McGuigan,7th,2 1/4 l,9,9-11,48,True,22,1
Killarney Racing Results | 6th October 2025 14:13,2025-10-06,14:13,Soft (Soft To Heavy In Places),1m 30y,Pure Granite (IRE),Leigh Roche,0,John M Harney,6th,3 l,3,9-8,-,True,22,1
Killarney Racing Results | 6th October 2025 14:13,2025-10-06,14:13,Soft (Soft To Heavy In Places),1m 30y,Radient Man (IRE),Shane Foley,0,J J Murphy,5th,3 1/2 l,3,9-8,-,True,22,1
Killarney Racing Results | 6th October 2025 14:13,2025-10-06,14:13,Soft (Soft To Heavy In Places),1m 30y,Galley Point (IRE),Killian Leonard,0,T J O'Mara,4th,1/2 l,3,9-8,-,True,22,1
Killarney Racing Results | 6th October 2025 14:13,2025-10-06,14:13,Soft (Soft To Heavy In Places),1m 30y,Sigliosa,Colin Keane,0,J J Murphy,3rd,Short Head,3,9-8,75,True,22,1
