track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Sazerac Dance (IRE),Ronan Whelan,0,P Nolan,14th,1/2 l,2,9-1,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Luahna (IRE),Gavin Ryan,0,Donnacha O'Brien,13th,3 l,2,8-13,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Katalpa (IRE),Killian Leonard,0,S M Duffy,12th,2 l,2,9-1p1,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Aquilla Star (IRE),Donagh O'Connor,0,J C McConnell,11th,2 3/4 l,2,9-3,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Stella Amorosa (IRE),Chris Hayes,0,N Meade,10th,1 1/4 l,2,9-3,74,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Valentina's Grace (IRE),J Cleary,5,A Murray,9th,3/4 l,2,9-3,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,California Baby (IRE),Wesley Joyce,3,Daniel Murphy,8th,Nose,2,8-11,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Flawless Fusion (IRE),Declan McDonogh,0,J P O'Brien,7th,1/2 l,2,8-9,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Talitha (IRE),Gary Carroll,0,J G Murphy,6th,3/4 l,2,9-1,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Gold Inn (IRE),Andrew Slattery,0,A Slattery,5th,3/4 l,2,8-11,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Guildhall Graduate (IRE),Robert Whearty,0,G P Cromwell,4th,1 1/4 l,2,8-11,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Lucia Molly (IRE),Adam Caffrey,0,A McGuinness,3rd,Neck,2,8-13,75,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Castelluccia (IRE),Rory Cleary,0,C W J Farrell,2nd,4 1/2 l,2,8-11,70,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,All The Girls (IRE),James Ryan,0,T G McCourt,1st,N/A,2,8-11,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Sazerac Dance (IRE),Ronan Whelan,0,P Nolan,14th,1/2 l,2,9-1,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Luahna (IRE),Gavin Ryan,0,Donnacha O'Brien,13th,3 l,2,8-13,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Katalpa (IRE),Killian Leonard,0,S M Duffy,12th,2 l,2,9-1p1,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Aquilla Star (IRE),Donagh O'Connor,0,J C McConnell,11th,2 3/4 l,2,9-3,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Stella Amorosa (IRE),Chris Hayes,0,N Meade,10th,1 1/4 l,2,9-3,74,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,Valentina's Grace (IRE),J Cleary,5,A Murray,9th,3/4 l,2,9-3,-,True,23,1
Dundalk Racing Results | 10th October 2025 17:25,2025-10-10,17:25,Standard,7f,California Baby (IRE),Wesley Joyce,3,Daniel Murphy,8th,Nose,2,8-11,-,True,23,1
