track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Mid Life Crisis (IRE),K. J. Leonard,0,Michael Winters,9th,11 l,4,9-9,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Fondant Fancie (IRE),M. A. Enright,0,Miss J. M. Lee,8th,4 1/2 l,4,9-4,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Plough on (IRE),D. J. Gilligan,7,Paul John Gilligan,7th,12 l,4,9-9,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Anthem (IRE),A. J. Slattery,0,A. Slattery,6th,1 l,4,9-9v1,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Elle Dorado Rock (IRE),R. C. Colgan,0,A. J. Martin,5th,7 l,4,9-9,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Six Feet Apart (IRE),J. Coen,5,Joseph Patrick O'Brien,4th,2 1/2 l,4,9-4,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Men Of Dreams (IRE),D. W. O'Connor,0,J. F. Levins,3rd,1 1/2 l,4,9-9v,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Diamond Union,William James Lee,0,E. J. O'Grady,2nd,Head,5,9-9,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Beautiful Chaos (IRE),J. A. Powell,7,Ross O'Sullivan,1st,N/A,4,9-4,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Mid Life Crisis (IRE),K. J. Leonard,0,Michael Winters,9th,11 l,4,9-9,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Fondant Fancie (IRE),M. A. Enright,0,Miss J. M. Lee,8th,4 1/2 l,4,9-4,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Plough on (IRE),D. J. Gilligan,7,Paul John Gilligan,7th,12 l,4,9-9,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Anthem (IRE),A. J. Slattery,0,A. Slattery,6th,1 l,4,9-9v1,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Elle Dorado Rock (IRE),R. C. Colgan,0,A. J. Martin,5th,7 l,4,9-9,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Six Feet Apart (IRE),J. Coen,5,Joseph Patrick O'Brien,4th,2 1/2 l,4,9-4,-,True,24,1
Killarney Racing Results | 1st October 2022 17:25,N/A,17:25,Soft,1m 3f 50y,Men Of Dreams (IRE),D. W. O'Connor,0,J. F. Levins,3rd,1 1/2 l,4,9-9v,-,True,24,1
