track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 13th October 2022 14:35,N/A,14:35,Yielding To Soft,6f,Rohirrim Lass (IRE),J. M. Sheridan,3,Denis Hogan,17th,4 3/4 l,2,9-1,-,True,26,1
Curragh Racing Results | 13th October 2022 14:35,N/A,14:35,Yielding To Soft,6f,Treviso (IRE),Jack Cleary,7,Ms Sheila Lavery,16th,10 l,2,9-0,-,True,26,1
Curragh Racing Results | 13th October 2022 14:35,N/A,14:35,Yielding To Soft,6f,Pinot Grigio (IRE),Seamie Heffernan,0,Martin Hassett,15th,Neck,2,9-1,-,True,26,1
Curragh Racing Results | 13th October 2022 14:35,N/A,14:35,Yielding To Soft,6f,Angel Above (IRE),C. D. Hayes,0,Luke Comer,14th,Short Head,2,8-9,-,True,26,1
Curragh Racing Results | 13th October 2022 14:35,N/A,14:35,Yielding To Soft,6f,Sneddy Eddie (IRE),R. P. Whelan,0,Mark McNiff,13th,7 1/2 l,2,9-6,-,True,26,1
Curragh Racing Results | 13th October 2022 14:35,N/A,14:35,Yielding To Soft,6f,Kaydees Magic (IRE),M. P. Sheehy,0,Ms Sheila Lavery,12th,1/2 l,2,8-11,-,True,26,1
Curragh Racing Results | 13th October 2022 14:35,N/A,14:35,Yielding To Soft,6f,Hat Toss (IRE),R. Kozaki,0,Takashi Kodama,11th,1/2 l,2,9-4t1,-,True,26,1
Curragh Racing Results | 13th October 2022 14:35,N/A,14:35,Yielding To Soft,6f,Elmo Lincoln (IRE),William James Lee,0,W. McCreery,10th,3/4 l,2,9-2,-,True,26,1
Curragh Racing Results | 13th October 2022 14:35,N/A,14:35,Yielding To Soft,6f,Net A Porter Queen (IRE),Shane Foley,0,Mrs J. Harrington,9th,2 1/4 l,2,8-11,-,True,26,1
Curragh Racing Results | 13th October 2022 14:35,N/A,14:35,Yielding To Soft,6f,Rathbranchurch (IRE),Declan McDonogh,0,Michael Mulvany,8th,Nose,2,9-0,-,True,26,1
Curragh Racing Results | 13th October 2022 14:35,N/A,14:35,Yielding To Soft,6f,Notturno (IRE),C. T. Keane,0,Noel Meade,7th,2 1/4 l,2,9-4,-,True,26,1
Curragh Racing Results | 13th October 2022 14:35,N/A,14:35,Yielding To Soft,6f,Zentopia (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,6th,1/2 l,2,9-0,-,True,26,1
Curragh Racing Results | 13th October 2022 14:35,N/A,14:35,Yielding To Soft,6f,Starspangledwaves (IRE),C. P. Hoban,0,Patrick J. Flynn,5th,3 1/2 l,2,9-6,-,True,26,1
Curragh Racing Results | 13th October 2022 14:35,N/A,14:35,Yielding To Soft,6f,Clounmacon (IRE),Ben Martin Coen,0,John Patrick Murtagh,4th,1 l,2,8-11,-,True,26,1
