track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Sligo Racing Results | 24th October 2025 16:55,2025-10-24,16:55,Good To Yielding (Yielding In Places),3m 1f 80y,Villagers Cross (IRE),Jack Gilligan,5,P J Gilligan,S,N/A,5,11-4,-,True,26,1
Sligo Racing Results | 24th October 2025 16:55,2025-10-24,16:55,Good To Yielding (Yielding In Places),3m 1f 80y,Strong Contender (IRE),Sam Ewing,0,N Lee,3rd,12 l,4,10-7,-,True,26,1
Sligo Racing Results | 24th October 2025 16:55,2025-10-24,16:55,Good To Yielding (Yielding In Places),3m 1f 80y,Phoenix Arizona (IRE),Mr P J O'Neill,7,John F O'Neill,2nd,23 l,6,11-4,-,True,26,1
Sligo Racing Results | 24th October 2025 16:55,2025-10-24,16:55,Good To Yielding (Yielding In Places),3m 1f 80y,Additional Time (IRE),Simon Torrens,0,J C McConnell,1st,N/A,6,11-4p,-,True,26,1
Sligo Racing Results | 24th October 2025 16:55,2025-10-24,16:55,Good To Yielding (Yielding In Places),3m 1f 80y,Villagers Cross (IRE),Jack Gilligan,5,P J Gilligan,S,N/A,5,11-4,-,True,26,1
Sligo Racing Results | 24th October 2025 16:55,2025-10-24,16:55,Good To Yielding (Yielding In Places),3m 1f 80y,Strong Contender (IRE),Sam Ewing,0,N Lee,3rd,12 l,4,10-7,-,True,26,1
Sligo Racing Results | 24th October 2025 16:55,2025-10-24,16:55,Good To Yielding (Yielding In Places),3m 1f 80y,Phoenix Arizona (IRE),Mr P J O'Neill,7,John F O'Neill,2nd,23 l,6,11-4,-,True,26,1
Sligo Racing Results | 24th October 2025 16:55,2025-10-24,16:55,Good To Yielding (Yielding In Places),3m 1f 80y,Additional Time (IRE),Simon Torrens,0,J C McConnell,1st,N/A,6,11-4p,-,True,26,1
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,Gather Yourself (IRE),J C Gainford,0,C Collins,PU,N/A,5,10-9,89,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,Tango Theatre (IRE),D A Kidd,7,J C McConnell,7th,20 l,10,11-3tv,97,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,He Fitz In (IRE),Calum Hogan,7,D E Fitzgerald,6th,16 l,9,10-6b,86,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,Slim Marvel (FR),Cian Quirke,0,A Slattery,5th,Neck,7,11-6,100,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,The Little Yank (IRE),J Aherne,7,J P Ryan,4th,2 l,10,11-2b,96,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,Jeriko De Baune (FR),Niall Moore,5,P Fenton,3rd,6 1/2 l,6,11-12,106,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,Ilbdare (IRE),Phillip Enright,0,M M McNiff,2nd,1 1/2 l,5,11-2t,96,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,Cornmarket (IRE),Alan King,7,John Cullen,1st,N/A,6,11-0,94,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,Gather Yourself (IRE),J C Gainford,0,C Collins,PU,N/A,5,10-9,89,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,Tango Theatre (IRE),D A Kidd,7,J C McConnell,7th,20 l,10,11-3tv,97,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,He Fitz In (IRE),Calum Hogan,7,D E Fitzgerald,6th,16 l,9,10-6b,86,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,Slim Marvel (FR),Cian Quirke,0,A Slattery,5th,Neck,7,11-6,100,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,The Little Yank (IRE),J Aherne,7,J P Ryan,4th,2 l,10,11-2b,96,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,Jeriko De Baune (FR),Niall Moore,5,P Fenton,3rd,6 1/2 l,6,11-12,106,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,Ilbdare (IRE),Phillip Enright,0,M M McNiff,2nd,1 1/2 l,5,11-2t,96,True,26,2
Sligo Racing Results | 24th October 2025 17:30,2025-10-24,17:30,Good To Yielding (Yielding In Places),3m 1f 80y,Cornmarket (IRE),Alan King,7,John Cullen,1st,N/A,6,11-0,94,True,26,2
Dundalk Racing Results | 24th October 2025 17:15,2025-10-24,17:15,Standard,7f,Brosna Green (IRE),Rory Mulligan,7,P J McKenna,UR,N/A,3,8-13t,63,True,26,3
Dundalk Racing Results | 24th October 2025 17:15,2025-10-24,17:15,Standard,7f,Lo Tengo Claro (IRE),Robbie Colgan,0,A Kinirons,10th,1 1/4 l,3,9-0,-,True,26,3
Dundalk Racing Results | 24th October 2025 17:15,2025-10-24,17:15,Standard,7f,Bahama Bear (IRE),Gary Carroll,0,N Slevin,9th,1 1/2 l,4,9-3,60,True,26,3
Dundalk Racing Results | 24th October 2025 17:15,2025-10-24,17:15,Standard,7f,She's Smart (IRE),Jamie Powell,0,A McGuinness,8th,Short Head,4,8-12,52,True,26,3
Dundalk Racing Results | 24th October 2025 17:15,2025-10-24,17:15,Standard,7f,Beautiful Affair (IRE),Dylan Browne McMonagle,0,J P O'Brien,7th,4 1/4 l,3,10-0p,71,True,26,3
