track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Second Fiddle (IRE),N. G. McCullagh,0,C. P. Donoghue,12th,4 1/2 l,3,9-3t1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Lottie Go Lightly (IRE),Ben Martin Coen,0,Edward Lynam,11th,Neck,3,9-3h1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Cyclamen (IRE),W. M. Lordan,0,Aidan O'Brien,10th,1 1/2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Maid To Shine (IRE),Declan McDonogh,0,P. J. Hassett,9th,5 1/2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Shining Crystal,Seamie Heffernan,0,Adrian Murray,8th,2 l,3,9-3t,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Snow Lion (IRE),R. C. Colgan,0,Christopher David Timmons,7th,6 1/2 l,3,9-3h1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Neverfindanother U (IRE),G. F. Carroll,0,T. Gibney,6th,Neck,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Awqaat (IRE),D. W. O'Connor,0,John McConnell,5th,2 1/2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Elda (IRE),G. M. Ryan,0,Andrew Kinirons,4th,10 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Echoing (IRE),N. M. Crosse,0,W. McCreery,3rd,2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Lizzy's Filly (IRE),D. B. McMonagle,0,Ciaran Murphy,2nd,12 l,3,9-3p1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Bua (IRE),William James Lee,0,P. Twomey,1st,N/A,3,9-3v1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Second Fiddle (IRE),N. G. McCullagh,0,C. P. Donoghue,12th,4 1/2 l,3,9-3t1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Lottie Go Lightly (IRE),Ben Martin Coen,0,Edward Lynam,11th,Neck,3,9-3h1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Cyclamen (IRE),W. M. Lordan,0,Aidan O'Brien,10th,1 1/2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Maid To Shine (IRE),Declan McDonogh,0,P. J. Hassett,9th,5 1/2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Shining Crystal,Seamie Heffernan,0,Adrian Murray,8th,2 l,3,9-3t,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Snow Lion (IRE),R. C. Colgan,0,Christopher David Timmons,7th,6 1/2 l,3,9-3h1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Neverfindanother U (IRE),G. F. Carroll,0,T. Gibney,6th,Neck,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Awqaat (IRE),D. W. O'Connor,0,John McConnell,5th,2 1/2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Elda (IRE),G. M. Ryan,0,Andrew Kinirons,4th,10 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Echoing (IRE),N. M. Crosse,0,W. McCreery,3rd,2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Lizzy's Filly (IRE),D. B. McMonagle,0,Ciaran Murphy,2nd,12 l,3,9-3p1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Bua (IRE),William James Lee,0,P. Twomey,1st,N/A,3,9-3v1,-,True,28,1
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Affable (USA),N. G. McCullagh,0,K. J. Condon,10th,8 1/2 l,5,9-2tv,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Markaz Paname (IRE),C. T. Keane,0,G. M. Lyons,9th,3 1/2 l,3,9-11b1,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Craft Irish (IRE),J. Coen,0,P. J. F. Murphy,8th,1 3/4 l,4,9-2p,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Lustown Baba (IRE),Ben Martin Coen,0,John Patrick Murtagh,7th,2 3/4 l,5,9-2b1,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Gustavus Weston (IRE),G. F. Carroll,0,Joseph G. Murphy,6th,Head,6,9-7,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Dexter Belle (IRE),A. J. Slattery,0,Edward Lynam,5th,2 1/4 l,4,9-2p1,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Pretty Rebel (IRE),D. B. McMonagle,0,G. O'Leary,4th,Neck,5,9-2p,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Life In Colour,R. P. Cleary,0,W. McCreery,3rd,1/2 l,3,9-1v,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Big Gossey (IRE),D. E. Sheehy,0,Charles O'Brien,2nd,3 3/4 l,5,9-7p,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Moss Tucker (IRE),William James Lee,0,K. J. Condon,1st,N/A,4,9-7t,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Affable (USA),N. G. McCullagh,0,K. J. Condon,10th,8 1/2 l,5,9-2tv,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Markaz Paname (IRE),C. T. Keane,0,G. M. Lyons,9th,3 1/2 l,3,9-11b1,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Craft Irish (IRE),J. Coen,0,P. J. F. Murphy,8th,1 3/4 l,4,9-2p,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Lustown Baba (IRE),Ben Martin Coen,0,John Patrick Murtagh,7th,2 3/4 l,5,9-2b1,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Gustavus Weston (IRE),G. F. Carroll,0,Joseph G. Murphy,6th,Head,6,9-7,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Dexter Belle (IRE),A. J. Slattery,0,Edward Lynam,5th,2 1/4 l,4,9-2p1,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Pretty Rebel (IRE),D. B. McMonagle,0,G. O'Leary,4th,Neck,5,9-2p,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Life In Colour,R. P. Cleary,0,W. McCreery,3rd,1/2 l,3,9-1v,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Big Gossey (IRE),D. E. Sheehy,0,Charles O'Brien,2nd,3 3/4 l,5,9-7p,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Moss Tucker (IRE),William James Lee,0,K. J. Condon,1st,N/A,4,9-7t,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Lismore (FR),C. T. Keane,0,Henry de Bromhead,12th,11 l,5,9-6p,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Manu Et Corde (IRE),K. J. Manning,0,J. S. Bolger,11th,1 l,3,9-1,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Taipan (FR),S. McCullagh,0,Mrs J. Harrington,10th,1/2 l,4,9-9tp1,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Scenic Look (IRE),G. P. Halpin,0,Adrian Murray,9th,13 l,4,9-6,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Seattle Creek,N. M. Crosse,0,Luke Comer,8th,3 1/2 l,4,9-9t,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Pita Pinta (IRE),W. M. Lordan,0,J. A. Stack,7th,6 l,4,9-6,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Beamish (FR),William James Lee,0,P. Twomey,6th,1/2 l,4,9-9,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Azallya (IRE),D. W. O'Connor,0,D. K. Weld,5th,3/4 l,4,9-6p1,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Mighty Blue (FR),Declan McDonogh,0,Joseph Patrick O'Brien,4th,1 1/4 l,6,9-6t,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Star Image,Ben Martin Coen,0,Thomas Mullins,3rd,3/4 l,4,9-6,-,True,28,3
