track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Wexford Racing Results | 30th October 2022 15:50,N/A,15:50,Heavy,2m 4f,Sargent Lightfoot (IRE),K. C. Sexton,0,Adrian Murray,7th,8 l,8,11-5h,120,True,29,1
Wexford Racing Results | 30th October 2022 15:50,N/A,15:50,Heavy,2m 4f,Good As Hell (IRE),Niall Moore,7,Philip Fenton,6th,6 l,7,10-5b,106,True,29,1
Wexford Racing Results | 30th October 2022 15:50,N/A,15:50,Heavy,2m 4f,Weihnachts (IRE),S. D. Torrens,0,P. J. Rothwell,5th,1 3/4 l,8,10-5tp,106,True,29,1
Wexford Racing Results | 30th October 2022 15:50,N/A,15:50,Heavy,2m 4f,Pat Coyne (IRE),Aidan Coleman,0,John Queally,4th,3 l,8,11-12,127,True,29,1
Wexford Racing Results | 30th October 2022 15:50,N/A,15:50,Heavy,2m 4f,Presenting Point (IRE),S. F. O'Keeffe,0,Eoghan O'Grady,3rd,1 1/2 l,8,10-9b,110,True,29,1
Wexford Racing Results | 30th October 2022 15:50,N/A,15:50,Heavy,2m 4f,Handsworth (IRE),Rachael Blackmore,0,J. P. Dempsey,2nd,1/2 l,7,10-12p,113,True,29,1
Wexford Racing Results | 30th October 2022 15:50,N/A,15:50,Heavy,2m 4f,Optional Mix (IRE),Jordan Colin Gainford,0,Eoin Doyle,1st,N/A,6,11-1,116,True,29,1
Wexford Racing Results | 30th October 2022 15:50,N/A,15:50,Heavy,2m 4f,Sargent Lightfoot (IRE),K. C. Sexton,0,Adrian Murray,7th,8 l,8,11-5h,120,True,29,1
Wexford Racing Results | 30th October 2022 15:50,N/A,15:50,Heavy,2m 4f,Good As Hell (IRE),Niall Moore,7,Philip Fenton,6th,6 l,7,10-5b,106,True,29,1
Wexford Racing Results | 30th October 2022 15:50,N/A,15:50,Heavy,2m 4f,Weihnachts (IRE),S. D. Torrens,0,P. J. Rothwell,5th,1 3/4 l,8,10-5tp,106,True,29,1
Wexford Racing Results | 30th October 2022 15:50,N/A,15:50,Heavy,2m 4f,Pat Coyne (IRE),Aidan Coleman,0,John Queally,4th,3 l,8,11-12,127,True,29,1
Wexford Racing Results | 30th October 2022 15:50,N/A,15:50,Heavy,2m 4f,Presenting Point (IRE),S. F. O'Keeffe,0,Eoghan O'Grady,3rd,1 1/2 l,8,10-9b,110,True,29,1
Wexford Racing Results | 30th October 2022 15:50,N/A,15:50,Heavy,2m 4f,Handsworth (IRE),Rachael Blackmore,0,J. P. Dempsey,2nd,1/2 l,7,10-12p,113,True,29,1
Wexford Racing Results | 30th October 2022 15:50,N/A,15:50,Heavy,2m 4f,Optional Mix (IRE),Jordan Colin Gainford,0,Eoin Doyle,1st,N/A,6,11-1,116,True,29,1
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Bhean I Dubh (IRE),Shane Fenelon,7,Anthony John Black,11th,2 1/2 l,5,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Alice Van Hall (IRE),C. M. Quirke,7,Miss Hilary McLoughlin,10th,37 l,8,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Leitrim Park (IRE),Mr Pat Taaffe,7,Ciaran Murphy,9th,26 l,5,11-11h,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,O Faolains Lass (IRE),D. P. Maxwell,7,N. Dooly,8th,1 1/2 l,6,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Glenvara Lady (IRE),Mr A. P. Ryan,7,Donal Commins,7th,2 1/2 l,6,11-11t1,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Cool Legacy (IRE),Mr T. P. Harney,7,Colin Motherway,6th,2 1/2 l,5,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Millie In Milan (IRE),E. A. Fitzgerald,7,Peter Fahey,5th,1 3/4 l,6,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Glory Liss (IRE),Mr D. Kiely,7,John E. Kiely,4th,1 3/4 l,5,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Grace Shelby (IRE),Mr W. T. Cronin,7,William Cronin,3rd,11 l,7,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,New York Style,Mr D. Roche,5,Henry de Bromhead,2nd,1 1/2 l,5,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Ballycashin (IRE),Miss J. Townend,3,Anthony Mullins,1st,N/A,5,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Bhean I Dubh (IRE),Shane Fenelon,7,Anthony John Black,11th,2 1/2 l,5,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Alice Van Hall (IRE),C. M. Quirke,7,Miss Hilary McLoughlin,10th,37 l,8,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Leitrim Park (IRE),Mr Pat Taaffe,7,Ciaran Murphy,9th,26 l,5,11-11h,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,O Faolains Lass (IRE),D. P. Maxwell,7,N. Dooly,8th,1 1/2 l,6,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Glenvara Lady (IRE),Mr A. P. Ryan,7,Donal Commins,7th,2 1/2 l,6,11-11t1,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Cool Legacy (IRE),Mr T. P. Harney,7,Colin Motherway,6th,2 1/2 l,5,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Millie In Milan (IRE),E. A. Fitzgerald,7,Peter Fahey,5th,1 3/4 l,6,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Glory Liss (IRE),Mr D. Kiely,7,John E. Kiely,4th,1 3/4 l,5,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Grace Shelby (IRE),Mr W. T. Cronin,7,William Cronin,3rd,11 l,7,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,New York Style,Mr D. Roche,5,Henry de Bromhead,2nd,1 1/2 l,5,11-11,-,True,29,2
Wexford Racing Results | 30th October 2022 16:20,N/A,16:20,Heavy  Flat (Turf),2m,Ballycashin (IRE),Miss J. Townend,3,Anthony Mullins,1st,N/A,5,11-11,-,True,29,2
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Dar Og (IRE),M. A. Enright,0,Muredach Kelly,10th,13 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Fancy Nancy (IRE),A. J. Slattery,0,A. Slattery,9th,1/2 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Al Sayah,R. P. Whelan,0,John Stephen O'Donoghue,8th,2 1/2 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Ruler Of The River (IRE),William James Lee,0,Andrew Kinirons,7th,Short Head,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Law Lady (IRE),Ben Martin Coen,0,Thomas Mullins,6th,1 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Fanaigi Linn (IRE),R. P. Cleary,0,J. S. Bolger,5th,10 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,La Tulipe Noire (IRE),Siobhan Rutledge,5,Ciaran Murphy,4th,2 1/2 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Boogie Woogie (IRE),Seamie Heffernan,0,Aidan O'Brien,3rd,1/2 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Astar (IRE),C. D. Hayes,0,D. K. Weld,2nd,3/4 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Paris Secret (IRE),C. T. Keane,0,Andrew Oliver,1st,N/A,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Dar Og (IRE),M. A. Enright,0,Muredach Kelly,10th,13 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Fancy Nancy (IRE),A. J. Slattery,0,A. Slattery,9th,1/2 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Al Sayah,R. P. Whelan,0,John Stephen O'Donoghue,8th,2 1/2 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Ruler Of The River (IRE),William James Lee,0,Andrew Kinirons,7th,Short Head,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Law Lady (IRE),Ben Martin Coen,0,Thomas Mullins,6th,1 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Fanaigi Linn (IRE),R. P. Cleary,0,J. S. Bolger,5th,10 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,La Tulipe Noire (IRE),Siobhan Rutledge,5,Ciaran Murphy,4th,2 1/2 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Boogie Woogie (IRE),Seamie Heffernan,0,Aidan O'Brien,3rd,1/2 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Astar (IRE),C. D. Hayes,0,D. K. Weld,2nd,3/4 l,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 12:40,N/A,12:40,Heavy,1m 73y,Paris Secret (IRE),C. T. Keane,0,Andrew Oliver,1st,N/A,2,9-2,-,True,29,3
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Dazzling Spirit (IRE),J. A. Powell,5,Thomas Mullins,17th,11 l,4,9-9,73,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,High Altitude (IRE),C. T. Keane,0,John Joseph Murphy,16th,1/2 l,8,8-12,62,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Morning Soldier (IRE),N. M. Crosse,0,Thomas Mullins,15th,3 3/4 l,3,9-8h,75,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Clear Quartz (IRE),G. M. Ryan,0,Mark Fahey,14th,1 1/4 l,5,9-13,77,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Just Jacob (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,13th,3/4 l,4,9-7t,71,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Takeachancejimmy (IRE),R. C. Colgan,0,Nigel Slevin,12th,1 1/2 l,8,9-13,77,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Starting Monday (IRE),William James Lee,0,Gillian Scott,11th,Neck,5,9-10,74,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Stormy Jenn (IRE),R. Whearty,7,Peter Cluskey,10th,1 l,5,9-8,72,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Malayan (IRE),C. D. Hayes,0,D. K. Weld,9th,Head,3,9-10,77,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Kodiac Prince (IRE),R. P. Cleary,0,Thomas Cleary,8th,3/4 l,5,9-5p,69,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Turbulence (IRE),Shane Foley,0,Ross O'Sullivan,7th,Neck,5,9-13,77,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Independent Expert (IRE),C. Horgan,7,A. Slattery,6th,1/2 l,3,9-7,74,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Out On Friday (IRE),S. D. Bowen,7,Philip Michael Byrne,5th,1/2 l,6,8-10,60,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Soilse (IRE),K. J. Manning,0,J. S. Bolger,4th,Short Head,4,9-12t,76,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Fools Glory (IRE),A. J. Slattery,0,P. F. McEnery,3rd,4 3/4 l,3,9-5t,72,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Excuzio Joe (IRE),J. Coen,5,Matthew J. Smith,2nd,1/2 l,5,10-2,80,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,San Aer (IRE),Ben Martin Coen,0,Thomas Mullins,1st,N/A,4,9-13ht,77,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Dazzling Spirit (IRE),J. A. Powell,5,Thomas Mullins,17th,11 l,4,9-9,73,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,High Altitude (IRE),C. T. Keane,0,John Joseph Murphy,16th,1/2 l,8,8-12,62,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Morning Soldier (IRE),N. M. Crosse,0,Thomas Mullins,15th,3 3/4 l,3,9-8h,75,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Clear Quartz (IRE),G. M. Ryan,0,Mark Fahey,14th,1 1/4 l,5,9-13,77,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Just Jacob (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,13th,3/4 l,4,9-7t,71,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Takeachancejimmy (IRE),R. C. Colgan,0,Nigel Slevin,12th,1 1/2 l,8,9-13,77,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Starting Monday (IRE),William James Lee,0,Gillian Scott,11th,Neck,5,9-10,74,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Stormy Jenn (IRE),R. Whearty,7,Peter Cluskey,10th,1 l,5,9-8,72,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Malayan (IRE),C. D. Hayes,0,D. K. Weld,9th,Head,3,9-10,77,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Kodiac Prince (IRE),R. P. Cleary,0,Thomas Cleary,8th,3/4 l,5,9-5p,69,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Turbulence (IRE),Shane Foley,0,Ross O'Sullivan,7th,Neck,5,9-13,77,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Independent Expert (IRE),C. Horgan,7,A. Slattery,6th,1/2 l,3,9-7,74,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Out On Friday (IRE),S. D. Bowen,7,Philip Michael Byrne,5th,1/2 l,6,8-10,60,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Soilse (IRE),K. J. Manning,0,J. S. Bolger,4th,Short Head,4,9-12t,76,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Fools Glory (IRE),A. J. Slattery,0,P. F. McEnery,3rd,4 3/4 l,3,9-5t,72,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,Excuzio Joe (IRE),J. Coen,5,Matthew J. Smith,2nd,1/2 l,5,10-2,80,True,29,4
Galway Racing Results | 31st October 2022 13:10,N/A,13:10,Heavy,1m 73y,San Aer (IRE),Ben Martin Coen,0,Thomas Mullins,1st,N/A,4,9-13ht,77,True,29,4
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Allesnick (IRE),C. D. Hayes,0,Eddie & Patrick Harty,16th,Head,2,9-9t,67,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,On the Money (IRE),K. J. Manning,0,J. S. Bolger,15th,2 1/2 l,2,9-12b,70,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Saoibh (IRE),L. T. McAteer,3,J. S. Bolger,14th,Neck,2,9-3,61,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Tic Tac Toe (IRE),J. M. Sheridan,3,Ray Hackett,13th,2 1/4 l,2,9-4,62,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Coolcalmncollected,Shane Foley,0,Ciaran Murphy,12th,1 l,2,10-2,74,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Drop The Dip (IRE),M. P. Sheehy,0,T. Gibney,11th,Head,2,9-3,61,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Selection Bias,N. M. Crosse,0,W. McCreery,10th,Head,2,9-11,69,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Sarlaochra (IRE),Seamie Heffernan,0,Patrick J. Flynn,9th,Neck,2,9-12,70,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Glyde Ranger (IRE),R. P. Cleary,0,T. G. McCourt,8th,2 l,2,8-7,51,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Summer Snow (IRE),J. A. Powell,5,Ross O'Sullivan,7th,1 l,2,9-5,63,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Samantha Maguire (IRE),William James Lee,0,W. McCreery,6th,1 1/2 l,2,9-7,65,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Malacanne (IRE),Ben Martin Coen,0,John Patrick Murtagh,5th,1 3/4 l,2,9-11b1,69,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,The Snapper (IRE),C. T. Keane,0,Jack W. Davison,4th,2 1/4 l,2,9-10v1,68,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Inthepoorhouse (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,3rd,Neck,2,9-0,58,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Rhythm King (IRE),G. M. Ryan,0,Mark Fahey,2nd,5 1/2 l,2,9-9,67,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Duke Of Leggagh (IRE),Declan McDonogh,0,Michael Mulvany,1st,N/A,2,8-12,56,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Allesnick (IRE),C. D. Hayes,0,Eddie & Patrick Harty,16th,Head,2,9-9t,67,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,On the Money (IRE),K. J. Manning,0,J. S. Bolger,15th,2 1/2 l,2,9-12b,70,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Saoibh (IRE),L. T. McAteer,3,J. S. Bolger,14th,Neck,2,9-3,61,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Tic Tac Toe (IRE),J. M. Sheridan,3,Ray Hackett,13th,2 1/4 l,2,9-4,62,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Coolcalmncollected,Shane Foley,0,Ciaran Murphy,12th,1 l,2,10-2,74,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Drop The Dip (IRE),M. P. Sheehy,0,T. Gibney,11th,Head,2,9-3,61,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Selection Bias,N. M. Crosse,0,W. McCreery,10th,Head,2,9-11,69,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Sarlaochra (IRE),Seamie Heffernan,0,Patrick J. Flynn,9th,Neck,2,9-12,70,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Glyde Ranger (IRE),R. P. Cleary,0,T. G. McCourt,8th,2 l,2,8-7,51,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Summer Snow (IRE),J. A. Powell,5,Ross O'Sullivan,7th,1 l,2,9-5,63,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Samantha Maguire (IRE),William James Lee,0,W. McCreery,6th,1 1/2 l,2,9-7,65,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Malacanne (IRE),Ben Martin Coen,0,John Patrick Murtagh,5th,1 3/4 l,2,9-11b1,69,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,The Snapper (IRE),C. T. Keane,0,Jack W. Davison,4th,2 1/4 l,2,9-10v1,68,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Inthepoorhouse (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,3rd,Neck,2,9-0,58,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Rhythm King (IRE),G. M. Ryan,0,Mark Fahey,2nd,5 1/2 l,2,9-9,67,True,29,5
Galway Racing Results | 31st October 2022 13:40,N/A,13:40,Heavy,7f,Duke Of Leggagh (IRE),Declan McDonogh,0,Michael Mulvany,1st,N/A,2,8-12,56,True,29,5
Galway Racing Results | 31st October 2022 14:15,N/A,14:15,Heavy,7f,San Pablo (IRE),C. D. Hayes,0,Luke Comer,14th,18 l,3,9-8,-,True,29,6
