track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 12th November 2022 15:50,N/A,15:50,Yielding To Soft (Soft In Places)  Flat (Turf),2m,We Will Rock You (FR),Mr E. P. O'Brien,5,Alan Donoghue,10th,59 l,4,11-11,-,True,31,1
Naas Racing Results | 12th November 2022 15:50,N/A,15:50,Yielding To Soft (Soft In Places)  Flat (Turf),2m,C'est Rien (IRE),Mr Charlie Mullins,7,Thomas Mullins,9th,1/2 l,5,11-11,-,True,31,1
Naas Racing Results | 12th November 2022 15:50,N/A,15:50,Yielding To Soft (Soft In Places)  Flat (Turf),2m,Getabelle (IRE),Adam Ellis,7,Liam P. Cusack,8th,5 l,5,11-11t1,-,True,31,1
Naas Racing Results | 12th November 2022 15:50,N/A,15:50,Yielding To Soft (Soft In Places)  Flat (Turf),2m,Kilbarry Lilac (IRE),Mr Pat Taaffe,7,Con O'Keeffe,7th,6 1/2 l,6,11-11,-,True,31,1
Naas Racing Results | 12th November 2022 15:50,N/A,15:50,Yielding To Soft (Soft In Places)  Flat (Turf),2m,Moving on Swiftly (IRE),Mr D. Allen,7,David Kenneth Budds,6th,12 l,5,11-11t1,-,True,31,1
Naas Racing Results | 12th November 2022 15:50,N/A,15:50,Yielding To Soft (Soft In Places)  Flat (Turf),2m,Parkrunner (IRE),Mr P. C. Bannon,7,Peter John Flood,5th,11 l,4,11-11h1,-,True,31,1
Naas Racing Results | 12th November 2022 15:50,N/A,15:50,Yielding To Soft (Soft In Places)  Flat (Turf),2m,Bohemian Summer (IRE),Kieran Callaghan,7,J. G. Cosgrave,4th,8 l,5,11-11,-,True,31,1
Naas Racing Results | 12th November 2022 15:50,N/A,15:50,Yielding To Soft (Soft In Places)  Flat (Turf),2m,Gaillimh A Run (IRE),Mr J. L. Gleeson,7,John Queally,3rd,3 1/2 l,5,11-11,-,True,31,1
Naas Racing Results | 12th November 2022 15:50,N/A,15:50,Yielding To Soft (Soft In Places)  Flat (Turf),2m,Coole Cherry (IRE),Miss J. Townend,3,W. P. Mullins,2nd,Neck,4,11-11,-,True,31,1
Naas Racing Results | 12th November 2022 15:50,N/A,15:50,Yielding To Soft (Soft In Places)  Flat (Turf),2m,Halka Du Tabert (FR),Mr J. J. Codd,0,Gordon Elliott,1st,N/A,5,11-11,-,True,31,1
Naas Racing Results | 12th November 2022 15:50,N/A,15:50,Yielding To Soft (Soft In Places)  Flat (Turf),2m,We Will Rock You (FR),Mr E. P. O'Brien,5,Alan Donoghue,10th,59 l,4,11-11,-,True,31,1
