track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Any Luck Colm (IRE),C. P. McNamara,0,Colin A. McBratney,PU,N/A,5,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Bessy Bradley (IRE),D. J. O'Keeffe,0,T. Gibney,PU,N/A,8,11-5t,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Raven (IRE),E. Walsh,5,T. Gibney,PU,N/A,4,11-4t,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Manfrominverlochy (IRE),Jack Foley,0,Colin A. McBratney,PU,N/A,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Steel Cable (IRE),B. J. Cooper,0,Noel Meade,PU,N/A,7,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Gill's Supreme (IRE),S. O'Callaghan,7,Ross O'Sullivan,PU,N/A,5,11-5,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Flashy Dude (IRE),K. C. Sexton,0,Colin A. McBratney,PU,N/A,6,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,El Poppochapo (IRE),D. E. Mullins,0,Stuart Crawford,16th,23 l,5,11-5,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Themanintheboots (IRE),Corey McGivern,7,Gordon Elliott,15th,Neck,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Nimbus Boy (IRE),S. F. O'Keeffe,0,Paul Nolan,14th,2 1/4 l,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Coolavin Boy (IRE),Richard Deegan,0,Louise G. Lyons,13th,5 1/2 l,5,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Kinbrace (IRE),Sam Ewing,0,Stuart Crawford,12th,28 l,5,11-12t,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Harvard Guy,J. P. Shinnick,7,Eddie & Patrick Harty,11th,8 1/2 l,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,The Flying Spur (FR),J. J. Slevin,0,Martin Brassil,10th,9 l,6,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Gold Haven (IRE),Keith Donoghue,0,Michael Mulvany,9th,1 l,4,11-4,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Captains Nephew (IRE),J. P. O'Sullivan,5,P. J. Rothwell,8th,7 l,5,11-12t1,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Summer Melody (IRE),P. Byrnes,5,Charles Byrnes,7th,5 l,5,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Buddy One (IRE),Jack G. Gilligan,7,Paul John Gilligan,6th,1 3/4 l,5,11-12,-,True,33,1
