track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Father Ailbe (IRE),S. M. Crosse,0,Miss Hilary McLoughlin,14th,25 l,7,9-12p1,71,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Guild,C. D. Hayes,0,Luke Comer,13th,1/2 l,7,9-8t,67,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Buttons and Bows (IRE),Declan McDonogh,0,Patrick J. Flynn,12th,2 3/4 l,8,9-10,69,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Boom Boom Boom,S. P. Davis,0,Charles Byrnes,11th,1 1/4 l,5,10-2,75,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Jake Peter (IRE),A. C. Persse,7,Mark Cahill,10th,5 1/2 l,8,9-13,72,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Annecherie (IRE),William James Lee,0,Ms Sheila Lavery,9th,1/2 l,4,9-10,69,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Intend (IRE),J. Coen,5,Patrick Martin,8th,Head,4,9-7h,66,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Zileo,R. P. Whelan,0,M. Halford,7th,3/4 l,4,9-8,67,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Sky Legend,S. D. Bowen,7,Denis Hogan,6th,1 1/4 l,3,9-1t,66,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Turf Range (IRE),W. M. Lordan,0,D. Broad,5th,Neck,6,9-11b,70,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Engagement Ring (IRE),Seamie Heffernan,0,Aidan O'Brien,4th,Short Head,3,9-7b,72,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Construct,D. W. O'Connor,0,John McConnell,3rd,2 1/2 l,7,9-11t,70,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Tronador (IRE),J. Kearney,7,Gordon Elliott,2nd,3 1/2 l,6,9-8,67,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Dreal Deal (IRE),D. B. McMonagle,0,Ronan M. P. McNally,1st,N/A,7,9-11t,70,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Father Ailbe (IRE),S. M. Crosse,0,Miss Hilary McLoughlin,14th,25 l,7,9-12p1,71,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Guild,C. D. Hayes,0,Luke Comer,13th,1/2 l,7,9-8t,67,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Buttons and Bows (IRE),Declan McDonogh,0,Patrick J. Flynn,12th,2 3/4 l,8,9-10,69,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Boom Boom Boom,S. P. Davis,0,Charles Byrnes,11th,1 1/4 l,5,10-2,75,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Jake Peter (IRE),A. C. Persse,7,Mark Cahill,10th,5 1/2 l,8,9-13,72,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Annecherie (IRE),William James Lee,0,Ms Sheila Lavery,9th,1/2 l,4,9-10,69,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Intend (IRE),J. Coen,5,Patrick Martin,8th,Head,4,9-7h,66,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Zileo,R. P. Whelan,0,M. Halford,7th,3/4 l,4,9-8,67,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Sky Legend,S. D. Bowen,7,Denis Hogan,6th,1 1/4 l,3,9-1t,66,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Turf Range (IRE),W. M. Lordan,0,D. Broad,5th,Neck,6,9-11b,70,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Engagement Ring (IRE),Seamie Heffernan,0,Aidan O'Brien,4th,Short Head,3,9-7b,72,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Construct,D. W. O'Connor,0,John McConnell,3rd,2 1/2 l,7,9-11t,70,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Tronador (IRE),J. Kearney,7,Gordon Elliott,2nd,3 1/2 l,6,9-8,67,True,35,1
Dundalk Racing Results | 16th December 2022 17:00,N/A,17:00,Standard,2m,Dreal Deal (IRE),D. B. McMonagle,0,Ronan M. P. McNally,1st,N/A,7,9-11t,70,True,35,1
Dundalk Racing Results | 16th December 2022 17:30,N/A,17:30,Standard,7f,Pulse Of Shanghai (IRE),G. F. Carroll,0,James McAuley,14th,1/2 l,6,9-13,70,True,35,2
Dundalk Racing Results | 16th December 2022 17:30,N/A,17:30,Standard,7f,The Mpex Kid (IRE),G. M. Ryan,0,Ciaran Murphy,13th,Nose,6,9-13,70,True,35,2
Dundalk Racing Results | 16th December 2022 17:30,N/A,17:30,Standard,7f,Linus Larrabee (IRE),Sorcha Woods,7,Edward Lynam,12th,Nose,5,9-10,67,True,35,2
Dundalk Racing Results | 16th December 2022 17:30,N/A,17:30,Standard,7f,Form of Praise (IRE),C. T. Keane,0,Adrian McGuinness,11th,1 l,3,9-9,66,True,35,2
Dundalk Racing Results | 16th December 2022 17:30,N/A,17:30,Standard,7f,Bears Hug (IRE),Seamie Heffernan,0,Adrian Sexton,10th,Neck,4,10-1,72,True,35,2
Dundalk Racing Results | 16th December 2022 17:30,N/A,17:30,Standard,7f,Pretty Smart (IRE),J. Kearney,7,Patrick Martin,9th,Neck,6,10-0,71,True,35,2
Dundalk Racing Results | 16th December 2022 17:30,N/A,17:30,Standard,7f,Mullacash Buzz (IRE),Jack Cleary,7,Thomas Dowling,8th,1 3/4 l,4,9-10t,67,True,35,2
Dundalk Racing Results | 16th December 2022 17:30,N/A,17:30,Standard,7f,Chavajod,C. Geerdharry,10,John Patrick Murtagh,7th,Neck,4,10-2v,73,True,35,2
Dundalk Racing Results | 16th December 2022 17:30,N/A,17:30,Standard,7f,Scarlet Dancer (IRE),W. M. Lordan,0,James McAuley,6th,1 1/4 l,3,9-10p1,67,True,35,2
Dundalk Racing Results | 16th December 2022 17:30,N/A,17:30,Standard,7f,Arcanears (IRE),P. A. Harnett,7,M. Halford,5th,1/2 l,7,9-10t,67,True,35,2
