track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Stand Off (IRE),Niall Moore,7,Philip Fenton,PU,N/A,8,11-12,128,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Wa Wa (IRE),B. J. Cooper,0,Dermot Anthony McLoughlin,PU,N/A,8,11-7tb,123,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Bread And Butter (IRE),Sam Ewing,0,Ms Helen P. Markham,6th,43 l,8,10-11,113,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Yabo (IRE),Richard Deegan,0,Miss Elizabeth Doyle,5th,1 1/2 l,8,10-9,111,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Carrolls Cottage (IRE),B. Hayes,0,Philip Fenton,4th,10 l,7,11-4b,120,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Halsafari (IRE),C. M. Quirke,7,Michael J. Bowe,3rd,1 1/2 l,10,10-13p,115,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Ballyadam Destiny,D. King,5,Denis Hogan,2nd,1 3/4 l,9,10-2tp,104,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Weihnachts (IRE),S. D. Torrens,0,P. J. Rothwell,1st,N/A,9,10-3tp,105,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Stand Off (IRE),Niall Moore,7,Philip Fenton,PU,N/A,8,11-12,128,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Wa Wa (IRE),B. J. Cooper,0,Dermot Anthony McLoughlin,PU,N/A,8,11-7tb,123,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Bread And Butter (IRE),Sam Ewing,0,Ms Helen P. Markham,6th,43 l,8,10-11,113,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Yabo (IRE),Richard Deegan,0,Miss Elizabeth Doyle,5th,1 1/2 l,8,10-9,111,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Carrolls Cottage (IRE),B. Hayes,0,Philip Fenton,4th,10 l,7,11-4b,120,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Halsafari (IRE),C. M. Quirke,7,Michael J. Bowe,3rd,1 1/2 l,10,10-13p,115,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Ballyadam Destiny,D. King,5,Denis Hogan,2nd,1 3/4 l,9,10-2tp,104,True,38,1
Cork Racing Results | 7th January 2023 15:22,N/A,15:22,Soft (Heavy In Places),2m 4f,Weihnachts (IRE),S. D. Torrens,0,P. J. Rothwell,1st,N/A,9,10-3tp,105,True,38,1
Cork Racing Results | 7th January 2023 15:57,N/A,15:57,Soft (Heavy In Places)  Flat (Turf),2m,Double Dating (IRE),Mr J. J. Codd,0,Gordon Elliott,8th,3/4 l,5,11-11,-,True,38,2
Cork Racing Results | 7th January 2023 15:57,N/A,15:57,Soft (Heavy In Places)  Flat (Turf),2m,Kathleen Gold (IRE),Ms N. Burns,7,R. P. Burns,7th,11 l,8,11-11,-,True,38,2
Cork Racing Results | 7th January 2023 15:57,N/A,15:57,Soft (Heavy In Places)  Flat (Turf),2m,No Fussing (IRE),Mr D. Doyle,7,Timothy Doyle,6th,17 l,7,11-11,-,True,38,2
Cork Racing Results | 7th January 2023 15:57,N/A,15:57,Soft (Heavy In Places)  Flat (Turf),2m,Kathy Choice (IRE),Mr D. Allen,7,James Daniel Dullea,5th,6 1/2 l,5,11-11,-,True,38,2
