track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 18th January 2023 15:45,N/A,15:45,Standard,2m,Travel On,N. M. Crosse,0,Luke Comer,9th,3/4 l,7,9-1t,76,True,39,1
Dundalk Racing Results | 18th January 2023 15:45,N/A,15:45,Standard,2m,Scenic Look (IRE),Seamie Heffernan,0,Adrian Murray,8th,1 3/4 l,5,9-3,78,True,39,1
Dundalk Racing Results | 18th January 2023 15:45,N/A,15:45,Standard,2m,Vibrance,Cillian McConnell,7,John McConnell,7th,1 1/2 l,7,9-8,83,True,39,1
Dundalk Racing Results | 18th January 2023 15:45,N/A,15:45,Standard,2m,The Jam Man (IRE),C. Stone-Walsh,7,Ronan M. P. McNally,6th,Head,10,9-3,78,True,39,1
Dundalk Racing Results | 18th January 2023 15:45,N/A,15:45,Standard,2m,Grandmaster Flash (IRE),J. Coen,5,Joseph Patrick O'Brien,5th,2 l,7,10-0tb,89,True,39,1
Dundalk Racing Results | 18th January 2023 15:45,N/A,15:45,Standard,2m,Construct,Siobhan Rutledge,5,John McConnell,4th,1 3/4 l,8,8-9ht,70,True,39,1
Dundalk Racing Results | 18th January 2023 15:45,N/A,15:45,Standard,2m,Getaway Queen (IRE),C. Horgan,7,David Kenneth Budds,3rd,1/2 l,9,8-7tp,68,True,39,1
Dundalk Racing Results | 18th January 2023 15:45,N/A,15:45,Standard,2m,Adamaris (IRE),R. P. Cleary,0,G. O'Leary,2nd,2 1/2 l,6,9-1,76,True,39,1
Dundalk Racing Results | 18th January 2023 15:45,N/A,15:45,Standard,2m,Firstman (FR),William James Lee,0,A. J. Martin,1st,N/A,6,9-4t,79,True,39,1
Dundalk Racing Results | 18th January 2023 15:45,N/A,15:45,Standard,2m,Travel On,N. M. Crosse,0,Luke Comer,9th,3/4 l,7,9-1t,76,True,39,1
Dundalk Racing Results | 18th January 2023 15:45,N/A,15:45,Standard,2m,Scenic Look (IRE),Seamie Heffernan,0,Adrian Murray,8th,1 3/4 l,5,9-3,78,True,39,1
Dundalk Racing Results | 18th January 2023 15:45,N/A,15:45,Standard,2m,Vibrance,Cillian McConnell,7,John McConnell,7th,1 1/2 l,7,9-8,83,True,39,1
