track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 27th January 2023 18:00,N/A,18:00,Standard,7f,Fairy's Call (IRE),J. Coen,0,W. J. Martin,13th,3 1/2 l,5,9-4,-,True,40,1
Dundalk Racing Results | 27th January 2023 18:00,N/A,18:00,Standard,7f,Pastel Power (IRE),J. M. Sheridan,0,Denis Hogan,12th,2 l,4,9-9t,-,True,40,1
Dundalk Racing Results | 27th January 2023 18:00,N/A,18:00,Standard,7f,Ribtide,Oisin McSweeney,0,Kieran Patrick Cotter,11th,Head,4,9-9tp,-,True,40,1
Dundalk Racing Results | 27th January 2023 18:00,N/A,18:00,Standard,7f,Miss Upbeat (IRE),Siobhan Rutledge,0,John McConnell,10th,1/2 l,4,9-4t,-,True,40,1
Dundalk Racing Results | 27th January 2023 18:00,N/A,18:00,Standard,7f,Shining Crystal,Jack Cleary,4,Adrian Murray,9th,Neck,4,9-4,-,True,40,1
Dundalk Racing Results | 27th January 2023 18:00,N/A,18:00,Standard,7f,Step Back In Time (IRE),Adam Caffrey,2,Christopher David Timmons,8th,3/4 l,5,9-4,-,True,40,1
Dundalk Racing Results | 27th January 2023 18:00,N/A,18:00,Standard,7f,Emperor Of Silk (IRE),C. J. MacRedmond,0,Anthony Mullins,7th,3/4 l,6,9-9,-,True,40,1
Dundalk Racing Results | 27th January 2023 18:00,N/A,18:00,Standard,7f,Sea Oscar,C. Stone-Walsh,4,Joseph Patrick O'Brien,6th,1/2 l,5,9-4,-,True,40,1
Dundalk Racing Results | 27th January 2023 18:00,N/A,18:00,Standard,7f,Search for Thestar (IRE),R. Whearty,2,Luke Comer,5th,1/2 l,5,9-9,-,True,40,1
Dundalk Racing Results | 27th January 2023 18:00,N/A,18:00,Standard,7f,Circles (IRE),L. T. McAteer,0,Anthony McCann,4th,Neck,4,9-4tb,-,True,40,1
Dundalk Racing Results | 27th January 2023 18:00,N/A,18:00,Standard,7f,Storm Eric (IRE),J. J. G. Ryan,4,Jamie Flynn,3rd,2 1/2 l,4,9-9t1,-,True,40,1
