track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Lilyfit (IRE),Mr H. C. Swan,7,Leanne Breen,13th,99 l,6,11-7ht1,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Kathleen Gold (IRE),Ms N. Burns,7,R. P. Burns,12th,64 l,8,11-7,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,After the Drama (IRE),Ms E. C. Costello,7,Aengus King,11th,3/4 l,6,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Tomannie (IRE),Mr N. Gault,7,S. Michael Millar,10th,41 l,5,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Fathom Two (IRE),Mr N. McParlan,0,Sean McParlan,9th,28 l,6,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Ballystone (IRE),Mr A. Harvey,7,T. Gibney,8th,3 3/4 l,5,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Rule The Wind (IRE),Miss J. Townend,3,W. P. Mullins,7th,1 1/4 l,5,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,One Way Traffic (IRE),J. I. Duggan,7,Oliver McKiernan,6th,8 l,6,12-0h1,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Johnny Cigar (IRE),Miss M. O'Sullivan,5,P. F. O'Donnell,5th,5 1/2 l,7,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Any Road (IRE),A. P. Kelly,7,E. J. O'Grady,4th,Neck,6,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,The Gunner Yeats (IRE),Mr P. W. Mullins,0,W. P. Mullins,3rd,8 l,6,12-0h1,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Mint Boy (IRE),Mr J. Dunne,7,Gavin Patrick Cromwell,2nd,10 l,5,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Firefox (IRE),Mr J. J. Codd,0,Gordon Elliott,1st,N/A,5,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Lilyfit (IRE),Mr H. C. Swan,7,Leanne Breen,13th,99 l,6,11-7ht1,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Kathleen Gold (IRE),Ms N. Burns,7,R. P. Burns,12th,64 l,8,11-7,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,After the Drama (IRE),Ms E. C. Costello,7,Aengus King,11th,3/4 l,6,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Tomannie (IRE),Mr N. Gault,7,S. Michael Millar,10th,41 l,5,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Fathom Two (IRE),Mr N. McParlan,0,Sean McParlan,9th,28 l,6,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Ballystone (IRE),Mr A. Harvey,7,T. Gibney,8th,3 3/4 l,5,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Rule The Wind (IRE),Miss J. Townend,3,W. P. Mullins,7th,1 1/4 l,5,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,One Way Traffic (IRE),J. I. Duggan,7,Oliver McKiernan,6th,8 l,6,12-0h1,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Johnny Cigar (IRE),Miss M. O'Sullivan,5,P. F. O'Donnell,5th,5 1/2 l,7,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Any Road (IRE),A. P. Kelly,7,E. J. O'Grady,4th,Neck,6,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,The Gunner Yeats (IRE),Mr P. W. Mullins,0,W. P. Mullins,3rd,8 l,6,12-0h1,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Mint Boy (IRE),Mr J. Dunne,7,Gavin Patrick Cromwell,2nd,10 l,5,12-0,-,True,42,1
Navan Racing Results | 12th February 2023 16:40,N/A,16:40,Good To Yielding  Flat (Turf),2m,Firefox (IRE),Mr J. J. Codd,0,Gordon Elliott,1st,N/A,5,12-0,-,True,42,1
Dundalk Racing Results | 15th February 2023 13:20,N/A,13:20,Standard,2m,Starlight Rose (IRE),N. M. Crosse,0,Thomas Dowling,13th,Short Head,4,8-7t,47,True,42,2
Dundalk Racing Results | 15th February 2023 13:20,N/A,13:20,Standard,2m,Eastern Tornado (IRE),Jack Enright,10,Michael P. Hourigan,12th,4 1/2 l,6,8-13,50,True,42,2
Dundalk Racing Results | 15th February 2023 13:20,N/A,13:20,Standard,2m,Romann (IRE),W. M. Lordan,0,J. F. Levins,11th,1 3/4 l,6,8-10p1,47,True,42,2
