track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Thurles Racing Results | 23rd February 2023 15:40,N/A,15:40,Good (Good To Yielding In Places),2m 4f 154y,Whiskey Lullaby (IRE),D. J. O'Keeffe,0,Henry de Bromhead,8th,40 l,8,10-7t,-,True,43,1
Thurles Racing Results | 23rd February 2023 15:40,N/A,15:40,Good (Good To Yielding In Places),2m 4f 154y,Henning (IRE),D. King,0,Denis Hogan,7th,4 3/4 l,6,10-10t1,-,True,43,1
Thurles Racing Results | 23rd February 2023 15:40,N/A,15:40,Good (Good To Yielding In Places),2m 4f 154y,Rexem (IRE),S. D. Torrens,0,John McConnell,6th,3 3/4 l,6,11-3,-,True,43,1
Thurles Racing Results | 23rd February 2023 15:40,N/A,15:40,Good (Good To Yielding In Places),2m 4f 154y,Still Ciel (IRE),Rachael Blackmore,0,Henry de Bromhead,5th,3 1/4 l,6,10-7,-,True,43,1
Thurles Racing Results | 23rd February 2023 15:40,N/A,15:40,Good (Good To Yielding In Places),2m 4f 154y,Ifiwerearichman (IRE),S. F. O'Keeffe,0,Paul Nolan,4th,1/2 l,5,11-0h,-,True,43,1
Thurles Racing Results | 23rd February 2023 15:40,N/A,15:40,Good (Good To Yielding In Places),2m 4f 154y,Knockanard Lady (IRE),Jack Doyle,0,P. M. J. Doyle,3rd,3 1/4 l,6,10-7t,-,True,43,1
Thurles Racing Results | 23rd February 2023 15:40,N/A,15:40,Good (Good To Yielding In Places),2m 4f 154y,Buddy One (IRE),Jack G. Gilligan,0,Paul John Gilligan,2nd,Short Head,6,11-0,-,True,43,1
Thurles Racing Results | 23rd February 2023 15:40,N/A,15:40,Good (Good To Yielding In Places),2m 4f 154y,Sa Fureur (IRE),Jordan Colin Gainford,0,Gordon Elliott,1st,N/A,6,11-3,-,True,43,1
Thurles Racing Results | 23rd February 2023 15:40,N/A,15:40,Good (Good To Yielding In Places),2m 4f 154y,Whiskey Lullaby (IRE),D. J. O'Keeffe,0,Henry de Bromhead,8th,40 l,8,10-7t,-,True,43,1
Thurles Racing Results | 23rd February 2023 15:40,N/A,15:40,Good (Good To Yielding In Places),2m 4f 154y,Henning (IRE),D. King,0,Denis Hogan,7th,4 3/4 l,6,10-10t1,-,True,43,1
Thurles Racing Results | 23rd February 2023 15:40,N/A,15:40,Good (Good To Yielding In Places),2m 4f 154y,Rexem (IRE),S. D. Torrens,0,John McConnell,6th,3 3/4 l,6,11-3,-,True,43,1
