track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Brave Starlight (IRE),Mr D. O'Connor,0,Mrs Grainne O'Connor,PU,N/A,6,12-0t1,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Ask the Bishop (IRE),Mr J. C. Barry,3,Michael Butler,PU,N/A,6,12-0t1,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Longhouse Star (IRE),Mr P. A. King,5,S. Curling,PU,N/A,6,12-0,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Ta Se Rua,Mr D. A. Mulcahy,7,P. J. Healy,PU,N/A,10,12-0b1,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Royal Juniper (IRE),Miss M. O'Sullivan,5,A. J. Martin,PU,N/A,7,12-0t,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Happy Victory (FR),Mr H. C. Swan,5,Gordon Elliott,PU,N/A,6,12-0,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Lesssaidthebetter,Mr T. Power Roche,7,P. J. Rothwell,PU,N/A,9,12-0,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Keenaghan Lass (IRE),Mr T. P. Harney,7,T. F. Shaw,3rd,6 1/2 l,9,11-7,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Carrig Wells (IRE),Mr D. M. Fitzgerald,7,Martin Paul Fitzgerald,2nd,22 l,8,11-7p1,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Dento Des Obeaux (FR),Mr D. G. Lavery,0,Patrick Eugene Turley,1st,N/A,10,12-0,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Brave Starlight (IRE),Mr D. O'Connor,0,Mrs Grainne O'Connor,PU,N/A,6,12-0t1,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Ask the Bishop (IRE),Mr J. C. Barry,3,Michael Butler,PU,N/A,6,12-0t1,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Longhouse Star (IRE),Mr P. A. King,5,S. Curling,PU,N/A,6,12-0,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Ta Se Rua,Mr D. A. Mulcahy,7,P. J. Healy,PU,N/A,10,12-0b1,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Royal Juniper (IRE),Miss M. O'Sullivan,5,A. J. Martin,PU,N/A,7,12-0t,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Happy Victory (FR),Mr H. C. Swan,5,Gordon Elliott,PU,N/A,6,12-0,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Lesssaidthebetter,Mr T. Power Roche,7,P. J. Rothwell,PU,N/A,9,12-0,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Keenaghan Lass (IRE),Mr T. P. Harney,7,T. F. Shaw,3rd,6 1/2 l,9,11-7,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Carrig Wells (IRE),Mr D. M. Fitzgerald,7,Martin Paul Fitzgerald,2nd,22 l,8,11-7p1,-,True,45,1
Thurles Racing Results | 13th March 2023 13:55,N/A,13:55,Yielding To Soft,3m 1f 89y,Dento Des Obeaux (FR),Mr D. G. Lavery,0,Patrick Eugene Turley,1st,N/A,10,12-0,-,True,45,1
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Rock Ya Boy Ya (IRE),Patrick O'Hanlon,5,Francis Casey,PU,N/A,5,11-4,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Sand Castle (IRE),Sean Flanagan,0,Adrian Murray,PU,N/A,7,11-12,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Old Lonesome Me (IRE),Phillip Enright,0,Patrick G. Kelly,PU,N/A,6,11-4,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Misty at Sea (IRE),R. J. Condon,5,W. J. Lanigan,PU,N/A,7,11-4,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Cappacurry Croi (IRE),S. A. Mulcahy,7,L. Young,PU,N/A,5,10-11,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Dylan Og (IRE),A. M. McCurtin,0,Ms Debbie Hartnett,PU,N/A,5,11-4,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Ella Rose (IRE),Richard Deegan,0,Eoin Christopher McCarthy,F,N/A,6,10-11,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Humanitarian (USA),Shane Fenelon,7,John Joseph Hanlon,8th,34 l,7,11-12ht,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Sir Prince Edmond (IRE),C. G. O'Dwyer,7,Conor O'Dwyer,7th,5 1/2 l,6,11-4,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Set Point (IRE),Jordan Colin Gainford,0,Gordon Elliott,6th,16 l,5,11-12p,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Trackman Tommy (IRE),Philip Donovan,5,Patrick G. Kelly,5th,13 l,5,11-4,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Baltic Moon (GER),Kieran Callaghan,7,W. P. Mullins,4th,19 l,7,11-4,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Mastermacblack (IRE),I. J. Power,0,P. Corkery,3rd,24 l,6,11-4,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Feu Du Bresil (FR),Jack Foley,0,W. P. Mullins,2nd,25 l,8,11-4,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,The Gunner Yeats (IRE),B. Hayes,0,W. P. Mullins,1st,N/A,6,11-4,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Rock Ya Boy Ya (IRE),Patrick O'Hanlon,5,Francis Casey,PU,N/A,5,11-4,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Sand Castle (IRE),Sean Flanagan,0,Adrian Murray,PU,N/A,7,11-12,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Old Lonesome Me (IRE),Phillip Enright,0,Patrick G. Kelly,PU,N/A,6,11-4,-,True,45,2
Thurles Racing Results | 13th March 2023 14:30,N/A,14:30,Soft,2m 98y,Misty at Sea (IRE),R. J. Condon,5,W. J. Lanigan,PU,N/A,7,11-4,-,True,45,2
