track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Canning (IRE),N. M. Crosse,0,Luke Comer,14th,9 1/2 l,7,9-1,50,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Supreme Law (USA),C. T. Keane,0,Matthew J. Smith,13th,3/4 l,4,9-5p,55,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Boragh Empress (IRE),S. Cleary-Farrell,10,Barry Fitzgerald,12th,1 l,4,9-6,56,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Maricruz (IRE),Cillian McConnell,7,John McConnell,11th,Neck,8,9-2t,51,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Lex Maxima (IRE),S. D. Bowen,7,John McConnell,10th,2 l,4,8-13h,49,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Kalaroun (IRE),Seamie Heffernan,0,Miss Tara Lee Cogan,9th,3/4 l,5,9-13tp,62,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Hinemoa (FR),A. C. Persse,7,Mark Cahill,8th,1 1/2 l,7,9-6,55,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Ballycommon Chapel (IRE),R. Whearty,7,Peter Cluskey,7th,3/4 l,5,9-2p,51,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Pro Bono (IRE),C. D. Hayes,0,C. W. J. Farrell,6th,Head,8,9-0p,49,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Oranmore (IRE),Jack Cleary,7,Luke Comer,5th,1 l,7,9-10,59,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Golden Sandbanks,D. B. McMonagle,0,Paul W. Flynn,4th,1/2 l,6,9-10t,59,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,French Company (IRE),D. N. Curran,7,J. G. Coogan,3rd,Short Head,5,10-1,64,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Sea Oscar,Declan McDonogh,0,Joseph Patrick O'Brien,2nd,1/2 l,5,9-4,53,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Celtic Revival (IRE),J. J. G. Ryan,7,Edward Lynam,1st,N/A,4,9-12,62,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Canning (IRE),N. M. Crosse,0,Luke Comer,14th,9 1/2 l,7,9-1,50,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Supreme Law (USA),C. T. Keane,0,Matthew J. Smith,13th,3/4 l,4,9-5p,55,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Boragh Empress (IRE),S. Cleary-Farrell,10,Barry Fitzgerald,12th,1 l,4,9-6,56,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Maricruz (IRE),Cillian McConnell,7,John McConnell,11th,Neck,8,9-2t,51,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Lex Maxima (IRE),S. D. Bowen,7,John McConnell,10th,2 l,4,8-13h,49,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Kalaroun (IRE),Seamie Heffernan,0,Miss Tara Lee Cogan,9th,3/4 l,5,9-13tp,62,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Hinemoa (FR),A. C. Persse,7,Mark Cahill,8th,1 1/2 l,7,9-6,55,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Ballycommon Chapel (IRE),R. Whearty,7,Peter Cluskey,7th,3/4 l,5,9-2p,51,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Pro Bono (IRE),C. D. Hayes,0,C. W. J. Farrell,6th,Head,8,9-0p,49,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Oranmore (IRE),Jack Cleary,7,Luke Comer,5th,1 l,7,9-10,59,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Golden Sandbanks,D. B. McMonagle,0,Paul W. Flynn,4th,1/2 l,6,9-10t,59,True,46,1
