track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,Royal Sunset (IRE),Mr T. P. Harney,7,Luke Comer,8th,99 l,4,10-11,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,Warmer Days Ahead (FR),Mr J. C. Barry,0,Oliver McKiernan,7th,Head,4,11-4,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,Starry Heights (IRE),Mr J. W. Hendrick,0,N. Dooly,6th,6 l,5,11-7,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,Rhaenyra (IRE),Mr J. P. O'Rourke,0,Colm A. Murphy,5th,20 l,5,11-7h1,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,Ask Anything (IRE),Mr J. Dunne,0,Gavin Patrick Cromwell,4th,6 1/2 l,5,12-0,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,Mahon's Way (IRE),Mr D. Roche,0,Henry de Bromhead,3rd,3/4 l,5,12-0h1,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,He's My Hero,Mr B. O'Neill,0,Paul Nolan,2nd,4 1/2 l,5,12-0t1,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,Mirazur West (IRE),Mr D. O'Connor,0,W. P. Mullins,1st,N/A,5,12-0,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,Royal Sunset (IRE),Mr T. P. Harney,7,Luke Comer,8th,99 l,4,10-11,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,Warmer Days Ahead (FR),Mr J. C. Barry,0,Oliver McKiernan,7th,Head,4,11-4,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,Starry Heights (IRE),Mr J. W. Hendrick,0,N. Dooly,6th,6 l,5,11-7,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,Rhaenyra (IRE),Mr J. P. O'Rourke,0,Colm A. Murphy,5th,20 l,5,11-7h1,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,Ask Anything (IRE),Mr J. Dunne,0,Gavin Patrick Cromwell,4th,6 1/2 l,5,12-0,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,Mahon's Way (IRE),Mr D. Roche,0,Henry de Bromhead,3rd,3/4 l,5,12-0h1,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,He's My Hero,Mr B. O'Neill,0,Paul Nolan,2nd,4 1/2 l,5,12-0t1,-,True,47,1
Naas Racing Results | 30th March 2023 17:22,N/A,17:22,Yielding To Soft,2m 63y,Mirazur West (IRE),Mr D. O'Connor,0,W. P. Mullins,1st,N/A,5,12-0,-,True,47,1
Wexford Racing Results | 31st March 2023 16:10,N/A,16:10,Heavy,2m 4f 150y,Applicationofcash (IRE),Phillip Enright,0,S. Curling,PU,N/A,5,11-10ht1,-,True,47,2
Wexford Racing Results | 31st March 2023 16:10,N/A,16:10,Heavy,2m 4f 150y,Alainn Abbey (IRE),A. P. Kelly,7,E. Sheehy,PU,N/A,4,10-3,-,True,47,2
Wexford Racing Results | 31st March 2023 16:10,N/A,16:10,Heavy,2m 4f 150y,Arthor (IRE),M. P. O'Connor,5,James Joseph Mangan,7th,3/4 l,6,11-10t,-,True,47,2
Wexford Racing Results | 31st March 2023 16:10,N/A,16:10,Heavy,2m 4f 150y,John W Creasy (IRE),D. E. Mullins,0,Ms Margaret Mullins,6th,13 l,5,11-10,-,True,47,2
Wexford Racing Results | 31st March 2023 16:10,N/A,16:10,Heavy,2m 4f 150y,Power Hour (IRE),T. N. Brett,7,M. A. Gunn,5th,7 1/2 l,7,11-8,-,True,47,2
