track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Blondesandbubbles (IRE),Mr D. Kiely,7,John P. O'Callaghan,11th,10 l,5,11-7,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Follow Charlie (IRE),Jack G. Gilligan,7,Paul John Gilligan,10th,3 3/4 l,4,11-6,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Smile Again (IRE),D. Butler,7,Mark Fahey,9th,3/4 l,6,11-7,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Jeronimo De L'ouch (FR),Mr J. C. Barry,3,Michael G. Kennedy,8th,9 l,4,11-6,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Read the Room (IRE),Miss A. Hourigan,7,G. T. Hourigan,7th,3 3/4 l,4,10-13,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Pray Tell (IRE),Mr D. Allen,7,Desmond Kenneally,6th,3/4 l,7,12-0,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Glendine Billy (IRE),Mr Charlie Mullins,7,Anthony Mullins,5th,7 l,5,12-0,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Extrapolation (IRE),Mr R. W. Barron,7,Richard John O'Brien,4th,8 l,6,12-0,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Walk Away Harry (IRE),Mr A. P. Ryan,7,Charles Byrnes,2nd,Dead Heat,5,12-0,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Toad Hall (IRE),Mr P. W. Mullins,0,W. P. Mullins,2nd,2 1/2 l,6,12-0,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Shannon Royale (IRE),Mr J. J. Codd,0,Gordon Elliott,1st,N/A,5,12-0,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Blondesandbubbles (IRE),Mr D. Kiely,7,John P. O'Callaghan,11th,10 l,5,11-7,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Follow Charlie (IRE),Jack G. Gilligan,7,Paul John Gilligan,10th,3 3/4 l,4,11-6,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Smile Again (IRE),D. Butler,7,Mark Fahey,9th,3/4 l,6,11-7,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Jeronimo De L'ouch (FR),Mr J. C. Barry,3,Michael G. Kennedy,8th,9 l,4,11-6,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Read the Room (IRE),Miss A. Hourigan,7,G. T. Hourigan,7th,3 3/4 l,4,10-13,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Pray Tell (IRE),Mr D. Allen,7,Desmond Kenneally,6th,3/4 l,7,12-0,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Glendine Billy (IRE),Mr Charlie Mullins,7,Anthony Mullins,5th,7 l,5,12-0,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Extrapolation (IRE),Mr R. W. Barron,7,Richard John O'Brien,4th,8 l,6,12-0,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Walk Away Harry (IRE),Mr A. P. Ryan,7,Charles Byrnes,2nd,Dead Heat,5,12-0,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Toad Hall (IRE),Mr P. W. Mullins,0,W. P. Mullins,2nd,2 1/2 l,6,12-0,-,True,48,1
Clonmel Racing Results | 6th April 2023 19:15,N/A,19:15,Heavy  Flat (Turf),2m 121y,Shannon Royale (IRE),Mr J. J. Codd,0,Gordon Elliott,1st,N/A,5,12-0,-,True,48,1
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,Lolyta (IRE),G. M. Ryan,0,Andrew Kinsella,12th,2 l,3,9-3,-,True,48,2
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,Allie Bear (IRE),L. F. Roche,0,C. W. J. Farrell,11th,1 1/4 l,3,9-3,-,True,48,2
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,Perfectlikethemoon (IRE),Seamie Heffernan,0,Miss Evanna McCutcheon,10th,7 l,3,9-3,-,True,48,2
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,Arancha (USA),R. P. Cleary,0,J. S. Bolger,9th,Neck,3,9-3,-,True,48,2
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,Yuzu,Shane Foley,0,Mrs J. Harrington,8th,1 3/4 l,3,9-3,-,True,48,2
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,Sibyl Charm (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,7th,4 1/2 l,3,9-3,-,True,48,2
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,Timeless Piece (IRE),N. M. Crosse,0,Mrs J. Harrington,6th,Head,3,9-3,-,True,48,2
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,Red Carpet (IRE),Ryan Moore,0,Aidan O'Brien,5th,Nose,3,9-3,-,True,48,2
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,Time To Soar (IRE),Amy Jo Hayes,7,A. Slattery,4th,2 1/2 l,3,9-3,-,True,48,2
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,Thunder Dance,William James Lee,0,W. McCreery,3rd,2 3/4 l,3,9-3v1,-,True,48,2
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,Beauty Bella (IRE),J. Coen,5,Adrian Murray,2nd,3 1/2 l,3,9-3,-,True,48,2
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,You Send Me (IRE),M. A. Enright,0,J. A. Stack,1st,N/A,3,9-3,-,True,48,2
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,Lolyta (IRE),G. M. Ryan,0,Andrew Kinsella,12th,2 l,3,9-3,-,True,48,2
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,Allie Bear (IRE),L. F. Roche,0,C. W. J. Farrell,11th,1 1/4 l,3,9-3,-,True,48,2
Cork Racing Results | 8th April 2023 13:15,N/A,13:15,Soft To Heavy,7f,Perfectlikethemoon (IRE),Seamie Heffernan,0,Miss Evanna McCutcheon,10th,7 l,3,9-3,-,True,48,2
