track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Bride Tree,C. J. MacRedmond,5,Adrian McGuinness,9th,1 1/4 l,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Miss Heartbreak (IRE),C. D. Hayes,0,Luke Comer,8th,3 1/2 l,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Fancy Nancy (IRE),A. J. Slattery,0,A. Slattery,7th,5 1/2 l,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Nunca (IRE),K. J. Leonard,0,Donnacha Aidan O'Brien,6th,Neck,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Dalliances (IRE),Ben Martin Coen,0,John Patrick Murtagh,5th,6 l,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,A Moment Like This (USA),G. M. Ryan,0,Donnacha Aidan O'Brien,4th,3/4 l,3,9-3t1,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Shamwari (USA),Declan McDonogh,0,Joseph Patrick O'Brien,3rd,Neck,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Letiza (IRE),William James Lee,0,J. J. Feane,2nd,3/4 l,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Red Riding Hood (IRE),Ryan Moore,0,Aidan O'Brien,1st,N/A,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Bride Tree,C. J. MacRedmond,5,Adrian McGuinness,9th,1 1/4 l,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Miss Heartbreak (IRE),C. D. Hayes,0,Luke Comer,8th,3 1/2 l,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Fancy Nancy (IRE),A. J. Slattery,0,A. Slattery,7th,5 1/2 l,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Nunca (IRE),K. J. Leonard,0,Donnacha Aidan O'Brien,6th,Neck,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Dalliances (IRE),Ben Martin Coen,0,John Patrick Murtagh,5th,6 l,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,A Moment Like This (USA),G. M. Ryan,0,Donnacha Aidan O'Brien,4th,3/4 l,3,9-3t1,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Shamwari (USA),Declan McDonogh,0,Joseph Patrick O'Brien,3rd,Neck,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Letiza (IRE),William James Lee,0,J. J. Feane,2nd,3/4 l,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:15,N/A,18:15,Standard,1m 2f 150y,Red Riding Hood (IRE),Ryan Moore,0,Aidan O'Brien,1st,N/A,3,9-3,-,True,49,1
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Eruption (IRE),J. Coen,0,Matthew J. Smith,12th,9 1/2 l,4,9-5,53,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Pastel Power (IRE),D. King,0,Denis Hogan,11th,2 3/4 l,4,10-0tp1,62,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Valhalla's Dream (IRE),Adam Caffrey,2,R. P. Burns,10th,3 3/4 l,5,9-7,55,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Capla Knight (IRE),C. J. MacRedmond,0,Muredach Kelly,9th,Head,5,9-0tp1,48,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Cometh the Man (IRE),S. D. Bowen,4,John McConnell,8th,1 l,5,9-1,49,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Royal Tribute (IRE),J. J. G. Ryan,4,James McAuley,7th,1/2 l,5,9-11b,59,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Sunset Nova (IRE),Amy Jo Hayes,7,A. Slattery,6th,3/4 l,7,9-13,61,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Maestro Stick,Oisin McSweeney,0,Keith Henry Clarke,5th,Neck,6,9-4t,52,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Tanseeq,C. Stone-Walsh,7,H. D. McGuigan,4th,Head,8,8-13p,47,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Boadicea Belle (IRE),J. A. Powell,0,Matthew J. Smith,3rd,3/4 l,4,9-12,60,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Double Martini (IRE),Siobhan Rutledge,0,John McConnell,2nd,Head,7,8-13t,47,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Feature This (IRE),R. Whearty,2,Paul W. Flynn,1st,N/A,4,9-12t,60,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Eruption (IRE),J. Coen,0,Matthew J. Smith,12th,9 1/2 l,4,9-5,53,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Pastel Power (IRE),D. King,0,Denis Hogan,11th,2 3/4 l,4,10-0tp1,62,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Valhalla's Dream (IRE),Adam Caffrey,2,R. P. Burns,10th,3 3/4 l,5,9-7,55,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Capla Knight (IRE),C. J. MacRedmond,0,Muredach Kelly,9th,Head,5,9-0tp1,48,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Cometh the Man (IRE),S. D. Bowen,4,John McConnell,8th,1 l,5,9-1,49,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Royal Tribute (IRE),J. J. G. Ryan,4,James McAuley,7th,1/2 l,5,9-11b,59,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Sunset Nova (IRE),Amy Jo Hayes,7,A. Slattery,6th,3/4 l,7,9-13,61,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Maestro Stick,Oisin McSweeney,0,Keith Henry Clarke,5th,Neck,6,9-4t,52,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Tanseeq,C. Stone-Walsh,7,H. D. McGuigan,4th,Head,8,8-13p,47,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Boadicea Belle (IRE),J. A. Powell,0,Matthew J. Smith,3rd,3/4 l,4,9-12,60,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Double Martini (IRE),Siobhan Rutledge,0,John McConnell,2nd,Head,7,8-13t,47,True,49,2
Dundalk Racing Results | 11th April 2023 18:45,N/A,18:45,Standard,1m,Feature This (IRE),R. Whearty,2,Paul W. Flynn,1st,N/A,4,9-12t,60,True,49,2
Dundalk Racing Results | 11th April 2023 19:15,N/A,19:15,Standard,7f,Second Fiddle (IRE),D. W. O'Connor,0,C. P. Donoghue,10th,3 1/4 l,4,10-2,-,True,49,3
Dundalk Racing Results | 11th April 2023 19:15,N/A,19:15,Standard,7f,Dance the Flame (IRE),M. A. Gallagher,0,Ross O'Sullivan,9th,1/2 l,3,9-2,-,True,49,3
Dundalk Racing Results | 11th April 2023 19:15,N/A,19:15,Standard,7f,Cristo Redentor (IRE),D. B. McMonagle,0,Adrian Murray,8th,2 1/4 l,3,9-7,-,True,49,3
Dundalk Racing Results | 11th April 2023 19:15,N/A,19:15,Standard,7f,Curzon Queen (IRE),Oisin McSweeney,5,Kieran Patrick Cotter,7th,1 l,3,9-2,-,True,49,3
Dundalk Racing Results | 11th April 2023 19:15,N/A,19:15,Standard,7f,Shamastar (IRE),A. J. Slattery,0,David Marnane,6th,3/4 l,3,9-7,-,True,49,3
