track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 22nd April 2023 15:30,N/A,15:30,Heavy,5f 164y,Cosmic Invasion (IRE),C. D. Hayes,0,Henry de Bromhead,5th,6 1/2 l,3,9-0,-,True,51,1
Navan Racing Results | 22nd April 2023 15:30,N/A,15:30,Heavy,5f 164y,Shartash (IRE),Ben Martin Coen,0,John Patrick Murtagh,4th,14 l,3,9-10,-,True,51,1
Navan Racing Results | 22nd April 2023 15:30,N/A,15:30,Heavy,5f 164y,The Antarctic (IRE),Ryan Moore,0,Aidan O'Brien,3rd,3/4 l,3,9-8,-,True,51,1
Navan Racing Results | 22nd April 2023 15:30,N/A,15:30,Heavy,5f 164y,Aesop's Fables (IRE),W. M. Lordan,0,Aidan O'Brien,2nd,6 l,3,9-10,-,True,51,1
Navan Racing Results | 22nd April 2023 15:30,N/A,15:30,Heavy,5f 164y,Ocean Quest (IRE),Shane Foley,0,Mrs J. Harrington,1st,N/A,3,9-0,-,True,51,1
Navan Racing Results | 22nd April 2023 15:30,N/A,15:30,Heavy,5f 164y,Cosmic Invasion (IRE),C. D. Hayes,0,Henry de Bromhead,5th,6 1/2 l,3,9-0,-,True,51,1
Navan Racing Results | 22nd April 2023 15:30,N/A,15:30,Heavy,5f 164y,Shartash (IRE),Ben Martin Coen,0,John Patrick Murtagh,4th,14 l,3,9-10,-,True,51,1
Navan Racing Results | 22nd April 2023 15:30,N/A,15:30,Heavy,5f 164y,The Antarctic (IRE),Ryan Moore,0,Aidan O'Brien,3rd,3/4 l,3,9-8,-,True,51,1
Navan Racing Results | 22nd April 2023 15:30,N/A,15:30,Heavy,5f 164y,Aesop's Fables (IRE),W. M. Lordan,0,Aidan O'Brien,2nd,6 l,3,9-10,-,True,51,1
Navan Racing Results | 22nd April 2023 15:30,N/A,15:30,Heavy,5f 164y,Ocean Quest (IRE),Shane Foley,0,Mrs J. Harrington,1st,N/A,3,9-0,-,True,51,1
Navan Racing Results | 22nd April 2023 16:05,N/A,16:05,Heavy,1m 2f,Keep In Touch (IRE),C. D. Hayes,0,D. K. Weld,7th,9 l,3,9-2,-,True,51,2
Navan Racing Results | 22nd April 2023 16:05,N/A,16:05,Heavy,1m 2f,Emotivo (IRE),W. M. Lordan,0,Henry de Bromhead,6th,1/2 l,3,9-2,-,True,51,2
Navan Racing Results | 22nd April 2023 16:05,N/A,16:05,Heavy,1m 2f,Aurifodina (IRE),L. T. McAteer,0,J. S. Bolger,5th,8 1/2 l,3,9-2,-,True,51,2
Navan Racing Results | 22nd April 2023 16:05,N/A,16:05,Heavy,1m 2f,Lumiere Rock (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,4th,1 3/4 l,3,9-5,-,True,51,2
Navan Racing Results | 22nd April 2023 16:05,N/A,16:05,Heavy,1m 2f,Foniska (IRE),Shane Foley,0,Mrs J. Harrington,3rd,2 3/4 l,3,9-2,-,True,51,2
Navan Racing Results | 22nd April 2023 16:05,N/A,16:05,Heavy,1m 2f,Jackie Oh (IRE),Ryan Moore,0,Aidan O'Brien,2nd,3/4 l,3,9-2,-,True,51,2
Navan Racing Results | 22nd April 2023 16:05,N/A,16:05,Heavy,1m 2f,Village Voice,R. P. Whelan,0,Mrs J. Harrington,1st,N/A,3,9-2,-,True,51,2
Navan Racing Results | 22nd April 2023 16:05,N/A,16:05,Heavy,1m 2f,Keep In Touch (IRE),C. D. Hayes,0,D. K. Weld,7th,9 l,3,9-2,-,True,51,2
Navan Racing Results | 22nd April 2023 16:05,N/A,16:05,Heavy,1m 2f,Emotivo (IRE),W. M. Lordan,0,Henry de Bromhead,6th,1/2 l,3,9-2,-,True,51,2
Navan Racing Results | 22nd April 2023 16:05,N/A,16:05,Heavy,1m 2f,Aurifodina (IRE),L. T. McAteer,0,J. S. Bolger,5th,8 1/2 l,3,9-2,-,True,51,2
Navan Racing Results | 22nd April 2023 16:05,N/A,16:05,Heavy,1m 2f,Lumiere Rock (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,4th,1 3/4 l,3,9-5,-,True,51,2
Navan Racing Results | 22nd April 2023 16:05,N/A,16:05,Heavy,1m 2f,Foniska (IRE),Shane Foley,0,Mrs J. Harrington,3rd,2 3/4 l,3,9-2,-,True,51,2
Navan Racing Results | 22nd April 2023 16:05,N/A,16:05,Heavy,1m 2f,Jackie Oh (IRE),Ryan Moore,0,Aidan O'Brien,2nd,3/4 l,3,9-2,-,True,51,2
Navan Racing Results | 22nd April 2023 16:05,N/A,16:05,Heavy,1m 2f,Village Voice,R. P. Whelan,0,Mrs J. Harrington,1st,N/A,3,9-2,-,True,51,2
Navan Racing Results | 22nd April 2023 16:35,N/A,16:35,Heavy,1m 6f,Powerful Aggie (FR),M. P. Sheehy,0,Joseph Patrick O'Brien,5th,19 l,5,9-1,-,True,51,3
Navan Racing Results | 22nd April 2023 16:35,N/A,16:35,Heavy,1m 6f,Sunchart,A. J. Slattery,0,A. Slattery,4th,13 l,6,9-6,-,True,51,3
Navan Racing Results | 22nd April 2023 16:35,N/A,16:35,Heavy,1m 6f,Bolshoi Ballet (IRE),Seamie Heffernan,0,Aidan O'Brien,3rd,3 l,5,9-6,-,True,51,3
Navan Racing Results | 22nd April 2023 16:35,N/A,16:35,Heavy,1m 6f,French Claim (FR),W. M. Lordan,0,P. Twomey,2nd,5 l,4,9-5,-,True,51,3
