track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,Ice Cold In Alex (IRE),N. G. McCullagh,0,K. J. Condon,19th,Head,9,8-12t,86,True,53,1
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,The Organiser,M. P. Sheehy,0,J. F. Levins,18th,2 3/4 l,4,8-9,83,True,53,1
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,Navagio (IRE),L. F. Roche,0,R. P. Cody,17th,1 3/4 l,4,8-7h,80,True,53,1
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,Markaz Paname (IRE),C. T. Keane,0,G. M. Lyons,16th,3/4 l,4,10-0,102,True,53,1
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,Current Option (IRE),Adam Caffrey,7,Adrian McGuinness,15th,3 3/4 l,7,9-12,100,True,53,1
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,San Aer (IRE),J. A. Powell,5,Thomas Mullins,14th,1 3/4 l,5,8-12t,86,True,53,1
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,Verhoyen,N. M. Crosse,0,M. C. Grassick,13th,1/2 l,8,8-7b,80,True,53,1
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,Laugh A Minute,C. D. Hayes,0,Adrian McGuinness,12th,2 1/2 l,8,9-4,92,True,53,1
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,Vocal Studies (IRE),R. P. Cleary,0,J. S. Bolger,10th,Dead Heat,4,8-11,85,True,53,1
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,Miss Mirabell (IRE),Ben Martin Coen,0,John Patrick Murtagh,10th,Short Head,4,9-3,91,True,53,1
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,Cheers Again,R. Whearty,7,Paul W. Flynn,9th,Short Head,4,8-11,85,True,53,1
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,Snapraeterea (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,8th,1/2 l,5,9-13,101,True,53,1
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,Gustavus Weston (IRE),G. F. Carroll,0,Joseph G. Murphy,7th,1 3/4 l,7,9-9,97,True,53,1
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,No More Porter (IRE),R. P. Whelan,0,Adrian McGuinness,6th,Head,5,8-11,85,True,53,1
Cork Racing Results | 5th May 2023 18:25,N/A,18:25,Soft To Heavy,7f,Tosen Wish (IRE),C. J. MacRedmond,5,Adrian McGuinness,5th,Head,4,9-1t,89,True,53,1
