track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Toor Moon (IRE),I. J. Power,0,Ms M. Flynn,F,N/A,6,11-12,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Sandy Hill Toner (IRE),Peter Carberry,0,A. J. Martin,13th,3 1/4 l,6,11-12t1,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,The Belmont Boys (IRE),J. J. Slevin,0,Dermot Anthony McLoughlin,12th,2 3/4 l,6,11-12ht,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Black Field (IRE),E. Walsh,5,Ciaran Murphy,11th,20 l,5,11-12ht1,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Comeragh Belle (IRE),Jack G. Gilligan,7,Michael Flannery,10th,1 3/4 l,5,11-5,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Coco Lightning (IRE),Gavin Peter Brouder,5,Thomas P. O'Connor,9th,13 l,6,11-5,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,A Fortune Out West (IRE),S. Fitzgerald,3,Gordon Elliott,8th,1 1/2 l,6,11-12t,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Ferrybridge (IRE),D. J. O'Keeffe,0,M. Hourigan,7th,3/4 l,5,11-12h,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Nibbles (IRE),Mr Turlough O'Connor,7,Turlough O'Connor,6th,1 3/4 l,6,11-12,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Broadford Publican (IRE),Keith Donoghue,0,J. P. Dempsey,5th,6 l,5,11-12,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Be Fierce (IRE),Denis O'Regan,0,T. M. Walsh,4th,4 1/2 l,6,11-12,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Sir Prince Edmond (IRE),C. G. O'Dwyer,7,Conor O'Dwyer,3rd,6 1/2 l,6,11-12,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Starman (FR),S. D. Torrens,0,Declan Queally,2nd,1/2 l,7,11-12h,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Macanogue (IRE),B. W. Harvey,5,Luke Comer,1st,N/A,6,11-12,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Toor Moon (IRE),I. J. Power,0,Ms M. Flynn,F,N/A,6,11-12,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Sandy Hill Toner (IRE),Peter Carberry,0,A. J. Martin,13th,3 1/4 l,6,11-12t1,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,The Belmont Boys (IRE),J. J. Slevin,0,Dermot Anthony McLoughlin,12th,2 3/4 l,6,11-12ht,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Black Field (IRE),E. Walsh,5,Ciaran Murphy,11th,20 l,5,11-12ht1,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Comeragh Belle (IRE),Jack G. Gilligan,7,Michael Flannery,10th,1 3/4 l,5,11-5,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Coco Lightning (IRE),Gavin Peter Brouder,5,Thomas P. O'Connor,9th,13 l,6,11-5,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,A Fortune Out West (IRE),S. Fitzgerald,3,Gordon Elliott,8th,1 1/2 l,6,11-12t,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Ferrybridge (IRE),D. J. O'Keeffe,0,M. Hourigan,7th,3/4 l,5,11-12h,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Nibbles (IRE),Mr Turlough O'Connor,7,Turlough O'Connor,6th,1 3/4 l,6,11-12,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Broadford Publican (IRE),Keith Donoghue,0,J. P. Dempsey,5th,6 l,5,11-12,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Be Fierce (IRE),Denis O'Regan,0,T. M. Walsh,4th,4 1/2 l,6,11-12,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Sir Prince Edmond (IRE),C. G. O'Dwyer,7,Conor O'Dwyer,3rd,6 1/2 l,6,11-12,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Starman (FR),S. D. Torrens,0,Declan Queally,2nd,1/2 l,7,11-12h,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:00,N/A,17:00,Yielding (Yielding To Soft In Places),2m,Macanogue (IRE),B. W. Harvey,5,Luke Comer,1st,N/A,6,11-12,-,True,54,1
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Walter Grey (IRE),K. E. Buckley,3,F. G. Hand,14th,27 l,7,11-12,107,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Fassbender (IRE),Phillip Enright,0,Mark McNiff,13th,1/2 l,7,11-7t,102,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Supposedtobe (IRE),C. G. O'Dwyer,7,Noel C. Kelly,12th,31 l,5,12-0,109,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Second Subaltern (USA),R. A. Doyle,0,Martin Brassil,11th,1 l,7,11-3,98,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Ace Aussie (IRE),J. S. McGarvey,0,John Joseph Hanlon,10th,Neck,5,11-5,100,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Monty's Way (IRE),Patrick O'Hanlon,5,George Stanley,9th,Short Head,5,11-11t,106,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Carlton Gardens,C. D. Maxwell,0,Gavin Patrick Cromwell,8th,3/4 l,4,11-0,101,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Our Bobby (IRE),I. J. Power,0,John Michael Burke,7th,2 1/2 l,6,11-3p,98,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Good World (IRE),Donagh Meyler,0,Eoin Griffin,6th,12 l,8,11-8,103,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Laser Focus (IRE),H. Morgan,3,Henry de Bromhead,5th,Neck,5,11-10t,105,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,First Dare (IRE),J. P. O'Sullivan,5,Miss Elizabeth Doyle,4th,1 1/4 l,5,11-6h,101,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Mister Wilson (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,3rd,Head,4,11-2h,103,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Hide and Seek (FR),Rachael Blackmore,0,Henry de Bromhead,2nd,2 3/4 l,6,11-9t,104,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Royal Eagle (IRE),B. W. Harvey,5,Gordon Elliott,1st,N/A,5,11-11,106,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Walter Grey (IRE),K. E. Buckley,3,F. G. Hand,14th,27 l,7,11-12,107,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Fassbender (IRE),Phillip Enright,0,Mark McNiff,13th,1/2 l,7,11-7t,102,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Supposedtobe (IRE),C. G. O'Dwyer,7,Noel C. Kelly,12th,31 l,5,12-0,109,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Second Subaltern (USA),R. A. Doyle,0,Martin Brassil,11th,1 l,7,11-3,98,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Ace Aussie (IRE),J. S. McGarvey,0,John Joseph Hanlon,10th,Neck,5,11-5,100,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Monty's Way (IRE),Patrick O'Hanlon,5,George Stanley,9th,Short Head,5,11-11t,106,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Carlton Gardens,C. D. Maxwell,0,Gavin Patrick Cromwell,8th,3/4 l,4,11-0,101,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Our Bobby (IRE),I. J. Power,0,John Michael Burke,7th,2 1/2 l,6,11-3p,98,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Good World (IRE),Donagh Meyler,0,Eoin Griffin,6th,12 l,8,11-8,103,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Laser Focus (IRE),H. Morgan,3,Henry de Bromhead,5th,Neck,5,11-10t,105,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,First Dare (IRE),J. P. O'Sullivan,5,Miss Elizabeth Doyle,4th,1 1/4 l,5,11-6h,101,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Mister Wilson (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,3rd,Head,4,11-2h,103,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Hide and Seek (FR),Rachael Blackmore,0,Henry de Bromhead,2nd,2 3/4 l,6,11-9t,104,True,54,2
Kilbeggan Racing Results | 12th May 2023 17:35,N/A,17:35,Yielding (Yielding To Soft In Places),2m,Royal Eagle (IRE),B. W. Harvey,5,Gordon Elliott,1st,N/A,5,11-11,106,True,54,2
Kilbeggan Racing Results | 12th May 2023 18:10,N/A,18:10,Yielding (Yielding To Soft In Places),2m 3f,Iron Allen (FR),E. Walsh,5,Ciaran Murphy,16th,29 l,5,11-4,-,True,54,3
Kilbeggan Racing Results | 12th May 2023 18:10,N/A,18:10,Yielding (Yielding To Soft In Places),2m 3f,Lucky Storm (IRE),J. S. McGarvey,0,Gordon Elliott,15th,37 l,5,10-11,-,True,54,3
Kilbeggan Racing Results | 12th May 2023 18:10,N/A,18:10,Yielding (Yielding To Soft In Places),2m 3f,Hees Dynamite (IRE),C. P. McNamara,0,Eric McNamara,14th,4 l,5,11-4,-,True,54,3
Kilbeggan Racing Results | 12th May 2023 18:10,N/A,18:10,Yielding (Yielding To Soft In Places),2m 3f,Fidanka (IRE),Trevor Ryan,5,W. J. Austin,13th,1/2 l,5,10-11,-,True,54,3
Kilbeggan Racing Results | 12th May 2023 18:10,N/A,18:10,Yielding (Yielding To Soft In Places),2m 3f,Follow Charlie (IRE),Jack G. Gilligan,7,Paul John Gilligan,12th,26 l,4,10-12,-,True,54,3
Kilbeggan Racing Results | 12th May 2023 18:10,N/A,18:10,Yielding (Yielding To Soft In Places),2m 3f,Hurricane Honey (IRE),R. A. Doyle,0,Gordon Elliott,11th,2 3/4 l,4,10-5,-,True,54,3
Kilbeggan Racing Results | 12th May 2023 18:10,N/A,18:10,Yielding (Yielding To Soft In Places),2m 3f,Merveille Masquee (FR),Phillip Enright,0,Robert Tyner,10th,1 3/4 l,5,10-11,-,True,54,3
Kilbeggan Racing Results | 12th May 2023 18:10,N/A,18:10,Yielding (Yielding To Soft In Places),2m 3f,Flidais (IRE),Liam Quinlan,5,John Patrick Ryan,9th,Neck,5,10-11,-,True,54,3
Kilbeggan Racing Results | 12th May 2023 18:10,N/A,18:10,Yielding (Yielding To Soft In Places),2m 3f,Johnny M (IRE),Thomas Reilly,7,John McConnell,8th,10 l,5,11-4,-,True,54,3
Kilbeggan Racing Results | 12th May 2023 18:10,N/A,18:10,Yielding (Yielding To Soft In Places),2m 3f,Rule The Wind (IRE),B. Hayes,0,W. P. Mullins,7th,1 1/4 l,5,11-4,-,True,54,3
Kilbeggan Racing Results | 12th May 2023 18:10,N/A,18:10,Yielding (Yielding To Soft In Places),2m 3f,Workforadime (IRE),P. Byrnes,5,Charles Byrnes,6th,Head,5,10-11t1,-,True,54,3
