track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Prince Of Abington (IRE),M. A. Enright,0,Miss Jennifer Anne Lynch,15th,1 l,5,9-9p,58,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Kampala Beach (IRE),R. P. Whelan,0,M. Halford & T. Collins,14th,Head,4,9-6,55,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Rock Dandy (IRE),G. M. Ryan,0,P. J. F. Murphy,13th,1/2 l,5,8-12,47,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Rockview Roman (IRE),Siobhan Rutledge,5,John McConnell,12th,1/2 l,7,9-6,55,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Gudrun Genberg (IRE),C. D. Hayes,0,Aidan Anthony Howard,11th,Neck,4,8-13,48,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Lissadell (IRE),Ben Martin Coen,0,Mark McNiff,10th,Short Head,4,9-0,49,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Magic Charm (IRE),M. W. Hassett,10,Martin Hassett,9th,1/2 l,7,9-5,54,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Shona Mea (IRE),S. McCullagh,3,Mrs J. Harrington,8th,Short Head,6,9-11v,60,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Kartayaz (IRE),Cillian McConnell,7,John McConnell,7th,Short Head,6,9-9,58,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Romann (IRE),Seamie Heffernan,0,J. F. Levins,6th,1 3/4 l,6,8-12v1,47,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Maricruz (IRE),D. W. O'Connor,0,John McConnell,5th,Head,8,9-4,53,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Evening Verse (IRE),A. J. Slattery,0,Miss Hilary McLoughlin,4th,3/4 l,6,9-8p,57,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Tastyee (IRE),W. M. Lordan,0,David Kenneth Budds,3rd,2 1/2 l,5,8-13tp,48,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,No Hassle (IRE),J. M. Sheridan,3,Shane Kieran Ryder,2nd,Short Head,6,8-12,47,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Khafaaq,C. Horgan,7,A. Slattery,1st,N/A,8,9-10tb1,59,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Prince Of Abington (IRE),M. A. Enright,0,Miss Jennifer Anne Lynch,15th,1 l,5,9-9p,58,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Kampala Beach (IRE),R. P. Whelan,0,M. Halford & T. Collins,14th,Head,4,9-6,55,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Rock Dandy (IRE),G. M. Ryan,0,P. J. F. Murphy,13th,1/2 l,5,8-12,47,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Rockview Roman (IRE),Siobhan Rutledge,5,John McConnell,12th,1/2 l,7,9-6,55,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Gudrun Genberg (IRE),C. D. Hayes,0,Aidan Anthony Howard,11th,Neck,4,8-13,48,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Lissadell (IRE),Ben Martin Coen,0,Mark McNiff,10th,Short Head,4,9-0,49,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Magic Charm (IRE),M. W. Hassett,10,Martin Hassett,9th,1/2 l,7,9-5,54,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Shona Mea (IRE),S. McCullagh,3,Mrs J. Harrington,8th,Short Head,6,9-11v,60,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Kartayaz (IRE),Cillian McConnell,7,John McConnell,7th,Short Head,6,9-9,58,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Romann (IRE),Seamie Heffernan,0,J. F. Levins,6th,1 3/4 l,6,8-12v1,47,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Maricruz (IRE),D. W. O'Connor,0,John McConnell,5th,Head,8,9-4,53,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Evening Verse (IRE),A. J. Slattery,0,Miss Hilary McLoughlin,4th,3/4 l,6,9-8p,57,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Tastyee (IRE),W. M. Lordan,0,David Kenneth Budds,3rd,2 1/2 l,5,8-13tp,48,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,No Hassle (IRE),J. M. Sheridan,3,Shane Kieran Ryder,2nd,Short Head,6,8-12,47,True,55,1
Cork Racing Results | 17th May 2023 20:20,N/A,20:20,Good (Good To Firm In Places),1m 2f 20y,Khafaaq,C. Horgan,7,A. Slattery,1st,N/A,8,9-10tb1,59,True,55,1
