track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Maxios Show (IRE),Mr O. McGill,7,Gary McGill,15th,22 l,5,11-1,88,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Good Bye Milan (IRE),M. M. McDonagh,5,Charles Byrnes,14th,6 l,6,11-2,89,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Stansfield (IRE),Philip Donovan,5,Paul Traynor,13th,37 l,9,11-8p,95,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Breagagh (IRE),Mr N. Gault,7,S. Michael Millar,12th,4 1/2 l,5,11-6,93,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Alphonse Le Grande (IRE),Peter Carberry,0,A. J. Martin,11th,Neck,4,11-0,93,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Carlton Gardens,Keith Donoghue,0,Gavin Patrick Cromwell,10th,1/2 l,4,11-6,99,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Fireworks (FR),J. S. McGarvey,0,John Joseph Hanlon,9th,2 l,5,11-7p,94,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Twoplustwo Equals (IRE),Sean Flanagan,0,P. Tobin,8th,1/2 l,6,11-7,94,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Presenting Lad (IRE),Phillip Enright,0,Mark McNiff,7th,3 1/4 l,7,11-6t,93,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Mater Matuta (IRE),Rachael Blackmore,0,E. D. Delany,6th,1 l,7,11-5tp,92,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Skip Mahler (IRE),J. P. Shinnick,7,Mrs Lorna Fowler,5th,Neck,6,11-8h,95,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Indulging,Shane O'Callaghan,7,T. M. Walsh,4th,5 l,5,11-2,89,True,56,1
