track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Off You Go (IRE),J. S. McGarvey,0,Charles Byrnes,5th,9 1/2 l,10,11-2,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Enfranchise (IRE),B. Hayes,0,John Joseph Hanlon,4th,3 1/2 l,5,10-9,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Fighter Allen (FR),Jack Foley,0,W. P. Mullins,3rd,7 1/2 l,8,11-2t,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Cash Back (FR),P. Townend,0,W. P. Mullins,2nd,Neck,11,11-8h,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Fils D'oudairies (FR),D. J. Gilligan,7,Gordon Elliott,1st,N/A,8,11-8,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Off You Go (IRE),J. S. McGarvey,0,Charles Byrnes,5th,9 1/2 l,10,11-2,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Enfranchise (IRE),B. Hayes,0,John Joseph Hanlon,4th,3 1/2 l,5,10-9,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Fighter Allen (FR),Jack Foley,0,W. P. Mullins,3rd,7 1/2 l,8,11-2t,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Cash Back (FR),P. Townend,0,W. P. Mullins,2nd,Neck,11,11-8h,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Fils D'oudairies (FR),D. J. Gilligan,7,Gordon Elliott,1st,N/A,8,11-8,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Turnthelightsoff (IRE),S. F. O'Keeffe,0,P. F. McEnery,PU,N/A,7,11-4p,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Seriously Ava (IRE),Sean Flanagan,0,Una Corcoran,PU,N/A,5,10-11,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Madhenry (IRE),Jack G. Gilligan,7,Fintan Feeney,PU,N/A,5,11-4,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Full Moon Fluster (IRE),D. King,5,Joe Conlon,12th,20 l,5,10-11,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Fidanka (IRE),Trevor Ryan,5,W. J. Austin,11th,2 l,5,10-11h1,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Glencourt Valley (IRE),B. Hayes,0,Liam P. Cusack,10th,11 l,6,11-4,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Rare Millie (IRE),L. A. McKenna,5,Una Corcoran,9th,9 1/2 l,5,10-11,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Johnny Cigar (IRE),C. P. McNamara,0,P. F. O'Donnell,8th,2 1/2 l,7,11-4t1,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Hudson Duster (IRE),N. J. Ryan,7,Noel Meade,7th,3/4 l,5,11-4,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Le Sin Bin (IRE),C. Smithers,7,William O'Doherty,6th,5 l,6,11-4,-,True,57,2
