track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Cassidys Girl (IRE),B. P. Kennedy,7,J. F. O'Shea,PU,N/A,7,10-13b,80,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Getaway Molly (IRE),Mr I. Ryan,7,Patrick Rooney,14th,3 1/2 l,7,11-3p,84,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Spring Street (IRE),D. E. Mullins,0,J. P. Flavin,13th,13 l,5,11-9p,90,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Desertmore Glen,S. Fitzgerald,3,Denis Leahy,12th,1 l,10,11-0p1,81,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Rewrite The Script (IRE),Miss M. O'Sullivan,5,Eugene M. O'Sullivan,11th,44 l,6,11-5t1,86,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Western Dreaming (FR),C. Brassil,5,Mrs Jayne Hearne,10th,3/4 l,8,11-1t,82,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Nomadic Star (IRE),D. King,5,L. Young,9th,Head,8,10-13p,80,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Poker Night (IRE),M. P. O'Connor,5,R. P. Cody,8th,3/4 l,5,11-4t1,85,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Double Windsor (IRE),Sean Flanagan,0,David M. O'Brien,7th,3/4 l,11,10-13b,80,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Tick Along (IRE),Thomas Reilly,7,T. G. McCourt,6th,Neck,9,11-12,93,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Tennessee Titan (IRE),J. J. Slevin,0,Seamus Neville,5th,11 l,7,11-11,92,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Beechroad Winnie (IRE),S. D. Torrens,0,P. J. Rothwell,4th,2 1/4 l,7,11-0,81,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Royal Recital (IRE),Shane O'Callaghan,7,Ross O'Sullivan,3rd,1/2 l,8,11-9p,90,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Kilmurry Jj (IRE),A. M. McCurtin,0,Michael Barry,2nd,Neck,6,11-8t,89,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Costanuci (IRE),A. P. Kelly,7,John Queally,1st,N/A,6,11-8,89,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Cassidys Girl (IRE),B. P. Kennedy,7,J. F. O'Shea,PU,N/A,7,10-13b,80,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Getaway Molly (IRE),Mr I. Ryan,7,Patrick Rooney,14th,3 1/2 l,7,11-3p,84,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Spring Street (IRE),D. E. Mullins,0,J. P. Flavin,13th,13 l,5,11-9p,90,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Desertmore Glen,S. Fitzgerald,3,Denis Leahy,12th,1 l,10,11-0p1,81,True,58,1
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Rewrite The Script (IRE),Miss M. O'Sullivan,5,Eugene M. O'Sullivan,11th,44 l,6,11-5t1,86,True,58,1
