track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Inishnee (IRE),N. M. Crosse,0,W. McCreery,10th,5 l,4,9-9ht1,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Beginnings (USA),Seamie Heffernan,0,Aidan O'Brien,9th,Neck,3,8-12b1,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Esculenta (IRE),D. B. McMonagle,0,R. P. Cody,8th,1 1/4 l,4,9-9p1,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Dower House (IRE),Ryan Moore,0,Aidan O'Brien,7th,3/4 l,3,8-12t,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Beautiful Sunshine,G. F. Carroll,0,Adrian Murray,6th,1/2 l,4,9-9,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Maybe Just Maybe (JPN),W. M. Lordan,0,Aidan O'Brien,5th,3 l,3,8-12b1,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Giladah (IRE),C. D. Hayes,0,D. K. Weld,4th,1/2 l,4,9-9,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Didn'thavemuchtodo (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,3rd,2 l,4,9-9,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Cigamia (USA),William James Lee,0,W. McCreery,2nd,1 1/4 l,4,9-12,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Cadeau Belle (FR),Ben Martin Coen,0,John Patrick Murtagh,1st,N/A,3,8-12,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Inishnee (IRE),N. M. Crosse,0,W. McCreery,10th,5 l,4,9-9ht1,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Beginnings (USA),Seamie Heffernan,0,Aidan O'Brien,9th,Neck,3,8-12b1,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Esculenta (IRE),D. B. McMonagle,0,R. P. Cody,8th,1 1/4 l,4,9-9p1,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Dower House (IRE),Ryan Moore,0,Aidan O'Brien,7th,3/4 l,3,8-12t,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Beautiful Sunshine,G. F. Carroll,0,Adrian Murray,6th,1/2 l,4,9-9,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Maybe Just Maybe (JPN),W. M. Lordan,0,Aidan O'Brien,5th,3 l,3,8-12b1,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Giladah (IRE),C. D. Hayes,0,D. K. Weld,4th,1/2 l,4,9-9,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Didn'thavemuchtodo (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,3rd,2 l,4,9-9,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Cigamia (USA),William James Lee,0,W. McCreery,2nd,1 1/4 l,4,9-12,-,True,60,1
Navan Racing Results | 11th June 2023 15:40,N/A,15:40,Good,1m,Cadeau Belle (FR),Ben Martin Coen,0,John Patrick Murtagh,1st,N/A,3,8-12,-,True,60,1
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Kalikapour (IRE),William James Lee,0,M. Halford & T. Collins,10th,5 l,3,9-10p1,87,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Autocrat (IRE),Seamie Heffernan,0,Denis Hogan,9th,1 3/4 l,3,9-2p,79,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Gimmie Shelter (USA),D. B. McMonagle,0,Joseph Patrick O'Brien,8th,3/4 l,3,9-8t,85,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Signora Bellissima (IRE),S. B. Kelly,0,John Patrick Murtagh,7th,3/4 l,3,9-5p1,82,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Satin,S. McCullagh,3,Mrs J. Harrington,6th,1/2 l,3,9-10,87,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Save Your Love (IRE),Ben Martin Coen,0,John Patrick Murtagh,5th,1 1/4 l,3,9-12,89,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Aurifodina (IRE),L. T. McAteer,3,J. S. Bolger,4th,2 1/2 l,3,9-6p,83,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Subzero (IRE),W. M. Lordan,0,Aidan O'Brien,3rd,3 1/4 l,3,9-5b,82,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Malbay Madness (IRE),S. D. Bowen,7,Emmet Mullins,2nd,1 1/2 l,3,8-9,72,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Canute (USA),Ryan Moore,0,Aidan O'Brien,1st,N/A,3,9-5b,82,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Kalikapour (IRE),William James Lee,0,M. Halford & T. Collins,10th,5 l,3,9-10p1,87,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Autocrat (IRE),Seamie Heffernan,0,Denis Hogan,9th,1 3/4 l,3,9-2p,79,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Gimmie Shelter (USA),D. B. McMonagle,0,Joseph Patrick O'Brien,8th,3/4 l,3,9-8t,85,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Signora Bellissima (IRE),S. B. Kelly,0,John Patrick Murtagh,7th,3/4 l,3,9-5p1,82,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Satin,S. McCullagh,3,Mrs J. Harrington,6th,1/2 l,3,9-10,87,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Save Your Love (IRE),Ben Martin Coen,0,John Patrick Murtagh,5th,1 1/4 l,3,9-12,89,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Aurifodina (IRE),L. T. McAteer,3,J. S. Bolger,4th,2 1/2 l,3,9-6p,83,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Subzero (IRE),W. M. Lordan,0,Aidan O'Brien,3rd,3 1/4 l,3,9-5b,82,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Malbay Madness (IRE),S. D. Bowen,7,Emmet Mullins,2nd,1 1/2 l,3,8-9,72,True,60,3
Navan Racing Results | 11th June 2023 16:40,N/A,16:40,Good,1m 2f,Canute (USA),Ryan Moore,0,Aidan O'Brien,1st,N/A,3,9-5b,82,True,60,3
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,The Peckhampouncer (IRE),R. C. Colgan,0,D. Broad,17th,4 3/4 l,6,8-12tv,47,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Black Smoke (IRE),M. W. Hassett,10,Liam Roche,16th,Neck,6,9-13t,62,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Maricruz (IRE),Jessica O'Gorman,7,John McConnell,15th,Head,8,9-2,51,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Clifftop,Siobhan Rutledge,5,Harry Rogers,14th,2 l,7,9-4,53,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Nevada Brave (IRE),Jack Cleary,7,Luke Comer,13th,1 3/4 l,5,9-1,50,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Prince Of Abington (IRE),Seamie Heffernan,0,Miss Jennifer Anne Lynch,12th,1/2 l,5,9-6,55,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Five Zeros (IRE),Kevin A. Murphy,10,Nigel Slevin,11th,Neck,6,9-12,61,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Kartayaz (IRE),Cillian McConnell,7,John McConnell,10th,Nose,6,9-7,56,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Csarina (IRE),S. P. Bird,10,Michael Mulvany,9th,1/2 l,4,8-12t,47,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Cleopatra's Needle (IRE),William James Lee,0,Harry Rogers,8th,3/4 l,5,9-2ht1,51,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Lisamaria (IRE),C. T. Keane,0,Paul W. Flynn,7th,1 3/4 l,4,8-13,48,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Dark Street (IRE),N. M. Crosse,0,Luke Comer,6th,1 1/2 l,5,9-2,51,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Qasbaz (IRE),G. F. Carroll,0,James McAuley,5th,Nose,6,9-10p,59,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Finke River,Declan McDonogh,0,James McAuley,4th,1 3/4 l,4,9-7,56,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Bright Moment (IRE),Ben Martin Coen,0,J. J. Feane,3rd,1/2 l,5,9-5,54,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Shining Aitch,D. B. McMonagle,0,T. G. McCourt,2nd,Neck,6,9-6t1,55,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Court Of Appeal (IRE),C. Stone-Walsh,7,N. Hynds,1st,N/A,6,10-0,63,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,The Peckhampouncer (IRE),R. C. Colgan,0,D. Broad,17th,4 3/4 l,6,8-12tv,47,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Black Smoke (IRE),M. W. Hassett,10,Liam Roche,16th,Neck,6,9-13t,62,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Maricruz (IRE),Jessica O'Gorman,7,John McConnell,15th,Head,8,9-2,51,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Clifftop,Siobhan Rutledge,5,Harry Rogers,14th,2 l,7,9-4,53,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Nevada Brave (IRE),Jack Cleary,7,Luke Comer,13th,1 3/4 l,5,9-1,50,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Prince Of Abington (IRE),Seamie Heffernan,0,Miss Jennifer Anne Lynch,12th,1/2 l,5,9-6,55,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Five Zeros (IRE),Kevin A. Murphy,10,Nigel Slevin,11th,Neck,6,9-12,61,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Kartayaz (IRE),Cillian McConnell,7,John McConnell,10th,Nose,6,9-7,56,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Csarina (IRE),S. P. Bird,10,Michael Mulvany,9th,1/2 l,4,8-12t,47,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Cleopatra's Needle (IRE),William James Lee,0,Harry Rogers,8th,3/4 l,5,9-2ht1,51,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Lisamaria (IRE),C. T. Keane,0,Paul W. Flynn,7th,1 3/4 l,4,8-13,48,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Dark Street (IRE),N. M. Crosse,0,Luke Comer,6th,1 1/2 l,5,9-2,51,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Qasbaz (IRE),G. F. Carroll,0,James McAuley,5th,Nose,6,9-10p,59,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Finke River,Declan McDonogh,0,James McAuley,4th,1 3/4 l,4,9-7,56,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Bright Moment (IRE),Ben Martin Coen,0,J. J. Feane,3rd,1/2 l,5,9-5,54,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Shining Aitch,D. B. McMonagle,0,T. G. McCourt,2nd,Neck,6,9-6t1,55,True,60,4
Navan Racing Results | 11th June 2023 17:10,N/A,17:10,Good,1m 2f,Court Of Appeal (IRE),C. Stone-Walsh,7,N. Hynds,1st,N/A,6,10-0,63,True,60,4
Roscommon Racing Results | 1st June 2023 14:05,N/A,14:05,Good,7f 55y,Dont Do Dramas (IRE),G. F. Carroll,0,Michael Mulvany,11th,4 1/2 l,2,9-8,-,True,60,5
Roscommon Racing Results | 1st June 2023 14:05,N/A,14:05,Good,7f 55y,Stopitnowjulia (IRE),J. M. Sheridan,0,Aidan Anthony Howard,10th,4 1/2 l,2,8-13,-,True,60,5
Roscommon Racing Results | 1st June 2023 14:05,N/A,14:05,Good,7f 55y,Irish Annie (IRE),C. D. Hayes,0,Kevin Prendergast,9th,Neck,2,8-13,-,True,60,5
Roscommon Racing Results | 1st June 2023 14:05,N/A,14:05,Good,7f 55y,Nika Pika (IRE),Siobhan Rutledge,5,Patrick Magee,8th,1 3/4 l,2,8-9,-,True,60,5
Roscommon Racing Results | 1st June 2023 14:05,N/A,14:05,Good,7f 55y,Bhean Saibhre (IRE),A. J. Slattery,0,Aidan Anthony Howard,7th,Head,2,8-9,-,True,60,5
Roscommon Racing Results | 1st June 2023 14:05,N/A,14:05,Good,7f 55y,The Bear Trap (IRE),Shane Foley,0,Mrs J. Harrington,6th,2 1/2 l,2,9-6,-,True,60,5
Roscommon Racing Results | 1st June 2023 14:05,N/A,14:05,Good,7f 55y,Thia (IRE),R. P. Cleary,0,J. S. Bolger,5th,2 1/2 l,2,9-0t1,-,True,60,5
Roscommon Racing Results | 1st June 2023 14:05,N/A,14:05,Good,7f 55y,Bergamasco (IRE),R. P. Whelan,0,Jack W. Davison,4th,1 1/4 l,2,9-0,-,True,60,5
