track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Mephisto (IRE),J. J. G. Ryan,7,Gerard Keane,14th,Neck,6,9-4v,65,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Puntastic (IRE),C. D. Hayes,0,Paul Nolan,13th,4 1/2 l,4,9-10,71,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Custers Mistake (IRE),C. D. Maxwell,0,John F. O'Neill,12th,1 1/4 l,6,8-11t,58,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Surviving Murmansk (IRE),Adrian O'Shea,5,Mrs A. M. O'Shea,11th,3 3/4 l,5,9-6,67,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Liberated Light (IRE),Ben Martin Coen,0,John E. & Thomas Kiely,10th,Neck,4,9-6,67,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Cafe Con Leche (IRE),G. P. Halpin,0,Charles Byrnes,9th,1 1/4 l,7,9-13,74,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Cerberus,C. G. O'Dwyer,7,Augustine Leahy,8th,1 3/4 l,7,10-0p,75,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Away To Sea (FR),G. F. Carroll,0,Joseph G. Murphy,7th,Neck,6,10-5p,80,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Effernock Fizz (IRE),J. Kearney,7,Cian Michael Collins,6th,Head,8,9-13tp,74,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,The Jam Man (IRE),D. B. McMonagle,0,P. J. Rothwell,5th,1/2 l,10,10-2b,77,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Queen Of Seduction (IRE),Shane Foley,0,Mrs J. Harrington,4th,3/4 l,4,9-11,72,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Global Export (IRE),R. Whearty,7,Gavin Patrick Cromwell,3rd,1 l,5,9-6,67,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Zileo,R. P. Whelan,0,M. Halford & T. Collins,2nd,1 1/4 l,5,9-6,67,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,All In Peder (FR),W. M. Lordan,0,Emmet Mullins,1st,N/A,4,8-9p,56,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Mephisto (IRE),J. J. G. Ryan,7,Gerard Keane,14th,Neck,6,9-4v,65,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Puntastic (IRE),C. D. Hayes,0,Paul Nolan,13th,4 1/2 l,4,9-10,71,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Custers Mistake (IRE),C. D. Maxwell,0,John F. O'Neill,12th,1 1/4 l,6,8-11t,58,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Surviving Murmansk (IRE),Adrian O'Shea,5,Mrs A. M. O'Shea,11th,3 3/4 l,5,9-6,67,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Liberated Light (IRE),Ben Martin Coen,0,John E. & Thomas Kiely,10th,Neck,4,9-6,67,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Cafe Con Leche (IRE),G. P. Halpin,0,Charles Byrnes,9th,1 1/4 l,7,9-13,74,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Cerberus,C. G. O'Dwyer,7,Augustine Leahy,8th,1 3/4 l,7,10-0p,75,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Away To Sea (FR),G. F. Carroll,0,Joseph G. Murphy,7th,Neck,6,10-5p,80,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Effernock Fizz (IRE),J. Kearney,7,Cian Michael Collins,6th,Head,8,9-13tp,74,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,The Jam Man (IRE),D. B. McMonagle,0,P. J. Rothwell,5th,1/2 l,10,10-2b,77,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Queen Of Seduction (IRE),Shane Foley,0,Mrs J. Harrington,4th,3/4 l,4,9-11,72,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Global Export (IRE),R. Whearty,7,Gavin Patrick Cromwell,3rd,1 l,5,9-6,67,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,Zileo,R. P. Whelan,0,M. Halford & T. Collins,2nd,1 1/4 l,5,9-6,67,True,61,1
Listowel Racing Results | 4th June 2023 15:07,N/A,15:07,Good (Good To Yielding To Places),2m 40y,All In Peder (FR),W. M. Lordan,0,Emmet Mullins,1st,N/A,4,8-9p,56,True,61,1
Listowel Racing Results | 4th June 2023 15:37,N/A,15:37,Good  (Turf),1m,Highland Rahy (USA),J. M. Sheridan,0,J. A. Stack,5th,18 l,3,9-8,-,True,61,2
Listowel Racing Results | 4th June 2023 15:37,N/A,15:37,Good  (Turf),1m,Autoline (IRE),Shane Foley,0,Mrs J. Harrington,4th,1 1/2 l,3,9-8,-,True,61,2
Listowel Racing Results | 4th June 2023 15:37,N/A,15:37,Good  (Turf),1m,Sea Gardens (FR),D. B. McMonagle,0,Joseph Patrick O'Brien,3rd,1 1/4 l,3,9-8,-,True,61,2
Listowel Racing Results | 4th June 2023 15:37,N/A,15:37,Good  (Turf),1m,Livio Milo (IRE),C. D. Hayes,0,D. K. Weld,2nd,1 1/2 l,3,9-8v1,-,True,61,2
Listowel Racing Results | 4th June 2023 15:37,N/A,15:37,Good  (Turf),1m,Narmar (IRE),G. F. Carroll,0,Henry de Bromhead,1st,N/A,3,9-8,-,True,61,2
