track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Clonmel Racing Results | 9th June 2023 18:15,N/A,18:15,Good,2m 67y,I'vedoneitall (IRE),Shane O'Callaghan,4,E. Sheehy,F,N/A,6,10-0p,81,True,62,1
Clonmel Racing Results | 9th June 2023 18:15,N/A,18:15,Good,2m 67y,Dreamsrmadeofthis (IRE),T. Joseph Kelly,4,Enda Bolger,6th,22 l,6,11-7p,102,True,62,1
Clonmel Racing Results | 9th June 2023 18:15,N/A,18:15,Good,2m 67y,Coole Arcade (IRE),Shane Fitzgerald,0,Henry de Bromhead,5th,16 l,9,11-10t,105,True,62,1
Clonmel Racing Results | 9th June 2023 18:15,N/A,18:15,Good,2m 67y,Powerful Blue (IRE),Gavin Peter Brouder,2,E. Sheehy,4th,3/4 l,6,10-0t,81,True,62,1
Clonmel Racing Results | 9th June 2023 18:15,N/A,18:15,Good,2m 67y,Berliet Express (IRE),C. M. Quirke,4,P. J. Rothwell,3rd,1 l,7,10-4t,85,True,62,1
Clonmel Racing Results | 9th June 2023 18:15,N/A,18:15,Good,2m 67y,Top Line Tommy (IRE),K. E. Buckley,0,E. J. O'Grady,2nd,3 l,7,12-2,111,True,62,1
Clonmel Racing Results | 9th June 2023 18:15,N/A,18:15,Good,2m 67y,Name Me Famous (IRE),D. King,2,Eoin Christopher McCarthy,1st,N/A,7,10-12tp,93,True,62,1
Clonmel Racing Results | 9th June 2023 18:15,N/A,18:15,Good,2m 67y,I'vedoneitall (IRE),Shane O'Callaghan,4,E. Sheehy,F,N/A,6,10-0p,81,True,62,1
Clonmel Racing Results | 9th June 2023 18:15,N/A,18:15,Good,2m 67y,Dreamsrmadeofthis (IRE),T. Joseph Kelly,4,Enda Bolger,6th,22 l,6,11-7p,102,True,62,1
Clonmel Racing Results | 9th June 2023 18:15,N/A,18:15,Good,2m 67y,Coole Arcade (IRE),Shane Fitzgerald,0,Henry de Bromhead,5th,16 l,9,11-10t,105,True,62,1
Clonmel Racing Results | 9th June 2023 18:15,N/A,18:15,Good,2m 67y,Powerful Blue (IRE),Gavin Peter Brouder,2,E. Sheehy,4th,3/4 l,6,10-0t,81,True,62,1
Clonmel Racing Results | 9th June 2023 18:15,N/A,18:15,Good,2m 67y,Berliet Express (IRE),C. M. Quirke,4,P. J. Rothwell,3rd,1 l,7,10-4t,85,True,62,1
Clonmel Racing Results | 9th June 2023 18:15,N/A,18:15,Good,2m 67y,Top Line Tommy (IRE),K. E. Buckley,0,E. J. O'Grady,2nd,3 l,7,12-2,111,True,62,1
Clonmel Racing Results | 9th June 2023 18:15,N/A,18:15,Good,2m 67y,Name Me Famous (IRE),D. King,2,Eoin Christopher McCarthy,1st,N/A,7,10-12tp,93,True,62,1
Clonmel Racing Results | 9th June 2023 18:50,N/A,18:50,Good,2m 4f,Indian Admiral,M. M. McDonagh,5,Patrick Griffin,4th,11 l,8,11-12p,-,True,62,2
Clonmel Racing Results | 9th June 2023 18:50,N/A,18:50,Good,2m 4f,Clondaw Hollow,R. A. Doyle,0,John McConnell,3rd,4 3/4 l,9,11-12t,-,True,62,2
Clonmel Racing Results | 9th June 2023 18:50,N/A,18:50,Good,2m 4f,Britzka (IRE),D. J. Gilligan,7,Gordon Elliott,2nd,2 1/4 l,5,11-12tb,-,True,62,2
Clonmel Racing Results | 9th June 2023 18:50,N/A,18:50,Good,2m 4f,Mr Saxobeat (IRE),E. Walsh,3,T. Gibney,1st,N/A,7,11-12,-,True,62,2
Clonmel Racing Results | 9th June 2023 18:50,N/A,18:50,Good,2m 4f,Indian Admiral,M. M. McDonagh,5,Patrick Griffin,4th,11 l,8,11-12p,-,True,62,2
Clonmel Racing Results | 9th June 2023 18:50,N/A,18:50,Good,2m 4f,Clondaw Hollow,R. A. Doyle,0,John McConnell,3rd,4 3/4 l,9,11-12t,-,True,62,2
Clonmel Racing Results | 9th June 2023 18:50,N/A,18:50,Good,2m 4f,Britzka (IRE),D. J. Gilligan,7,Gordon Elliott,2nd,2 1/4 l,5,11-12tb,-,True,62,2
Clonmel Racing Results | 9th June 2023 18:50,N/A,18:50,Good,2m 4f,Mr Saxobeat (IRE),E. Walsh,3,T. Gibney,1st,N/A,7,11-12,-,True,62,2
Clonmel Racing Results | 9th June 2023 19:25,N/A,19:25,Good ap Chase (Turf),2m 4f,Clody Valley (IRE),Mr B Finn,7,Miss Elizabeth Doyle,PU,N/A,8,11-9tp,100,True,62,3
