track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Kilbeggan Racing Results | 19th June 2023 19:13,N/A,19:13,Good (Good To Yielding In Places),2m 3f 100y,Golden Nugget (IRE),Corey McGivern,4,Gordon Elliott,7th,27 l,4,10-6,-,True,64,1
Kilbeggan Racing Results | 19th June 2023 19:13,N/A,19:13,Good (Good To Yielding In Places),2m 3f 100y,I A Connect (IRE),C. P. Millar,4,Gordon Elliott,6th,3/4 l,8,11-12,-,True,64,1
Kilbeggan Racing Results | 19th June 2023 19:13,N/A,19:13,Good (Good To Yielding In Places),2m 3f 100y,Punters Poet (IRE),D. King,0,Eoin Christopher McCarthy,5th,1/2 l,8,11-12p,-,True,64,1
Kilbeggan Racing Results | 19th June 2023 19:13,N/A,19:13,Good (Good To Yielding In Places),2m 3f 100y,Grozni (FR),M. M. McDonagh,2,Charles Byrnes,4th,3/4 l,7,11-12,-,True,64,1
Kilbeggan Racing Results | 19th June 2023 19:13,N/A,19:13,Good (Good To Yielding In Places),2m 3f 100y,Daicheadacuig (IRE),B. W. Harvey,0,Brian Mortell,3rd,2 3/4 l,8,11-12p,-,True,64,1
Kilbeggan Racing Results | 19th June 2023 19:13,N/A,19:13,Good (Good To Yielding In Places),2m 3f 100y,Winter Fog (IRE),Kieran Callaghan,4,W. P. Mullins,2nd,13 l,9,11-12,-,True,64,1
Kilbeggan Racing Results | 19th June 2023 19:13,N/A,19:13,Good (Good To Yielding In Places),2m 3f 100y,Uncle Phil (IRE),M. J. M. O'Sullivan,0,W. P. Mullins,1st,N/A,6,11-12ht,-,True,64,1
Kilbeggan Racing Results | 19th June 2023 19:13,N/A,19:13,Good (Good To Yielding In Places),2m 3f 100y,Golden Nugget (IRE),Corey McGivern,4,Gordon Elliott,7th,27 l,4,10-6,-,True,64,1
Kilbeggan Racing Results | 19th June 2023 19:13,N/A,19:13,Good (Good To Yielding In Places),2m 3f 100y,I A Connect (IRE),C. P. Millar,4,Gordon Elliott,6th,3/4 l,8,11-12,-,True,64,1
Kilbeggan Racing Results | 19th June 2023 19:13,N/A,19:13,Good (Good To Yielding In Places),2m 3f 100y,Punters Poet (IRE),D. King,0,Eoin Christopher McCarthy,5th,1/2 l,8,11-12p,-,True,64,1
Kilbeggan Racing Results | 19th June 2023 19:13,N/A,19:13,Good (Good To Yielding In Places),2m 3f 100y,Grozni (FR),M. M. McDonagh,2,Charles Byrnes,4th,3/4 l,7,11-12,-,True,64,1
Kilbeggan Racing Results | 19th June 2023 19:13,N/A,19:13,Good (Good To Yielding In Places),2m 3f 100y,Daicheadacuig (IRE),B. W. Harvey,0,Brian Mortell,3rd,2 3/4 l,8,11-12p,-,True,64,1
Kilbeggan Racing Results | 19th June 2023 19:13,N/A,19:13,Good (Good To Yielding In Places),2m 3f 100y,Winter Fog (IRE),Kieran Callaghan,4,W. P. Mullins,2nd,13 l,9,11-12,-,True,64,1
Kilbeggan Racing Results | 19th June 2023 19:13,N/A,19:13,Good (Good To Yielding In Places),2m 3f 100y,Uncle Phil (IRE),M. J. M. O'Sullivan,0,W. P. Mullins,1st,N/A,6,11-12ht,-,True,64,1
Kilbeggan Racing Results | 19th June 2023 19:43,N/A,19:43,Good (Good To Yielding In Places),2m 3f 100y,Glamorgan Duke (IRE),Jack G. Gilligan,7,Paul John Gilligan,6th,15 l,10,10-11,122,True,64,2
Kilbeggan Racing Results | 19th June 2023 19:43,N/A,19:43,Good (Good To Yielding In Places),2m 3f 100y,Defan,C. Brassil,5,Henry de Bromhead,5th,2 3/4 l,7,11-3,128,True,64,2
Kilbeggan Racing Results | 19th June 2023 19:43,N/A,19:43,Good (Good To Yielding In Places),2m 3f 100y,Vina Ardanza (IRE),Corey McGivern,7,Gordon Elliott,4th,4 3/4 l,6,11-12,137,True,64,2
Kilbeggan Racing Results | 19th June 2023 19:43,N/A,19:43,Good (Good To Yielding In Places),2m 3f 100y,Too Bright (IRE),L. A. McKenna,5,Noel Meade,3rd,7 1/2 l,5,10-9t,120,True,64,2
Kilbeggan Racing Results | 19th June 2023 19:43,N/A,19:43,Good (Good To Yielding In Places),2m 3f 100y,The Dara Man (IRE),Liam Quinlan,5,John Patrick Ryan,2nd,1/2 l,8,10-11,122,True,64,2
Kilbeggan Racing Results | 19th June 2023 19:43,N/A,19:43,Good (Good To Yielding In Places),2m 3f 100y,Pakens Rock (IRE),D. King,5,Barry T. Murphy,1st,N/A,10,10-5,116,True,64,2
Kilbeggan Racing Results | 19th June 2023 19:43,N/A,19:43,Good (Good To Yielding In Places),2m 3f 100y,Glamorgan Duke (IRE),Jack G. Gilligan,7,Paul John Gilligan,6th,15 l,10,10-11,122,True,64,2
Kilbeggan Racing Results | 19th June 2023 19:43,N/A,19:43,Good (Good To Yielding In Places),2m 3f 100y,Defan,C. Brassil,5,Henry de Bromhead,5th,2 3/4 l,7,11-3,128,True,64,2
Kilbeggan Racing Results | 19th June 2023 19:43,N/A,19:43,Good (Good To Yielding In Places),2m 3f 100y,Vina Ardanza (IRE),Corey McGivern,7,Gordon Elliott,4th,4 3/4 l,6,11-12,137,True,64,2
Kilbeggan Racing Results | 19th June 2023 19:43,N/A,19:43,Good (Good To Yielding In Places),2m 3f 100y,Too Bright (IRE),L. A. McKenna,5,Noel Meade,3rd,7 1/2 l,5,10-9t,120,True,64,2
Kilbeggan Racing Results | 19th June 2023 19:43,N/A,19:43,Good (Good To Yielding In Places),2m 3f 100y,The Dara Man (IRE),Liam Quinlan,5,John Patrick Ryan,2nd,1/2 l,8,10-11,122,True,64,2
Kilbeggan Racing Results | 19th June 2023 19:43,N/A,19:43,Good (Good To Yielding In Places),2m 3f 100y,Pakens Rock (IRE),D. King,5,Barry T. Murphy,1st,N/A,10,10-5,116,True,64,2
Wexford Racing Results | 20th June 2023 13:40,N/A,13:40,Good (Good To Yielding Places),2m 3f 170y,Ideal Pal (IRE),S. Fitzgerald,0,Cian Michael Collins,PU,N/A,7,11-12,-,True,64,4
Wexford Racing Results | 20th June 2023 13:40,N/A,13:40,Good (Good To Yielding Places),2m 3f 170y,Pale Blue Dot (FR),D. King,5,Denis Hogan,13th,Head,7,11-12b,-,True,64,4
Wexford Racing Results | 20th June 2023 13:40,N/A,13:40,Good (Good To Yielding Places),2m 3f 170y,Zanjabeel,L. A. McKenna,0,Stephanie Ocsko-Moore,12th,1/2 l,10,11-12t,-,True,64,4
Wexford Racing Results | 20th June 2023 13:40,N/A,13:40,Good (Good To Yielding Places),2m 3f 170y,Must Meet Cecil (IRE),E. Walsh,0,Cian Michael Collins,11th,10 l,5,11-12,-,True,64,4
Wexford Racing Results | 20th June 2023 13:40,N/A,13:40,Good (Good To Yielding Places),2m 3f 170y,Wouldn't You Agree (IRE),M. M. McDonagh,5,Eoin Griffin,10th,6 l,9,11-12b1,-,True,64,4
Wexford Racing Results | 20th June 2023 13:40,N/A,13:40,Good (Good To Yielding Places),2m 3f 170y,Leish Oscars Son (IRE),C. D. Maxwell,0,Gavin Patrick Cromwell,9th,12 l,7,11-12,-,True,64,4
