track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Salt Whistle Bay (IRE),R. C. Colgan,0,Charles Coakley,15th,7 l,9,8-12,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Miss Cunning (IRE),Adam Caffrey,5,Aengus King,14th,10 l,6,9-0b,49,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Phoenix Open (USA),D. W. O'Connor,0,S. M. Duffy,13th,3/4 l,7,9-1tp,50,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Geological (IRE),S. McCullagh,3,Damian Joseph English,12th,1/2 l,11,9-12,61,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Vormir (IRE),D. E. Sheehy,3,F. Birrane,11th,1 1/4 l,6,9-0,49,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Rock Dandy (IRE),Seamie Heffernan,0,P. J. F. Murphy,10th,1 3/4 l,5,8-12p1,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Stay Local (IRE),C. D. Hayes,0,Aidan Anthony Howard,9th,Head,5,9-7,56,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Barnhill Rose,J. M. Sheridan,0,Denis Hogan,8th,1 l,5,9-13p,62,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Han Solo,Andrew Joseph Slattery,0,Augustine Leahy,7th,1 l,7,8-12p,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Atlas (IRE),L. T. McAteer,0,T. G. McCourt,6th,1/2 l,10,8-12v,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,What Adaay,Ben Martin Coen,0,Patrick Martin,5th,1 1/4 l,5,8-12,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Golden Freckle (IRE),Declan McDonogh,0,T. J. O'Mara,4th,Head,4,8-12,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Purring Along (IRE),A. C. Persse,7,S. M. Duffy,3rd,Neck,4,8-13,48,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Breezy Zoff (IRE),R. Whearty,7,Gavin Patrick Cromwell,2nd,1 1/2 l,4,9-12ht,61,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Khafaaq,C. Horgan,7,A. Slattery,1st,N/A,8,10-0b,63,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Salt Whistle Bay (IRE),R. C. Colgan,0,Charles Coakley,15th,7 l,9,8-12,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Miss Cunning (IRE),Adam Caffrey,5,Aengus King,14th,10 l,6,9-0b,49,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Phoenix Open (USA),D. W. O'Connor,0,S. M. Duffy,13th,3/4 l,7,9-1tp,50,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Geological (IRE),S. McCullagh,3,Damian Joseph English,12th,1/2 l,11,9-12,61,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Vormir (IRE),D. E. Sheehy,3,F. Birrane,11th,1 1/4 l,6,9-0,49,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Rock Dandy (IRE),Seamie Heffernan,0,P. J. F. Murphy,10th,1 3/4 l,5,8-12p1,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Stay Local (IRE),C. D. Hayes,0,Aidan Anthony Howard,9th,Head,5,9-7,56,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Barnhill Rose,J. M. Sheridan,0,Denis Hogan,8th,1 l,5,9-13p,62,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Han Solo,Andrew Joseph Slattery,0,Augustine Leahy,7th,1 l,7,8-12p,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Atlas (IRE),L. T. McAteer,0,T. G. McCourt,6th,1/2 l,10,8-12v,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,What Adaay,Ben Martin Coen,0,Patrick Martin,5th,1 1/4 l,5,8-12,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Golden Freckle (IRE),Declan McDonogh,0,T. J. O'Mara,4th,Head,4,8-12,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Purring Along (IRE),A. C. Persse,7,S. M. Duffy,3rd,Neck,4,8-13,48,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Breezy Zoff (IRE),R. Whearty,7,Gavin Patrick Cromwell,2nd,1 1/2 l,4,9-12ht,61,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Khafaaq,C. Horgan,7,A. Slattery,1st,N/A,8,10-0b,63,True,65,1
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Rajjnatin (IRE),Marc Monaghan,0,Miss Evanna McCutcheon,12th,11 l,5,10-7t,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Galileo Impact (JPN),K. W. de Oliveira,10,W. P. Browne,11th,7 1/2 l,5,10-2,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Boston Bongo (IRE),L. T. McAteer,0,Barry Fitzgerald,10th,1/2 l,4,10-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Jessi (IRE),J. M. Sheridan,0,Denis Hogan,9th,2 3/4 l,3,9-2,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Acquest (IRE),H. J. Horgan,7,Joseph Patrick O'Brien,8th,3 1/2 l,3,9-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Djingle (FR),B. Hayes,0,John Queally,7th,5 1/2 l,10,10-7h,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Alluring (USA),D. W. O'Connor,0,K. J. Condon,6th,1/2 l,3,9-2,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,The Mighty One (IRE),R. C. Colgan,0,Luke Comer,5th,5 1/2 l,3,9-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Duke Cador (IRE),Seamie Heffernan,0,Aidan O'Brien,4th,Head,3,9-7b1,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Fisherman's Beach (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,3rd,3 3/4 l,3,9-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Beechwood (IRE),C. D. Hayes,0,John S. O'Donoghue,2nd,2 l,3,9-2,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Ethical Diamond (IRE),William James Lee,0,Michael O'Meara,1st,N/A,3,9-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Rajjnatin (IRE),Marc Monaghan,0,Miss Evanna McCutcheon,12th,11 l,5,10-7t,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Galileo Impact (JPN),K. W. de Oliveira,10,W. P. Browne,11th,7 1/2 l,5,10-2,-,True,65,2
