track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Roscommon Racing Results | 4th July 2023 17:20,N/A,17:20,Good (Good To Yielding In Places),7f 59y,Shesatrolleydollie (IRE),S. P. Bird,7,Michael Mulvany,11th,1/2 l,3,9-3,-,True,66,1
Roscommon Racing Results | 4th July 2023 17:20,N/A,17:20,Good (Good To Yielding In Places),7f 59y,Annie (IRE),Adam Caffrey,5,James Andrew Fahey,10th,2 1/4 l,3,9-3h,-,True,66,1
Roscommon Racing Results | 4th July 2023 17:20,N/A,17:20,Good (Good To Yielding In Places),7f 59y,Mayo Dawn (IRE),C. J. MacRedmond,5,Adrian McGuinness,9th,2 3/4 l,3,9-3,-,True,66,1
Roscommon Racing Results | 4th July 2023 17:20,N/A,17:20,Good (Good To Yielding In Places),7f 59y,Mary Makebelieve (IRE),R. P. Whelan,0,N. Stokes,8th,1 3/4 l,3,9-3,-,True,66,1
Roscommon Racing Results | 4th July 2023 17:20,N/A,17:20,Good (Good To Yielding In Places),7f 59y,Trishuli River (IRE),Seamie Heffernan,0,Shane Crawley,7th,3 1/2 l,3,9-3,-,True,66,1
Roscommon Racing Results | 4th July 2023 17:20,N/A,17:20,Good (Good To Yielding In Places),7f 59y,Irish Rumour (IRE),R. C. Colgan,0,Miss Jennifer Anne Lynch,6th,1/2 l,3,9-3,-,True,66,1
Roscommon Racing Results | 4th July 2023 17:20,N/A,17:20,Good (Good To Yielding In Places),7f 59y,Roman Moon (IRE),R. P. Cleary,0,J. S. Bolger,5th,4 3/4 l,3,9-3,-,True,66,1
Roscommon Racing Results | 4th July 2023 17:20,N/A,17:20,Good (Good To Yielding In Places),7f 59y,Alessia Fernanda (IRE),C. D. Hayes,0,D. K. Weld,4th,2 1/4 l,3,9-3,-,True,66,1
Roscommon Racing Results | 4th July 2023 17:20,N/A,17:20,Good (Good To Yielding In Places),7f 59y,Local Girl (IRE),William James Lee,0,K. J. Condon,3rd,1/2 l,3,9-3,-,True,66,1
Roscommon Racing Results | 4th July 2023 17:20,N/A,17:20,Good (Good To Yielding In Places),7f 59y,Danvers Gold (IRE),Shane Foley,0,Mrs J. Harrington,2nd,5 1/2 l,3,9-3h,-,True,66,1
Roscommon Racing Results | 4th July 2023 17:20,N/A,17:20,Good (Good To Yielding In Places),7f 59y,Gypsy Woman (IRE),G. F. Carroll,0,G. M. Lyons,1st,N/A,3,9-3,-,True,66,1
Roscommon Racing Results | 4th July 2023 17:20,N/A,17:20,Good (Good To Yielding In Places),7f 59y,Shesatrolleydollie (IRE),S. P. Bird,7,Michael Mulvany,11th,1/2 l,3,9-3,-,True,66,1
Roscommon Racing Results | 4th July 2023 17:20,N/A,17:20,Good (Good To Yielding In Places),7f 59y,Annie (IRE),Adam Caffrey,5,James Andrew Fahey,10th,2 1/4 l,3,9-3h,-,True,66,1
