track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 8th July 2023 17:05,N/A,17:05,Good (Good To Firm In Places),7f,Winemaker (FR),G. M. Ryan,0,Diego Dias,4th,1/2 l,3,9-10,-,True,67,1
Naas Racing Results | 8th July 2023 17:05,N/A,17:05,Good (Good To Firm In Places),7f,Go Sioux Me (IRE),Ben Martin Coen,0,James A. Nash,3rd,1 1/2 l,3,9-5,-,True,67,1
Naas Racing Results | 8th July 2023 17:05,N/A,17:05,Good (Good To Firm In Places),7f,Vernet (IRE),H. J. Horgan,7,Joseph Patrick O'Brien,2nd,3/4 l,3,9-5,-,True,67,1
Naas Racing Results | 8th July 2023 17:05,N/A,17:05,Good (Good To Firm In Places),7f,Clever and Cool (IRE),R. P. Cleary,0,J. S. Bolger,1st,N/A,3,9-5p,-,True,67,1
Naas Racing Results | 8th July 2023 17:05,N/A,17:05,Good (Good To Firm In Places),7f,Winemaker (FR),G. M. Ryan,0,Diego Dias,4th,1/2 l,3,9-10,-,True,67,1
Naas Racing Results | 8th July 2023 17:05,N/A,17:05,Good (Good To Firm In Places),7f,Go Sioux Me (IRE),Ben Martin Coen,0,James A. Nash,3rd,1 1/2 l,3,9-5,-,True,67,1
Naas Racing Results | 8th July 2023 17:05,N/A,17:05,Good (Good To Firm In Places),7f,Vernet (IRE),H. J. Horgan,7,Joseph Patrick O'Brien,2nd,3/4 l,3,9-5,-,True,67,1
Naas Racing Results | 8th July 2023 17:05,N/A,17:05,Good (Good To Firm In Places),7f,Clever and Cool (IRE),R. P. Cleary,0,J. S. Bolger,1st,N/A,3,9-5p,-,True,67,1
Bellewstown Racing Results | 8th July 2023 16:55,N/A,16:55,Good,2m 188y,Wayne R Walker,Sean Flanagan,0,Donal Kinsella,7th,Neck,4,11-0,-,True,67,3
Bellewstown Racing Results | 8th July 2023 16:55,N/A,16:55,Good,2m 188y,Rene Artois (IRE),A. P. Kelly,7,James A. Nash,6th,19 l,4,11-0,-,True,67,3
Bellewstown Racing Results | 8th July 2023 16:55,N/A,16:55,Good,2m 188y,I Am the Sea,J. J. Slevin,0,P. M. Cloke,5th,22 l,4,11-0,-,True,67,3
Bellewstown Racing Results | 8th July 2023 16:55,N/A,16:55,Good,2m 188y,Gordons Aura (IRE),J. W. Kennedy,0,Gordon Elliott,4th,5 1/2 l,4,11-6,-,True,67,3
Bellewstown Racing Results | 8th July 2023 16:55,N/A,16:55,Good,2m 188y,Mister Wilson (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,3rd,12 l,4,11-6h,-,True,67,3
Bellewstown Racing Results | 8th July 2023 16:55,N/A,16:55,Good,2m 188y,Calico (FR),B. W. Harvey,5,Gordon Elliott,2nd,1/2 l,4,11-3t,-,True,67,3
Bellewstown Racing Results | 8th July 2023 16:55,N/A,16:55,Good,2m 188y,Charlie Luciano (IRE),L. A. McKenna,5,Noel Meade,1st,N/A,4,11-10,-,True,67,3
Bellewstown Racing Results | 8th July 2023 16:55,N/A,16:55,Good,2m 188y,Wayne R Walker,Sean Flanagan,0,Donal Kinsella,7th,Neck,4,11-0,-,True,67,3
Bellewstown Racing Results | 8th July 2023 16:55,N/A,16:55,Good,2m 188y,Rene Artois (IRE),A. P. Kelly,7,James A. Nash,6th,19 l,4,11-0,-,True,67,3
Bellewstown Racing Results | 8th July 2023 16:55,N/A,16:55,Good,2m 188y,I Am the Sea,J. J. Slevin,0,P. M. Cloke,5th,22 l,4,11-0,-,True,67,3
Bellewstown Racing Results | 8th July 2023 16:55,N/A,16:55,Good,2m 188y,Gordons Aura (IRE),J. W. Kennedy,0,Gordon Elliott,4th,5 1/2 l,4,11-6,-,True,67,3
Bellewstown Racing Results | 8th July 2023 16:55,N/A,16:55,Good,2m 188y,Mister Wilson (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,3rd,12 l,4,11-6h,-,True,67,3
Bellewstown Racing Results | 8th July 2023 16:55,N/A,16:55,Good,2m 188y,Calico (FR),B. W. Harvey,5,Gordon Elliott,2nd,1/2 l,4,11-3t,-,True,67,3
Bellewstown Racing Results | 8th July 2023 16:55,N/A,16:55,Good,2m 188y,Charlie Luciano (IRE),L. A. McKenna,5,Noel Meade,1st,N/A,4,11-10,-,True,67,3
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Finans Bay (IRE),D. J. O'Keeffe,0,Henry de Bromhead,NR,N/A,6,11-12,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Six Ace (IRE),J. W. Kennedy,0,Gordon Elliott,PU,N/A,5,11-4p,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Riqaaby (USA),J. J. Slevin,0,Miss Elizabeth Doyle,F,N/A,7,10-11,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Victory Star,A. P. Heskin,0,John Joseph Hanlon,10th,32 l,6,11-12,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Walkonthebriteside (IRE),B. Hayes,0,John McConnell,9th,8 l,5,11-4,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Oneforgonzo (IRE),Phillip Enright,0,Sean Aherne,8th,3 1/2 l,5,11-4,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Fameaftertheglory,Sean Flanagan,0,Gavin Patrick Cromwell,7th,2 1/4 l,7,11-12tv,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Atreides (IRE),L. A. McKenna,5,Colm A. Murphy,6th,8 l,5,11-4t,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Baby Chou (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,5th,2 1/4 l,5,10-11t,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Pahlavi (IRE),J. S. McGarvey,0,John Joseph Hanlon,4th,1/2 l,6,11-4,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Fox Leicester (IRE),E. Walsh,3,John Michael Burke,3rd,5 l,7,11-12,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Dutch Schultz,Keith Donoghue,0,Gavin Patrick Cromwell,2nd,13 l,6,11-12h1,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Encanto Bruno (IRE),B. W. Harvey,5,John McConnell,1st,N/A,5,11-12,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Finans Bay (IRE),D. J. O'Keeffe,0,Henry de Bromhead,NR,N/A,6,11-12,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Six Ace (IRE),J. W. Kennedy,0,Gordon Elliott,PU,N/A,5,11-4p,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Riqaaby (USA),J. J. Slevin,0,Miss Elizabeth Doyle,F,N/A,7,10-11,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Victory Star,A. P. Heskin,0,John Joseph Hanlon,10th,32 l,6,11-12,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Walkonthebriteside (IRE),B. Hayes,0,John McConnell,9th,8 l,5,11-4,-,True,67,4
Bellewstown Racing Results | 8th July 2023 17:30,N/A,17:30,Good,2m 188y,Oneforgonzo (IRE),Phillip Enright,0,Sean Aherne,8th,3 1/2 l,5,11-4,-,True,67,4
