track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Elephant John (IRE),Gearoid Patrick Brouder,5,Peter McCreery,15th,N/A,5,11-12,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Madhenry (IRE),A. M. King,7,Fintan Feeney,14th,3 3/4 l,5,11-4,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Youmli (IRE),J. P. O'Sullivan,3,P. J. Rothwell,13th,13 l,4,11-0,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Aleish Lass (IRE),S. D. Torrens,0,Michael Winters,12th,3 l,4,10-7,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Yara Greyjoy (IRE),Patrick O'Hanlon,5,P. J. Rothwell,11th,1 l,5,10-11,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Electric Dreamer (IRE),Sean Flanagan,0,W. J. Burke,10th,6 l,5,10-11,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Hollymount Dream (IRE),E. Walsh,3,Ciaran Murphy,9th,12 l,5,10-11t1,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Royal Class (IRE),B. W. Harvey,3,Joseph Anthony Murray,8th,1 1/4 l,5,11-4,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Joshsue (IRE),D. J. O'Keeffe,0,W. J. Burke,7th,3/4 l,5,10-11,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Suile Ban (IRE),Philip Donovan,5,Denis Hogan,6th,11 l,4,11-0,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Tobins Cross (IRE),C. M. Quirke,5,A. Slattery,5th,Short Head,5,11-4,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Pickanumber (IRE),Shane Fenelon,7,Peter Croke,4th,1 1/4 l,5,11-4,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Weseekherthere (IRE),J. W. Kennedy,0,Gordon Elliott,3rd,8 1/2 l,4,11-1p,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Wordsworth (IRE),Phillip Enright,0,Josh Halley,2nd,Neck,5,11-12,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Art of Silence (IRE),Keith Donoghue,0,Gerard Keane,1st,N/A,5,11-12,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Elephant John (IRE),Gearoid Patrick Brouder,5,Peter McCreery,15th,N/A,5,11-12,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Madhenry (IRE),A. M. King,7,Fintan Feeney,14th,3 3/4 l,5,11-4,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Youmli (IRE),J. P. O'Sullivan,3,P. J. Rothwell,13th,13 l,4,11-0,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Aleish Lass (IRE),S. D. Torrens,0,Michael Winters,12th,3 l,4,10-7,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Yara Greyjoy (IRE),Patrick O'Hanlon,5,P. J. Rothwell,11th,1 l,5,10-11,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Electric Dreamer (IRE),Sean Flanagan,0,W. J. Burke,10th,6 l,5,10-11,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Hollymount Dream (IRE),E. Walsh,3,Ciaran Murphy,9th,12 l,5,10-11t1,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Royal Class (IRE),B. W. Harvey,3,Joseph Anthony Murray,8th,1 1/4 l,5,11-4,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Joshsue (IRE),D. J. O'Keeffe,0,W. J. Burke,7th,3/4 l,5,10-11,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Suile Ban (IRE),Philip Donovan,5,Denis Hogan,6th,11 l,4,11-0,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Tobins Cross (IRE),C. M. Quirke,5,A. Slattery,5th,Short Head,5,11-4,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Pickanumber (IRE),Shane Fenelon,7,Peter Croke,4th,1 1/4 l,5,11-4,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Weseekherthere (IRE),J. W. Kennedy,0,Gordon Elliott,3rd,8 1/2 l,4,11-1p,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Wordsworth (IRE),Phillip Enright,0,Josh Halley,2nd,Neck,5,11-12,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 16:38,N/A,16:38,Good,2m 1f 5y,Art of Silence (IRE),Keith Donoghue,0,Gerard Keane,1st,N/A,5,11-12,-,True,70,1
Ballinrobe Racing Results | 25th July 2023 17:08,N/A,17:08,Good,2m 1f 5y,Blackcastle Storm,Sean Flanagan,0,Matthew J. Smith,PU,N/A,6,11-12ht,-,True,70,2
