track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Gowran Park Racing Results | 29th July 2023 15:02,N/A,15:02,Soft,1m,Just Another Eagle (IRE),A. C. Persse,7,Patrick J. Flynn,10th,1 1/2 l,3,9-3,-,True,71,1
Gowran Park Racing Results | 29th July 2023 15:02,N/A,15:02,Soft,1m,Helens Delight (IRE),M. P. Sheehy,0,J. F. O'Shea,9th,2 l,4,9-11h,-,True,71,1
Gowran Park Racing Results | 29th July 2023 15:02,N/A,15:02,Soft,1m,Jessi (IRE),K. S. McHugh,10,Denis Hogan,8th,8 l,3,9-3,-,True,71,1
Gowran Park Racing Results | 29th July 2023 15:02,N/A,15:02,Soft,1m,Jeaniemacaroney (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,7th,4 l,3,9-3,-,True,71,1
Gowran Park Racing Results | 29th July 2023 15:02,N/A,15:02,Soft,1m,Eloxi (IRE),R. C. Colgan,0,Ms Sheila Lavery,6th,Neck,3,9-3,-,True,71,1
Gowran Park Racing Results | 29th July 2023 15:02,N/A,15:02,Soft,1m,Beauty Bella (IRE),J. M. Sheridan,0,Adrian Murray,5th,1/2 l,3,9-3b1,-,True,71,1
Gowran Park Racing Results | 29th July 2023 15:02,N/A,15:02,Soft,1m,Dumb Love (IRE),C. T. Keane,0,G. M. Lyons,4th,Neck,3,9-3,-,True,71,1
Gowran Park Racing Results | 29th July 2023 15:02,N/A,15:02,Soft,1m,Sarah Purser (IRE),L. T. McAteer,0,Jack W. Davison,3rd,5 1/2 l,3,9-3,-,True,71,1
Gowran Park Racing Results | 29th July 2023 15:02,N/A,15:02,Soft,1m,Muhaarar's Girl (IRE),William James Lee,0,K. J. Condon,2nd,4 3/4 l,3,9-3t,-,True,71,1
Gowran Park Racing Results | 29th July 2023 15:02,N/A,15:02,Soft,1m,Lady Lunette (IRE),D. B. McMonagle,0,R. P. Cody,1st,N/A,3,9-3,-,True,71,1
Gowran Park Racing Results | 29th July 2023 15:02,N/A,15:02,Soft,1m,Just Another Eagle (IRE),A. C. Persse,7,Patrick J. Flynn,10th,1 1/2 l,3,9-3,-,True,71,1
Gowran Park Racing Results | 29th July 2023 15:02,N/A,15:02,Soft,1m,Helens Delight (IRE),M. P. Sheehy,0,J. F. O'Shea,9th,2 l,4,9-11h,-,True,71,1
Gowran Park Racing Results | 29th July 2023 15:02,N/A,15:02,Soft,1m,Jessi (IRE),K. S. McHugh,10,Denis Hogan,8th,8 l,3,9-3,-,True,71,1
Gowran Park Racing Results | 29th July 2023 15:02,N/A,15:02,Soft,1m,Jeaniemacaroney (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,7th,4 l,3,9-3,-,True,71,1
