track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Summer Tide (IRE),P. Byrnes,5,Charles Byrnes,UR,N/A,8,11-0p,111,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Country Queen (IRE),D. J. Gilligan,5,Gordon Elliott,PU,N/A,6,10-13p,110,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Silvertown (IRE),K. E. Buckley,3,Gavin Patrick Cromwell,14th,6 l,6,11-1,112,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Pure Sirloin (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,13th,3 3/4 l,5,10-11,108,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Pairc Na Ngael (IRE),M. P. Walsh,0,Charles Byrnes,12th,12 l,9,10-9p,106,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Sphagnum (IRE),D. P. Maxwell,7,J. P. Broderick,11th,2 l,6,10-12tp,109,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Fiveaftermidnight (IRE),Patrick O'Hanlon,5,P. J. Rothwell,10th,2 3/4 l,10,10-10b,107,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Menindee (IRE),D. J. O'Keeffe,0,David Christie,9th,2 l,7,10-6t,103,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Killinure Lass (IRE),D. Moloney,7,Brian M. McMahon,8th,7 l,6,10-6,103,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Arabian King,Denis O'Regan,0,Cian Michael Collins,7th,Nose,7,11-1,112,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Good World (IRE),Gearoid Patrick Brouder,5,Eoin Griffin,6th,3/4 l,8,10-5b1,102,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Takarengo (IRE),D. E. Mullins,0,Thomas Mullins,5th,1/2 l,7,11-3,114,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Another Choice (IRE),J. Smith,7,Matthew J. Smith,4th,1 3/4 l,6,11-7t,118,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Peaches And Cream (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,3rd,2 1/4 l,8,11-8,119,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Call The Tune (IRE),M. J. M. O'Sullivan,0,Barry Connell,2nd,1/2 l,9,10-13p1,110,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,My Design (IRE),Mr R. W. Barron,7,Declan Queally,1st,N/A,8,11-12t1,123,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Summer Tide (IRE),P. Byrnes,5,Charles Byrnes,UR,N/A,8,11-0p,111,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Country Queen (IRE),D. J. Gilligan,5,Gordon Elliott,PU,N/A,6,10-13p,110,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Silvertown (IRE),K. E. Buckley,3,Gavin Patrick Cromwell,14th,6 l,6,11-1,112,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Pure Sirloin (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,13th,3 3/4 l,5,10-11,108,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Pairc Na Ngael (IRE),M. P. Walsh,0,Charles Byrnes,12th,12 l,9,10-9p,106,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Sphagnum (IRE),D. P. Maxwell,7,J. P. Broderick,11th,2 l,6,10-12tp,109,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Fiveaftermidnight (IRE),Patrick O'Hanlon,5,P. J. Rothwell,10th,2 3/4 l,10,10-10b,107,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Menindee (IRE),D. J. O'Keeffe,0,David Christie,9th,2 l,7,10-6t,103,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Killinure Lass (IRE),D. Moloney,7,Brian M. McMahon,8th,7 l,6,10-6,103,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Arabian King,Denis O'Regan,0,Cian Michael Collins,7th,Nose,7,11-1,112,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Good World (IRE),Gearoid Patrick Brouder,5,Eoin Griffin,6th,3/4 l,8,10-5b1,102,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Takarengo (IRE),D. E. Mullins,0,Thomas Mullins,5th,1/2 l,7,11-3,114,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Another Choice (IRE),J. Smith,7,Matthew J. Smith,4th,1 3/4 l,6,11-7t,118,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Peaches And Cream (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,3rd,2 1/4 l,8,11-8,119,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Call The Tune (IRE),M. J. M. O'Sullivan,0,Barry Connell,2nd,1/2 l,9,10-13p1,110,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,My Design (IRE),Mr R. W. Barron,7,Declan Queally,1st,N/A,8,11-12t1,123,True,72,1
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Andy Dufresne (IRE),J. S. McGarvey,0,Gordon Elliott,5th,99 l,9,11-3t,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Stumptown (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,4th,5 1/2 l,6,11-3,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Peregrine Run (IRE),Sam Ewing,0,Peter Fahey,3rd,11 l,13,11-3b,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Born By The Sea (IRE),D. J. Gilligan,5,Paul John Gilligan,2nd,13 l,9,11-3,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Saint Sam (FR),P. Townend,0,W. P. Mullins,1st,N/A,6,11-10h,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Andy Dufresne (IRE),J. S. McGarvey,0,Gordon Elliott,5th,99 l,9,11-3t,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Stumptown (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,4th,5 1/2 l,6,11-3,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Peregrine Run (IRE),Sam Ewing,0,Peter Fahey,3rd,11 l,13,11-3b,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Born By The Sea (IRE),D. J. Gilligan,5,Paul John Gilligan,2nd,13 l,9,11-3,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Saint Sam (FR),P. Townend,0,W. P. Mullins,1st,N/A,6,11-10h,-,True,72,2
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Sole Pretender (IRE),R. P. Geoghegan,7,Norman Lee,12th,39 l,9,11-12eb,151,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Embittered (IRE),Mr H. C. Swan,5,Joseph Patrick O'Brien,11th,Short Head,9,11-1t,140,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Hereditary Rule (IRE),B. W. Harvey,3,John McConnell,10th,18 l,8,10-13t,138,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Hubrisko (FR),P. Townend,0,W. P. Mullins,9th,29 l,6,10-12t,137,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Benefit Run (IRE),S. F. O'Keeffe,0,Ross O'Sullivan,8th,13 l,11,10-0p,125,True,72,3
